cell_id,Fulmarus glacialis,Fulmarus glacialis glacialis/auduboni,Fulmarus glacialis rodgersii
8400011ffffffff,2.0,0.0,0.0
840001bffffffff,4.0,0.0,0.0
8400283ffffffff,2.0,0.0,0.0
8400289ffffffff,5.0,0.0,0.0
840028bffffffff,2.0,0.0,0.0
840028dffffffff,17.0,6.0,0.0
8400295ffffffff,2.0,0.0,0.0
8400297ffffffff,4.0,0.0,0.0
8400299ffffffff,5.0,0.0,0.0
840029bffffffff,4.0,0.0,0.0
840029dffffffff,1.0,0.0,0.0
84002b3ffffffff,1.0,0.0,0.0
84002b5ffffffff,4.0,0.0,0.0
84002bbffffffff,5.0,1.0,0.0
84002c1ffffffff,1.0,0.0,0.0
84002c3ffffffff,2.0,0.0,0.0
84002c9ffffffff,14.0,0.0,0.0
84002d5ffffffff,1.0,1.0,0.0
84002d7ffffffff,18.0,5.0,0.0
84002dbffffffff,2.0,0.0,0.0
84002e3ffffffff,2.0,0.0,0.0
84002ebffffffff,1.0,0.0,0.0
8400709ffffffff,3.0,0.0,0.0
8400729ffffffff,3.0,0.0,0.0
8400747ffffffff,4.0,2.0,0.0
8400755ffffffff,2.0,0.0,0.0
8400757ffffffff,2.0,0.0,0.0
8400765ffffffff,9.0,0.0,0.0
840076bffffffff,2.0,0.0,0.0
84010d9ffffffff,4.0,0.0,0.0
840120bffffffff,2.0,0.0,0.0
8401219ffffffff,4.0,0.0,0.0
840122bffffffff,2.0,0.0,0.0
840123dffffffff,8.0,0.0,0.0
8401251ffffffff,1.0,0.0,0.0
84012e7ffffffff,2.0,0.0,0.0
840130bffffffff,51.0,5.0,0.0
8401319ffffffff,27.0,0.0,0.0
840131dffffffff,10.0,0.0,0.0
8401345ffffffff,1.0,0.0,0.0
8401351ffffffff,10.0,2.0,0.0
840135bffffffff,2.0,0.0,0.0
8401411ffffffff,1.0,0.0,0.0
8401503ffffffff,4.0,0.0,0.0
8401507ffffffff,3.0,0.0,0.0
8401509ffffffff,38.0,0.0,0.0
8401513ffffffff,1.0,0.0,0.0
8401515ffffffff,14.0,0.0,0.0
8401517ffffffff,36.0,10.0,0.0
840151dffffffff,10.0,2.0,0.0
8401521ffffffff,7.0,0.0,0.0
8401523ffffffff,14.0,1.0,0.0
8401531ffffffff,2.0,2.0,0.0
8401533ffffffff,40.0,19.0,0.0
8401535ffffffff,2.0,0.0,0.0
8401537ffffffff,2.0,0.0,0.0
840153bffffffff,133.0,14.0,0.0
8401541ffffffff,3.0,0.0,0.0
8401543ffffffff,2.0,0.0,0.0
8401547ffffffff,4.0,0.0,0.0
8401557ffffffff,1.0,0.0,0.0
8401567ffffffff,1.0,0.0,0.0
8401583ffffffff,2.0,2.0,0.0
84015a1ffffffff,35.0,8.0,0.0
84015a3ffffffff,3.0,0.0,0.0
84015a5ffffffff,29.0,4.0,0.0
84015a7ffffffff,1.0,0.0,0.0
84015a9ffffffff,28.0,10.0,0.0
84015abffffffff,12.0,2.0,0.0
84015adffffffff,19.0,6.0,0.0
84015c9ffffffff,2.0,1.0,0.0
84015e1ffffffff,106.0,74.0,0.0
84015e3ffffffff,18.0,4.0,0.0
84015e9ffffffff,17.0,2.0,0.0
84015ebffffffff,6.0,6.0,0.0
84015edffffffff,12.0,4.0,0.0
8401611ffffffff,1.0,0.0,0.0
840168bffffffff,1.0,0.0,0.0
84016e3ffffffff,1.0,0.0,0.0
8401751ffffffff,1.0,0.0,0.0
8402401ffffffff,2.0,0.0,0.0
8402405ffffffff,31.0,0.0,0.0
8402409ffffffff,3.0,0.0,0.0
840240bffffffff,2.0,0.0,0.0
8402411ffffffff,5.0,0.0,0.0
8402417ffffffff,7.0,0.0,0.0
8402419ffffffff,2.0,0.0,0.0
840241dffffffff,6.0,0.0,0.0
8402421ffffffff,2.0,0.0,0.0
8402423ffffffff,5.0,0.0,0.0
8402435ffffffff,7.0,0.0,0.0
8402439ffffffff,2.0,0.0,0.0
840243dffffffff,2.0,0.0,0.0
8402443ffffffff,3.0,0.0,0.0
8402455ffffffff,2.0,0.0,0.0
8402457ffffffff,2.0,0.0,0.0
8402463ffffffff,8.0,0.0,0.0
84024c1ffffffff,17.0,0.0,0.0
84024c5ffffffff,22.0,0.0,0.0
84024c9ffffffff,13.0,0.0,0.0
84024cbffffffff,3.0,0.0,0.0
84024d1ffffffff,2.0,0.0,0.0
84024e9ffffffff,6.0,0.0,0.0
84024edffffffff,2.0,0.0,0.0
8402501ffffffff,21.0,0.0,0.0
840250bffffffff,13.0,0.0,0.0
8402511ffffffff,10.0,0.0,0.0
8402513ffffffff,4.0,0.0,0.0
8402515ffffffff,6.0,0.0,0.0
8402517ffffffff,6.0,0.0,0.0
8402519ffffffff,2.0,0.0,0.0
840251bffffffff,1.0,0.0,0.0
840251dffffffff,2.0,0.0,0.0
8402523ffffffff,1.0,0.0,0.0
840252bffffffff,1.0,0.0,0.0
8402551ffffffff,1.0,0.0,0.0
8402553ffffffff,2.0,0.0,0.0
84025a7ffffffff,2.0,0.0,0.0
84025cbffffffff,8.0,0.0,0.0
84025e7ffffffff,2.0,0.0,0.0
84025edffffffff,1.0,0.0,0.0
8402627ffffffff,2.0,0.0,0.0
8402649ffffffff,2.0,0.0,0.0
84026b3ffffffff,4.0,0.0,0.0
84026b5ffffffff,1.0,0.0,0.0
84026b7ffffffff,2.0,0.0,0.0
84026bdffffffff,2.0,0.0,0.0
8402703ffffffff,4.0,0.0,0.0
8402711ffffffff,1.0,0.0,0.0
8402713ffffffff,2.0,0.0,0.0
8402719ffffffff,4.0,0.0,0.0
840271bffffffff,2.0,0.0,0.0
840273dffffffff,2.0,0.0,0.0
8402767ffffffff,1.0,0.0,0.0
8402c8bffffffff,2.0,0.0,0.0
8402cd1ffffffff,2.0,0.0,0.0
8402da9ffffffff,2.0,0.0,0.0
8402e83ffffffff,11.0,0.0,0.0
8402eb3ffffffff,3.0,0.0,0.0
8402eb9ffffffff,2.0,0.0,0.0
8402ec3ffffffff,3.0,0.0,0.0
8402ed7ffffffff,9.0,0.0,0.0
840359dffffffff,2.0,0.0,0.0
8406013ffffffff,2.0,0.0,0.0
8406211ffffffff,1.0,0.0,0.0
8406219ffffffff,2.0,0.0,0.0
8406229ffffffff,2.0,0.0,0.0
8406261ffffffff,2.0,0.0,0.0
840626bffffffff,8.0,0.0,0.0
84062a9ffffffff,1.0,0.0,0.0
84062abffffffff,1.0,0.0,0.0
84062c3ffffffff,1.0,0.0,0.0
84062c9ffffffff,5.0,0.0,0.0
84062cbffffffff,2.0,0.0,0.0
84062dbffffffff,2.0,0.0,0.0
84062e1ffffffff,1.0,0.0,0.0
8406403ffffffff,1.0,0.0,0.0
8406439ffffffff,1.0,0.0,0.0
8406467ffffffff,1.0,0.0,0.0
8406529ffffffff,2.0,0.0,0.0
840653bffffffff,1.0,0.0,0.0
8406563ffffffff,2.0,0.0,0.0
8406565ffffffff,2.0,0.0,0.0
8406591ffffffff,1.0,0.0,0.0
84065c9ffffffff,2.0,0.0,0.0
84065e5ffffffff,2.0,1.0,0.0
8406623ffffffff,2.0,0.0,0.0
8406625ffffffff,2.0,0.0,0.0
8406627ffffffff,1.0,0.0,0.0
8406629ffffffff,4.0,0.0,0.0
840662dffffffff,1.0,1.0,0.0
8406661ffffffff,1.0,0.0,0.0
8406701ffffffff,2.0,0.0,0.0
840672bffffffff,3.0,0.0,0.0
840674bffffffff,1.0,0.0,0.0
8406889ffffffff,6.0,0.0,0.0
8406893ffffffff,4.0,1.0,0.0
8406897ffffffff,8.0,0.0,0.0
840689bffffffff,36.0,12.0,0.0
84068d5ffffffff,1.0,0.0,0.0
840692dffffffff,2.0,0.0,0.0
8406953ffffffff,5.0,0.0,0.0
8406955ffffffff,2.0,0.0,0.0
8406967ffffffff,4.0,0.0,0.0
8406993ffffffff,2.0,0.0,0.0
8406997ffffffff,2.0,0.0,0.0
84069b1ffffffff,2.0,0.0,0.0
84069b5ffffffff,2.0,0.0,0.0
84069bbffffffff,2.0,0.0,0.0
8406c97ffffffff,1.0,0.0,0.0
8406cbdffffffff,2.0,0.0,0.0
8406d01ffffffff,2.0,0.0,0.0
8406d03ffffffff,5.0,4.0,0.0
8406d07ffffffff,2.0,0.0,0.0
8406d13ffffffff,2.0,0.0,0.0
8406d15ffffffff,14.0,1.0,0.0
8406d1dffffffff,19.0,2.0,0.0
8406d39ffffffff,2.0,0.0,0.0
8406d45ffffffff,4.0,3.0,0.0
8406d4dffffffff,1.0,1.0,0.0
8406d69ffffffff,1.0,0.0,0.0
8406d6bffffffff,1.0,1.0,0.0
8406d6dffffffff,2.0,0.0,0.0
8406d87ffffffff,6.0,0.0,0.0
8406d97ffffffff,1.0,1.0,0.0
8406db9ffffffff,2.0,0.0,0.0
8406dc1ffffffff,1.0,0.0,0.0
8406dc3ffffffff,1.0,1.0,0.0
8406dd1ffffffff,4.0,2.0,0.0
8406dd5ffffffff,3.0,2.0,0.0
8406ed1ffffffff,1.0,0.0,0.0
8406ed5ffffffff,2.0,0.0,0.0
8406eddffffffff,1.0,0.0,0.0
8407043ffffffff,10.0,0.0,0.0
