cell_id,Melanerpes aurifrons,Melanerpes aurifrons aurifrons,Melanerpes aurifrons [santacruzi Group],Melanerpes aurifrons polygrammus
8426c23ffffffff,4.0,0.0,0.0,0.0
8426ca1ffffffff,3.0,0.0,0.0,0.0
8426ca5ffffffff,1.0,0.0,0.0,0.0
8426ca7ffffffff,4.0,0.0,0.0,0.0
8426cadffffffff,2.0,0.0,0.0,0.0
8426ce3ffffffff,1.0,0.0,0.0,0.0
8426d15ffffffff,4.0,0.0,0.0,0.0
8426d1dffffffff,1.0,0.0,0.0,0.0
8426d33ffffffff,1.0,0.0,0.0,0.0
8426d99ffffffff,3.0,0.0,0.0,0.0
8426da9ffffffff,6.0,0.0,0.0,0.0
8426dd3ffffffff,54.0,0.0,0.0,0.0
8426dd7ffffffff,2.0,0.0,0.0,0.0
8426de7ffffffff,2.0,0.0,0.0,0.0
8426dedffffffff,2.0,0.0,0.0,0.0
84446e9ffffffff,129.0,0.0,0.0,0.0
8445019ffffffff,3.0,0.0,0.0,0.0
8445051ffffffff,3.0,0.0,0.0,0.0
844505dffffffff,11.0,0.0,0.0,0.0
8445083ffffffff,1.0,0.0,0.0,0.0
84450a9ffffffff,1.0,0.0,0.0,0.0
84450d3ffffffff,2.0,0.0,2.0,0.0
84450e3ffffffff,3.0,0.0,0.0,0.0
8445201ffffffff,3.0,0.0,0.0,0.0
8445209ffffffff,1.0,0.0,0.0,0.0
844520dffffffff,11.0,0.0,0.0,0.0
8445215ffffffff,5.0,0.0,1.0,0.0
8445233ffffffff,2.0,0.0,2.0,0.0
844526bffffffff,1.0,0.0,0.0,0.0
8445281ffffffff,25.0,0.0,25.0,0.0
8445289ffffffff,4.0,0.0,4.0,0.0
84452c1ffffffff,3.0,0.0,0.0,0.0
84452c7ffffffff,4.0,0.0,3.0,0.0
84452e1ffffffff,1.0,0.0,0.0,0.0
8445353ffffffff,1.0,0.0,0.0,0.0
844818dffffffff,2.0,0.0,0.0,0.0
84481a9ffffffff,3.0,0.0,0.0,0.0
84481abffffffff,4.0,0.0,0.0,0.0
844880dffffffff,1.0,0.0,0.0,0.0
8448825ffffffff,1.0,0.0,0.0,0.0
8448903ffffffff,2.0,0.0,0.0,0.0
8448913ffffffff,2.0,0.0,0.0,0.0
8448955ffffffff,4.0,0.0,0.0,0.0
8448959ffffffff,12.0,0.0,0.0,0.0
844895bffffffff,4.0,0.0,0.0,0.0
8448985ffffffff,9.0,0.0,0.0,0.0
844898dffffffff,4.0,0.0,0.0,0.0
84489a3ffffffff,2.0,0.0,0.0,0.0
84489a9ffffffff,2.0,0.0,0.0,0.0
84489abffffffff,2.0,0.0,0.0,0.0
84489e1ffffffff,12.0,0.0,0.0,0.0
84489e3ffffffff,7.0,0.0,0.0,0.0
84489e9ffffffff,9.0,0.0,0.0,0.0
84489ebffffffff,2.0,0.0,0.0,0.0
8448adbffffffff,1.0,0.0,0.0,0.0
8448b13ffffffff,5.0,0.0,0.0,0.0
8448b15ffffffff,12.0,6.0,0.0,0.0
8448b31ffffffff,2.0,2.0,0.0,0.0
8448b33ffffffff,1.0,0.0,0.0,0.0
8448b37ffffffff,1.0,0.0,0.0,0.0
8448b39ffffffff,13.0,3.0,0.0,0.0
8448b3dffffffff,2.0,0.0,0.0,0.0
8448d65ffffffff,5.0,0.0,0.0,0.0
8448d6bffffffff,11.0,0.0,0.0,0.0
8448f25ffffffff,6.0,0.0,0.0,0.0
8448f49ffffffff,2.0,0.0,0.0,0.0
8449831ffffffff,2.0,0.0,2.0,0.0
844988bffffffff,3.0,0.0,0.0,0.0
84498edffffffff,1.0,0.0,1.0,0.0
8449901ffffffff,12.0,0.0,12.0,0.0
844991dffffffff,2.0,0.0,2.0,0.0
844993dffffffff,2.0,0.0,0.0,0.0
8449951ffffffff,1.0,1.0,0.0,0.0
8449959ffffffff,15.0,0.0,0.0,0.0
844995bffffffff,5.0,0.0,0.0,0.0
8449961ffffffff,4.0,0.0,3.0,0.0
8449963ffffffff,2.0,0.0,0.0,0.0
8449965ffffffff,8.0,0.0,3.0,0.0
844996bffffffff,2.0,0.0,0.0,0.0
