cell_id,Lybius leucocephalus,Lybius leucocephalus [leucocephalus Group],Lybius leucocephalus senex,Lybius leucocephalus leucogaster
83585afffffffff,2.0,0.0,0.0,0.0
8358e2fffffffff,10.0,0.0,0.0,0.0
836a5afffffffff,31.0,1.0,0.0,0.0
836ac0fffffffff,2.0,2.0,0.0,0.0
836ac1fffffffff,19.0,1.0,0.0,0.0
836ac3fffffffff,104.0,17.0,0.0,0.0
836ac8fffffffff,11.0,2.0,0.0,0.0
836ac9fffffffff,12.0,0.0,0.0,0.0
836accfffffffff,4.0,0.0,0.0,0.0
836acdfffffffff,4.0,2.0,0.0,0.0
836acefffffffff,99.0,6.0,0.0,0.0
836ad8fffffffff,2.0,0.0,0.0,0.0
836adcfffffffff,104.0,7.0,0.0,0.0
836addfffffffff,10.0,4.0,0.0,0.0
836ae0fffffffff,1.0,0.0,0.0,0.0
836ae8fffffffff,14.0,3.0,0.0,0.0
836aeafffffffff,40.0,12.0,0.0,0.0
836aebfffffffff,40.0,6.0,0.0,0.0
837a40fffffffff,8.0,0.0,0.0,0.0
837a44fffffffff,3.0,0.0,0.0,0.0
837a45fffffffff,46.0,0.0,0.0,0.0
837a48fffffffff,111.0,0.0,0.0,0.0
837a49fffffffff,2.0,0.0,0.0,0.0
837a4bfffffffff,3.0,0.0,0.0,0.0
837a4cfffffffff,11.0,0.0,0.0,0.0
837a4dfffffffff,12.0,0.0,0.0,0.0
837a60fffffffff,13.0,0.0,0.0,0.0
837a61fffffffff,9.0,0.0,0.0,0.0
837a63fffffffff,3.0,0.0,0.0,0.0
837a65fffffffff,71.0,0.0,0.0,0.0
837a68fffffffff,213.0,0.0,0.0,0.0
837a6afffffffff,166.0,17.0,0.0,0.0
837a6bfffffffff,8.0,0.0,0.0,0.0
837a6cfffffffff,4.0,0.0,0.0,0.0
837a6dfffffffff,67.0,0.0,0.0,0.0
837a6efffffffff,385.0,0.0,61.0,0.0
837b4bfffffffff,2.0,0.0,0.0,0.0
838326fffffffff,5.0,0.0,0.0,0.0
839686fffffffff,1.0,0.0,0.0,0.0
839690fffffffff,30.0,0.0,0.0,0.0
839692fffffffff,56.0,3.0,0.0,0.0
839693fffffffff,91.0,6.0,0.0,0.0
8396b0fffffffff,2.0,0.0,0.0,0.0
8396b1fffffffff,30.0,0.0,0.0,0.0
