cell_id,Aethopyga saturata,Aethopyga saturata [saturata Group],Aethopyga saturata johnsi
843c00dffffffff,1.0,0.0,0.0
843c027ffffffff,3.0,0.0,0.0
843c029ffffffff,123.0,0.0,0.0
843c02bffffffff,3.0,0.0,0.0
843c02dffffffff,171.0,2.0,0.0
843c031ffffffff,2.0,0.0,0.0
843c063ffffffff,8.0,1.0,0.0
843c067ffffffff,22.0,0.0,0.0
843c069ffffffff,2.0,0.0,0.0
843c0a3ffffffff,6.0,0.0,0.0
843c0a5ffffffff,370.0,0.0,0.0
843c0a9ffffffff,7.0,0.0,0.0
843c0adffffffff,97.0,0.0,0.0
843c0b5ffffffff,37.0,0.0,0.0
843c0b7ffffffff,53.0,0.0,0.0
843c0bdffffffff,24.0,0.0,0.0
843c199ffffffff,175.0,0.0,0.0
843c19bffffffff,2.0,0.0,0.0
843c1d1ffffffff,6.0,0.0,0.0
843c1d3ffffffff,112.0,0.0,0.0
843c1d7ffffffff,6.0,0.0,0.0
843c1dbffffffff,33.0,0.0,0.0
843c307ffffffff,3.0,0.0,0.0
843c315ffffffff,24.0,0.0,0.0
843c317ffffffff,7.0,0.0,0.0
843c33bffffffff,23.0,0.0,0.0
843c341ffffffff,4.0,0.0,0.0
843c437ffffffff,17.0,0.0,0.0
843c521ffffffff,13.0,0.0,0.0
843c525ffffffff,35.0,0.0,0.0
843c527ffffffff,569.0,0.0,0.0
843c529ffffffff,2.0,0.0,0.0
843c533ffffffff,23.0,0.0,0.0
843c537ffffffff,14.0,0.0,0.0
843c565ffffffff,1.0,0.0,0.0
843c567ffffffff,1.0,0.0,0.0
843c581ffffffff,540.0,0.0,0.0
843c583ffffffff,14.0,0.0,0.0
843c585ffffffff,7.0,0.0,0.0
843c587ffffffff,49.0,0.0,0.0
843c589ffffffff,3.0,0.0,0.0
843c58dffffffff,4.0,0.0,0.0
843c595ffffffff,14.0,0.0,0.0
843c5a1ffffffff,371.0,0.0,0.0
843c5a9ffffffff,16.0,0.0,0.0
843c5abffffffff,7.0,0.0,0.0
843c5adffffffff,25.0,0.0,0.0
843c5b1ffffffff,7.0,0.0,0.0
843c5b3ffffffff,2.0,0.0,0.0
843c5b7ffffffff,209.0,0.0,0.0
843c5b9ffffffff,23.0,0.0,0.0
843c5bbffffffff,4.0,0.0,0.0
843c5bdffffffff,326.0,0.0,0.0
843c5c1ffffffff,99.0,0.0,0.0
843c5c5ffffffff,6.0,0.0,0.0
843c5c7ffffffff,4.0,0.0,0.0
843c5cbffffffff,86.0,0.0,0.0
843c5cdffffffff,1.0,0.0,0.0
843c5d5ffffffff,3.0,0.0,0.0
843c5e3ffffffff,11.0,0.0,0.0
843c5e5ffffffff,2.0,0.0,0.0
843c5e9ffffffff,1.0,0.0,0.0
843c5ebffffffff,15.0,0.0,0.0
843cc03ffffffff,23.0,0.0,0.0
843cc0bffffffff,10.0,0.0,0.0
843cd8bffffffff,5.0,0.0,0.0
843cdd5ffffffff,6.0,0.0,0.0
843ce17ffffffff,3.0,0.0,0.0
843ce29ffffffff,5.0,0.0,0.0
843ce41ffffffff,1.0,0.0,0.0
843ce43ffffffff,6.0,0.0,0.0
843ce49ffffffff,4.0,0.0,0.0
843ce4bffffffff,56.0,0.0,0.0
843ce4dffffffff,42.0,0.0,0.0
843ce51ffffffff,39.0,0.0,0.0
843ce53ffffffff,46.0,0.0,0.0
843ce55ffffffff,46.0,0.0,0.0
843ce57ffffffff,48.0,0.0,0.0
843ce59ffffffff,27.0,0.0,0.0
843ce5bffffffff,107.0,0.0,0.0
843ce5dffffffff,161.0,0.0,0.0
843ce83ffffffff,2.0,0.0,0.0
843ce85ffffffff,19.0,0.0,0.0
843ce87ffffffff,4.0,0.0,0.0
843ce8bffffffff,6.0,0.0,0.0
843ce97ffffffff,1.0,0.0,0.0
843ceabffffffff,2.0,0.0,0.0
843cebbffffffff,2.0,0.0,0.0
843cebdffffffff,3.0,0.0,0.0
843cec9ffffffff,36.0,0.0,0.0
843d107ffffffff,7.0,0.0,0.0
843d115ffffffff,5.0,0.0,0.0
843d131ffffffff,4.0,0.0,0.0
843d137ffffffff,14.0,0.0,0.0
843d139ffffffff,3.0,0.0,0.0
843d13bffffffff,3.0,0.0,0.0
843d1a9ffffffff,2.0,0.0,0.0
843d1adffffffff,6.0,0.0,0.0
843d1e7ffffffff,18.0,0.0,0.0
843d1edffffffff,99.0,0.0,0.0
843da99ffffffff,2.0,0.0,0.0
843dad1ffffffff,537.0,0.0,0.0
843dad9ffffffff,49.0,0.0,0.0
843dadbffffffff,6.0,0.0,0.0
843daddffffffff,21.0,0.0,0.0
84402d7ffffffff,64.0,0.0,0.0
8440417ffffffff,2.0,0.0,0.0
844045dffffffff,1.0,0.0,0.0
84404c3ffffffff,3.0,0.0,0.0
84404c5ffffffff,97.0,1.0,0.0
84404c7ffffffff,4.0,0.0,0.0
