cell_id,Atlapetes albinucha,Atlapetes albinucha albinucha,Atlapetes albinucha [gutturalis Group]
844520bffffffff,6.0,0.0,0.0
8445255ffffffff,2.0,0.0,2.0
844525dffffffff,1.0,0.0,1.0
8449903ffffffff,2.0,0.0,0.0
8449963ffffffff,12.0,10.0,0.0
844996bffffffff,9.0,8.0,0.0
84660b9ffffffff,1.0,0.0,0.0
84661b9ffffffff,7.0,0.0,7.0
8466b41ffffffff,6.0,0.0,5.0
8466b45ffffffff,8.0,0.0,8.0
8466b4dffffffff,9.0,0.0,9.0
8466b51ffffffff,1.0,0.0,0.0
8466c41ffffffff,6.0,0.0,0.0
8466c49ffffffff,1.0,0.0,0.0
8466d11ffffffff,6.0,0.0,0.0
8466de1ffffffff,1.0,0.0,0.0
8466dedffffffff,5.0,0.0,1.0
8466e03ffffffff,7.0,0.0,0.0
8466e6dffffffff,2.0,0.0,0.0
8466f1dffffffff,4.0,0.0,1.0
846d23bffffffff,7.0,0.0,0.0
846d287ffffffff,2.0,0.0,2.0
846d295ffffffff,4.0,0.0,2.0
846d2b9ffffffff,2.0,0.0,0.0
846d2d7ffffffff,1.0,0.0,0.0
846d305ffffffff,3.0,2.0,0.0
846d36dffffffff,1.0,0.0,0.0
846d645ffffffff,1.0,0.0,0.0
846d691ffffffff,24.0,0.0,4.0
846d693ffffffff,2.0,0.0,2.0
846d695ffffffff,2.0,0.0,2.0
846d69bffffffff,4.0,0.0,4.0
846d69dffffffff,46.0,0.0,26.0
