cell_id,Cacicus chrysonotus,Cacicus chrysonotus leucoramphus/peruvianus,Cacicus chrysonotus chrysonotus
8466083ffffffff,59.0,6.0,0.0
8466089ffffffff,31.0,0.0,0.0
846608bffffffff,7.0,0.0,0.0
846608dffffffff,13.0,0.0,0.0
846609dffffffff,58.0,0.0,0.0
84660b3ffffffff,21.0,0.0,0.0
84660b7ffffffff,80.0,0.0,0.0
84660b9ffffffff,27.0,0.0,0.0
84660bdffffffff,16.0,0.0,0.0
84660c3ffffffff,64.0,1.0,0.0
84660c7ffffffff,3.0,0.0,0.0
84660ddffffffff,15.0,0.0,0.0
8466181ffffffff,246.0,3.0,0.0
8466185ffffffff,1.0,1.0,0.0
8466187ffffffff,46.0,5.0,0.0
8466189ffffffff,6.0,0.0,0.0
846618bffffffff,28.0,2.0,0.0
8466191ffffffff,1.0,0.0,0.0
8466193ffffffff,20.0,0.0,0.0
8466195ffffffff,4.0,0.0,0.0
8466197ffffffff,218.0,3.0,0.0
846619dffffffff,108.0,0.0,0.0
84661b1ffffffff,18.0,0.0,0.0
84661b3ffffffff,19.0,0.0,0.0
84661b9ffffffff,33.0,1.0,0.0
84661bbffffffff,1114.0,75.0,0.0
84661bdffffffff,2.0,0.0,0.0
84661c3ffffffff,2.0,2.0,0.0
84661d1ffffffff,2.0,0.0,0.0
84661d5ffffffff,39.0,8.0,0.0
84665abffffffff,1.0,0.0,0.0
8466c0dffffffff,16.0,0.0,0.0
8466c21ffffffff,104.0,0.0,0.0
8466c25ffffffff,128.0,4.0,0.0
8466c2dffffffff,18.0,2.0,0.0
8466c45ffffffff,3.0,0.0,0.0
8466c47ffffffff,3.0,0.0,0.0
8466c4dffffffff,4.0,0.0,0.0
8466c61ffffffff,19.0,0.0,0.0
8466c63ffffffff,5.0,0.0,0.0
8466c67ffffffff,20.0,0.0,0.0
8466c69ffffffff,49.0,1.0,0.0
8466c6bffffffff,1.0,1.0,0.0
8466c6dffffffff,8.0,0.0,0.0
8466d11ffffffff,10.0,2.0,0.0
8466d19ffffffff,2.0,0.0,0.0
8466d33ffffffff,7.0,3.0,0.0
8466d53ffffffff,49.0,1.0,0.0
8466d59ffffffff,1.0,0.0,0.0
8466d5bffffffff,4.0,0.0,0.0
8466de1ffffffff,724.0,136.0,0.0
8466de5ffffffff,2.0,2.0,0.0
8466dedffffffff,1703.0,313.0,0.0
8466e01ffffffff,7.0,0.0,0.0
8466e09ffffffff,35.0,0.0,0.0
8466e0bffffffff,182.0,15.0,0.0
8466e25ffffffff,4.0,0.0,0.0
8466e2dffffffff,6.0,0.0,0.0
8466e43ffffffff,577.0,35.0,0.0
8466e47ffffffff,19.0,0.0,0.0
8466e49ffffffff,15.0,0.0,0.0
