cell_id,Sitta carolinensis,Sitta carolinensis carolinensis,Sitta carolinensis [lagunae Group],Sitta carolinensis aculeata/alexandrae
840ec97ffffffff,2.0,0.0,0.0,0.0
840ecc1ffffffff,5.0,0.0,0.0,0.0
8412a37ffffffff,1.0,0.0,0.0,0.0
8412c8bffffffff,3.0,0.0,0.0,0.0
8412c97ffffffff,5.0,5.0,0.0,0.0
8412cbdffffffff,2.0,0.0,2.0,0.0
8412ccdffffffff,6.0,0.0,0.0,0.0
8412ce3ffffffff,2.0,0.0,2.0,0.0
8412d35ffffffff,1.0,0.0,0.0,0.0
8412d8bffffffff,1.0,0.0,0.0,0.0
8412d9dffffffff,3.0,0.0,0.0,0.0
8412da5ffffffff,1.0,0.0,1.0,0.0
8412da7ffffffff,1.0,0.0,0.0,0.0
8412dc9ffffffff,4.0,0.0,0.0,0.0
8412dd7ffffffff,4.0,0.0,0.0,0.0
8412ddbffffffff,26.0,0.0,0.0,0.0
8412e13ffffffff,1.0,0.0,1.0,0.0
8412ec9ffffffff,1.0,0.0,1.0,0.0
8412ecdffffffff,4.0,0.0,0.0,0.0
8412f25ffffffff,3.0,0.0,0.0,0.0
8412f6dffffffff,3.0,0.0,0.0,0.0
841aa01ffffffff,2.0,0.0,0.0,0.0
8426015ffffffff,1.0,0.0,0.0,0.0
8426039ffffffff,2.0,2.0,0.0,0.0
8426085ffffffff,20.0,20.0,0.0,0.0
8426087ffffffff,7.0,4.0,0.0,0.0
8426095ffffffff,1.0,0.0,0.0,0.0
8426097ffffffff,1.0,0.0,0.0,0.0
84260a1ffffffff,13.0,13.0,0.0,0.0
84260a9ffffffff,4.0,4.0,0.0,0.0
84260adffffffff,4.0,4.0,0.0,0.0
84260b3ffffffff,7.0,0.0,0.0,0.0
84260b9ffffffff,15.0,0.0,0.0,0.0
84260bbffffffff,2.0,0.0,0.0,0.0
84260bdffffffff,1.0,0.0,0.0,0.0
84260e3ffffffff,18.0,18.0,0.0,0.0
84260e7ffffffff,1.0,1.0,0.0,0.0
84260ebffffffff,4.0,4.0,0.0,0.0
8426139ffffffff,1.0,1.0,0.0,0.0
8426143ffffffff,1.0,1.0,0.0,0.0
8426183ffffffff,2.0,2.0,0.0,0.0
8426187ffffffff,3.0,3.0,0.0,0.0
842619dffffffff,6.0,6.0,0.0,0.0
84261abffffffff,2.0,2.0,0.0,0.0
84261b1ffffffff,2.0,2.0,0.0,0.0
8426249ffffffff,1.0,1.0,0.0,0.0
842625dffffffff,2.0,2.0,0.0,0.0
