cell_id,Troglodytes martinicensis,Troglodytes martinicensis guadeloupensis,Troglodytes martinicensis rufescens,Troglodytes martinicensis martinicensis
845e42bffffffff,76.0,0.0,14.0,0.0
845e43dffffffff,224.0,0.0,111.0,0.0
