cell_id,Mixornis bornensis,Mixornis bornensis [bornensis Group],Mixornis bornensis cagayanensis
826807fffffffff,62.0,0.0,0.0
826817fffffffff,246.0,65.0,0.0
82681ffffffffff,1327.0,291.0,0.0
826887fffffffff,3.0,0.0,0.0
82688ffffffffff,12.0,0.0,0.0
826897fffffffff,10.0,0.0,0.0
82689ffffffffff,13.0,0.0,0.0
8268a7fffffffff,45.0,6.0,0.0
8268affffffffff,3.0,0.0,0.0
8268b7fffffffff,4.0,0.0,0.0
828c97fffffffff,79.0,7.0,0.0
