cell_id,Hemitriccus zosterops,Hemitriccus zosterops zosterops/flaviviridis,Hemitriccus zosterops [undescribed form]
825f07fffffffff,28.0,0.0,0.0
825f17fffffffff,15.0,0.0,0.0
825f1ffffffffff,1.0,0.0,0.0
825f2ffffffffff,2.0,0.0,0.0
826647fffffffff,86.0,0.0,0.0
82664ffffffffff,7.0,0.0,0.0
826657fffffffff,14.0,0.0,0.0
82665ffffffffff,257.0,0.0,0.0
826667fffffffff,1.0,0.0,0.0
826677fffffffff,6.0,0.0,0.0
8266c7fffffffff,24.0,0.0,0.0
8266cffffffffff,1.0,0.0,0.0
8266d7fffffffff,30.0,0.0,0.0
8266dffffffffff,154.0,0.0,0.0
8266e7fffffffff,8.0,0.0,0.0
8266effffffffff,45.0,0.0,0.0
82804ffffffffff,4.0,0.0,0.0
82806ffffffffff,5.0,0.0,0.0
828a47fffffffff,9.0,0.0,0.0
828a4ffffffffff,1.0,0.0,0.0
828a5ffffffffff,1.0,0.0,0.0
828a6ffffffffff,2.0,0.0,0.0
828a8ffffffffff,1.0,0.0,0.0
828a9ffffffffff,3.0,0.0,0.0
828adffffffffff,3.0,0.0,0.0
828ae7fffffffff,2.0,0.0,0.0
828af7fffffffff,575.0,1.0,0.0
828e67fffffffff,2.0,0.0,0.0
828f47fffffffff,119.0,0.0,0.0
828f4ffffffffff,4.0,0.0,0.0
828f5ffffffffff,10.0,0.0,0.0
828f67fffffffff,4.0,0.0,0.0
828f77fffffffff,37.0,0.0,0.0
