cell_id,Sula brewsteri,Sula brewsteri brewsteri,Sula brewsteri etesiaca
822837fffffffff,3016.0,125.0,0.0
822917fffffffff,209.0,0.0,0.0
8229a7fffffffff,3103.0,90.0,0.0
824807fffffffff,71.0,1.0,0.0
82480ffffffffff,345.0,5.0,0.0
824827fffffffff,135.0,1.0,0.0
82482ffffffffff,239.0,5.0,0.0
824837fffffffff,1040.0,76.0,0.0
824847fffffffff,23.0,0.0,0.0
82484ffffffffff,62.0,1.0,0.0
824857fffffffff,313.0,2.0,0.0
82485ffffffffff,237.0,9.0,0.0
824867fffffffff,2.0,0.0,0.0
82486ffffffffff,7.0,0.0,0.0
824877fffffffff,33.0,0.0,0.0
82490ffffffffff,78.0,8.0,0.0
824917fffffffff,2.0,0.0,0.0
82491ffffffffff,9.0,1.0,0.0
824957fffffffff,5.0,0.0,0.0
824977fffffffff,23.0,4.0,0.0
8249a7fffffffff,162.0,0.0,0.0
8249affffffffff,325.0,29.0,0.0
8249b7fffffffff,14.0,0.0,0.0
826617fffffffff,13.0,0.0,0.0
82661ffffffffff,116.0,0.0,2.0
826687fffffffff,75.0,0.0,0.0
82668ffffffffff,6.0,0.0,0.0
826697fffffffff,20.0,0.0,0.0
82669ffffffffff,1.0,0.0,0.0
8266a7fffffffff,583.0,0.0,0.0
8266affffffffff,69.0,0.0,0.0
8266b7fffffffff,1759.0,99.0,0.0
8266d7fffffffff,55.0,0.0,24.0
8266f7fffffffff,28.0,0.0,0.0
826c47fffffffff,2.0,0.0,0.0
826c67fffffffff,355.0,0.0,0.0
826d07fffffffff,31.0,0.0,0.0
826d0ffffffffff,2.0,0.0,0.0
826d17fffffffff,374.0,2.0,0.0
826d1ffffffffff,4.0,0.0,0.0
826d2ffffffffff,2.0,0.0,0.0
826d47fffffffff,14.0,0.0,0.0
826d4ffffffffff,169.0,0.0,0.0
826d57fffffffff,4.0,0.0,0.0
826d67fffffffff,38.0,0.0,0.0
826d6ffffffffff,1674.0,121.0,0.0
826d77fffffffff,135.0,0.0,0.0
826da7fffffffff,2.0,0.0,0.0
826daffffffffff,2.0,0.0,0.0
828f27fffffffff,3.0,0.0,0.0
