cell_id,Nesillas typica,Nesillas typica longicaudata,Nesillas typica [typica Group]
83a204fffffffff,5.0,0.0,1.0
83a214fffffffff,507.0,0.0,452.0
83a215fffffffff,7.0,0.0,7.0
83a216fffffffff,2.0,0.0,0.0
83a222fffffffff,361.0,0.0,321.0
83a223fffffffff,5.0,0.0,2.0
83a231fffffffff,441.0,0.0,378.0
83a233fffffffff,25.0,0.0,15.0
83a235fffffffff,285.0,0.0,248.0
83a2a1fffffffff,1.0,0.0,0.0
83a2a3fffffffff,3.0,0.0,3.0
83a2a4fffffffff,3.0,0.0,3.0
83a2a6fffffffff,1.0,0.0,1.0
83a2aefffffffff,2.0,0.0,1.0
83a304fffffffff,10.0,10.0,0.0
83a308fffffffff,67.0,0.0,67.0
83a309fffffffff,26.0,0.0,26.0
83a30cfffffffff,3.0,0.0,3.0
83a318fffffffff,1.0,0.0,1.0
83a319fffffffff,14.0,0.0,12.0
83a31bfffffffff,4.0,0.0,4.0
83a322fffffffff,4.0,4.0,0.0
83a331fffffffff,9.0,9.0,0.0
83a335fffffffff,1.0,0.0,1.0
83a356fffffffff,7.0,0.0,4.0
83a376fffffffff,36.0,0.0,33.0
83a389fffffffff,1.0,0.0,0.0
83a38bfffffffff,17.0,0.0,16.0
83a38cfffffffff,1.0,0.0,1.0
83a38dfffffffff,2.0,0.0,2.0
83a399fffffffff,12.0,0.0,12.0
83a3abfffffffff,5.0,0.0,5.0
