cell_id,Cyclarhis gujanensis,Cyclarhis gujanensis [gujanensis Group],Cyclarhis gujanensis insularis,Cyclarhis gujanensis [virenticeps Group],Cyclarhis gujanensis viridis/cearensis,Cyclarhis gujanensis ochrocephala
824427fffffffff,4.0,0.0,0.0,0.0,0.0,0.0
824507fffffffff,862.0,10.0,0.0,0.0,0.0,0.0
82450ffffffffff,9546.0,1385.0,593.0,0.0,0.0,0.0
82451ffffffffff,63.0,20.0,0.0,0.0,0.0,0.0
824527fffffffff,2704.0,44.0,0.0,0.0,0.0,0.0
82452ffffffffff,2980.0,80.0,0.0,0.0,0.0,0.0
824537fffffffff,246.0,0.0,0.0,0.0,0.0,0.0
824577fffffffff,500.0,151.0,0.0,0.0,0.0,0.0
8248b7fffffffff,5.0,0.0,0.0,0.0,0.0,0.0
824997fffffffff,314.0,54.0,0.0,0.0,0.0,0.0
82499ffffffffff,269.0,17.0,0.0,0.0,0.0,0.0
825f07fffffffff,64.0,0.0,0.0,0.0,0.0,0.0
825f17fffffffff,52.0,0.0,0.0,0.0,0.0,0.0
825f1ffffffffff,17.0,0.0,0.0,0.0,0.0,0.0
825f27fffffffff,12.0,0.0,0.0,0.0,0.0,0.0
825f2ffffffffff,311.0,0.0,0.0,0.0,0.0,0.0
825f37fffffffff,1.0,0.0,0.0,0.0,0.0,0.0
825f47fffffffff,157.0,2.0,0.0,0.0,0.0,0.0
825f4ffffffffff,237.0,0.0,0.0,0.0,0.0,0.0
825f5ffffffffff,1828.0,0.0,0.0,0.0,0.0,0.0
825f67fffffffff,2.0,0.0,0.0,0.0,0.0,0.0
825f6ffffffffff,62.0,0.0,0.0,0.0,0.0,0.0
825f77fffffffff,178.0,0.0,0.0,0.0,0.0,0.0
826607fffffffff,311.0,2.0,0.0,0.0,0.0,0.0
82660ffffffffff,1915.0,13.0,0.0,0.0,0.0,0.0
826617fffffffff,26.0,0.0,0.0,0.0,0.0,0.0
82661ffffffffff,429.0,0.0,0.0,0.0,0.0,0.0
826627fffffffff,1038.0,0.0,0.0,0.0,0.0,0.0
82662ffffffffff,227.0,0.0,0.0,0.0,0.0,0.0
826637fffffffff,356.0,0.0,0.0,0.0,0.0,0.0
826647fffffffff,322.0,3.0,0.0,0.0,0.0,0.0
82664ffffffffff,12.0,0.0,0.0,0.0,0.0,0.0
826657fffffffff,620.0,0.0,0.0,0.0,0.0,0.0
82665ffffffffff,473.0,0.0,0.0,0.0,0.0,0.0
826667fffffffff,155.0,0.0,0.0,0.0,0.0,0.0
826677fffffffff,223.0,0.0,0.0,0.0,0.0,0.0
826687fffffffff,11.0,0.0,0.0,0.0,0.0,0.0
8266a7fffffffff,1362.0,171.0,0.0,0.0,0.0,0.0
8266b7fffffffff,5983.0,67.0,0.0,0.0,0.0,0.0
8266c7fffffffff,913.0,4.0,0.0,0.0,0.0,0.0
8266cffffffffff,2.0,0.0,0.0,0.0,0.0,0.0
8266d7fffffffff,164.0,0.0,0.0,2.0,0.0,0.0
