cell_id,Certhilauda curvirostris,Certhilauda curvirostris curvirostris/falcirostris,Certhilauda curvirostris brevirostris
82ad17fffffffff,3.0,3.0,0.0
82ad37fffffffff,166.0,148.0,0.0
82ada7fffffffff,2.0,2.0,0.0
82adaffffffffff,71.0,69.0,0.0
82adb7fffffffff,1.0,1.0,0.0
82bc47fffffffff,11.0,0.0,10.0
82bc4ffffffffff,18.0,18.0,0.0
82bc6ffffffffff,452.0,0.0,429.0
