cell_id,Acrocephalus scirpaceus,Acrocephalus scirpaceus scirpaceus,Acrocephalus scirpaceus fuscus,Acrocephalus scirpaceus avicenniae,Acrocephalus scirpaceus ammon,Acrocephalus scirpaceus [baeticatus Group]
830880fffffffff,22.0,0.0,0.0,0.0,0.0,0.0
830882fffffffff,3.0,0.0,0.0,0.0,0.0,0.0
830883fffffffff,10.0,0.0,0.0,0.0,0.0,0.0
830884fffffffff,2.0,0.0,0.0,0.0,0.0,0.0
830885fffffffff,2.0,0.0,0.0,0.0,0.0,0.0
830886fffffffff,111.0,0.0,0.0,0.0,0.0,0.0
830888fffffffff,3.0,0.0,0.0,0.0,0.0,0.0
83088efffffffff,4.0,4.0,0.0,0.0,0.0,0.0
830890fffffffff,7.0,0.0,0.0,0.0,0.0,0.0
830893fffffffff,7.0,0.0,0.0,0.0,0.0,0.0
830894fffffffff,2.0,0.0,0.0,0.0,0.0,0.0
830895fffffffff,15.0,0.0,0.0,0.0,0.0,0.0
830896fffffffff,7.0,0.0,0.0,0.0,0.0,0.0
830898fffffffff,6.0,0.0,0.0,0.0,0.0,0.0
830899fffffffff,79.0,34.0,0.0,0.0,0.0,0.0
83089afffffffff,26.0,0.0,0.0,0.0,0.0,0.0
83089bfffffffff,8.0,0.0,0.0,0.0,0.0,0.0
83089cfffffffff,3.0,0.0,0.0,0.0,0.0,0.0
83089dfffffffff,34.0,0.0,0.0,0.0,0.0,0.0
83089efffffffff,24.0,0.0,0.0,0.0,0.0,0.0
8308a3fffffffff,4.0,0.0,0.0,0.0,0.0,0.0
8308a4fffffffff,1.0,0.0,0.0,0.0,0.0,0.0
8308a6fffffffff,4.0,0.0,0.0,0.0,0.0,0.0
8308b0fffffffff,6.0,0.0,0.0,0.0,0.0,0.0
8308b1fffffffff,53.0,0.0,0.0,0.0,0.0,0.0
8308b3fffffffff,11.0,0.0,0.0,0.0,0.0,0.0
8308b4fffffffff,11.0,0.0,0.0,0.0,0.0,0.0
8308b5fffffffff,18.0,0.0,0.0,0.0,0.0,0.0
8308b6fffffffff,4.0,0.0,0.0,0.0,0.0,0.0
8308d8fffffffff,1.0,0.0,0.0,0.0,0.0,0.0
8308f0fffffffff,1.0,0.0,0.0,0.0,0.0,0.0
830982fffffffff,6.0,0.0,0.0,0.0,0.0,0.0
830991fffffffff,22.0,7.0,0.0,0.0,0.0,0.0
830998fffffffff,6.0,0.0,0.0,0.0,0.0,0.0
830999fffffffff,16.0,0.0,0.0,0.0,0.0,0.0
83099bfffffffff,17.0,0.0,0.0,0.0,0.0,0.0
8309a0fffffffff,24.0,0.0,0.0,0.0,0.0,0.0
8309a4fffffffff,9.0,0.0,0.0,0.0,0.0,0.0
8309a6fffffffff,4.0,1.0,0.0,0.0,0.0,0.0
8310defffffffff,1.0,0.0,0.0,0.0,0.0,0.0
831105fffffffff,2.0,0.0,0.0,0.0,0.0,0.0
831106fffffffff,17.0,0.0,0.0,0.0,0.0,0.0
831122fffffffff,12.0,0.0,0.0,0.0,0.0,0.0
