cell_id,Serpophaga subcristata,Serpophaga subcristata subcristata/straminea,Serpophaga subcristata munda
838002fffffffff,2.0,2.0,0.0
838030fffffffff,48.0,41.0,0.0
838035fffffffff,4.0,4.0,0.0
838036fffffffff,2.0,2.0,0.0
838100fffffffff,2.0,2.0,0.0
838102fffffffff,6.0,5.0,0.0
838104fffffffff,4.0,4.0,0.0
838106fffffffff,7.0,5.0,0.0
838118fffffffff,1.0,0.0,0.0
83811afffffffff,1.0,1.0,0.0
838123fffffffff,1.0,0.0,0.0
838130fffffffff,47.0,43.0,0.0
838131fffffffff,5.0,5.0,0.0
838133fffffffff,98.0,92.0,0.0
838134fffffffff,5.0,3.0,0.0
838136fffffffff,1.0,0.0,0.0
838181fffffffff,8.0,8.0,0.0
838183fffffffff,1.0,0.0,0.0
838188fffffffff,2.0,2.0,0.0
83818cfffffffff,1.0,0.0,0.0
8381adfffffffff,6.0,6.0,0.0
838b06fffffffff,2.0,0.0,2.0
838b0cfffffffff,14.0,2.0,11.0
838b0dfffffffff,23.0,14.0,9.0
838b20fffffffff,197.0,12.0,154.0
838b21fffffffff,8.0,0.0,8.0
838b22fffffffff,106.0,34.0,71.0
838b23fffffffff,2.0,0.0,2.0
838b24fffffffff,6.0,0.0,6.0
838b25fffffffff,58.0,0.0,58.0
838b26fffffffff,34.0,16.0,18.0
838b2afffffffff,28.0,11.0,12.0
838b2cfffffffff,132.0,0.0,131.0
838b2dfffffffff,7.0,0.0,7.0
838b2efffffffff,1.0,0.0,1.0
838b31fffffffff,5.0,2.0,3.0
838b36fffffffff,2.0,0.0,2.0
838b9dfffffffff,3.0,3.0,0.0
838ba6fffffffff,1.0,1.0,0.0
838bb5fffffffff,6.0,6.0,0.0
83a596fffffffff,6.0,6.0,0.0
83a800fffffffff,16.0,16.0,0.0
83a801fffffffff,74.0,74.0,0.0
83a802fffffffff,5.0,5.0,0.0
83a803fffffffff,4.0,3.0,0.0
83a804fffffffff,49.0,47.0,0.0
83a805fffffffff,8.0,4.0,0.0
83a806fffffffff,56.0,49.0,0.0
83a808fffffffff,4.0,4.0,0.0
83a80afffffffff,2.0,2.0,0.0
83a80cfffffffff,3.0,3.0,0.0
83a80efffffffff,2.0,2.0,0.0
83a810fffffffff,561.0,496.0,0.0
83a811fffffffff,119.0,95.0,0.0
83a812fffffffff,345.0,299.0,0.0
83a813fffffffff,381.0,361.0,0.0
83a814fffffffff,3.0,3.0,0.0
83a815fffffffff,77.0,65.0,0.0
83a818fffffffff,49.0,43.0,0.0
83a819fffffffff,20.0,19.0,0.0
83a81afffffffff,9.0,8.0,0.0
83a81bfffffffff,10.0,9.0,0.0
83a81cfffffffff,250.0,222.0,0.0
83a81dfffffffff,11.0,9.0,0.0
83a81efffffffff,1174.0,1133.0,0.0
83a820fffffffff,3.0,2.0,0.0
83a821fffffffff,10.0,10.0,0.0
83a822fffffffff,15.0,15.0,0.0
83a823fffffffff,2.0,2.0,0.0
83a824fffffffff,38.0,15.0,0.0
83a825fffffffff,41.0,36.0,0.0
83a826fffffffff,16.0,16.0,0.0
83a828fffffffff,2.0,2.0,0.0
83a829fffffffff,2.0,2.0,0.0
83a82afffffffff,3.0,3.0,0.0
83a82bfffffffff,15.0,15.0,0.0
83a82cfffffffff,2.0,1.0,0.0
83a82dfffffffff,1.0,0.0,0.0
83a82efffffffff,4.0,4.0,0.0
83a831fffffffff,139.0,126.0,0.0
83a833fffffffff,9.0,8.0,0.0
83a835fffffffff,17.0,16.0,0.0
83a840fffffffff,38.0,21.0,17.0
83a844fffffffff,3.0,3.0,0.0
83a845fffffffff,4.0,0.0,4.0
83a846fffffffff,4.0,4.0,0.0
83a859fffffffff,24.0,24.0,0.0
83a85dfffffffff,16.0,16.0,0.0
83a860fffffffff,16.0,12.0,4.0
83a862fffffffff,2.0,2.0,0.0
83a864fffffffff,1.0,0.0,0.0
83a865fffffffff,8.0,5.0,3.0
83a866fffffffff,2.0,2.0,0.0
83a86dfffffffff,2.0,1.0,0.0
83a880fffffffff,76.0,76.0,0.0
83a881fffffffff,77.0,65.0,0.0
83a882fffffffff,34.0,34.0,0.0
83a883fffffffff,3.0,2.0,0.0
83a884fffffffff,39.0,34.0,0.0
83a885fffffffff,9.0,8.0,0.0
83a886fffffffff,7.0,6.0,0.0
83a88afffffffff,3.0,3.0,0.0
83a88cfffffffff,7.0,4.0,0.0
83a88dfffffffff,6.0,6.0,0.0
83a88efffffffff,2.0,2.0,0.0
83a891fffffffff,14.0,11.0,0.0
83a895fffffffff,2.0,2.0,0.0
83a89bfffffffff,4.0,4.0,0.0
83a8a0fffffffff,76.0,75.0,0.0
83a8a1fffffffff,294.0,245.0,0.0
83a8a2fffffffff,70.0,66.0,0.0
83a8a3fffffffff,39.0,37.0,0.0
83a8a8fffffffff,14.0,10.0,0.0
83a8a9fffffffff,52.0,42.0,0.0
83a8aafffffffff,20.0,18.0,0.0
83a8acfffffffff,108.0,90.0,0.0
83a8adfffffffff,20.0,20.0,0.0
83a8aefffffffff,73.0,73.0,0.0
83a8b1fffffffff,3.0,3.0,0.0
83a8defffffffff,3.0,3.0,0.0
83a8e6fffffffff,9.0,9.0,0.0
83a8f0fffffffff,1.0,0.0,0.0
83a8f2fffffffff,2.0,2.0,0.0
83a8f4fffffffff,15.0,15.0,0.0
83a901fffffffff,113.0,102.0,0.0
83a903fffffffff,21.0,21.0,0.0
83a905fffffffff,49.0,42.0,0.0
83a908fffffffff,6.0,4.0,0.0
83a909fffffffff,34.0,34.0,0.0
83a90afffffffff,11.0,4.0,0.0
83a90bfffffffff,11.0,11.0,0.0
83a90cfffffffff,21.0,17.0,0.0
83a90dfffffffff,22.0,22.0,0.0
83a90efffffffff,37.0,27.0,0.0
83a918fffffffff,30.0,21.0,0.0
83a919fffffffff,120.0,97.0,0.0
83a91bfffffffff,74.0,54.0,0.0
83a91dfffffffff,98.0,89.0,0.0
83a921fffffffff,20.0,20.0,0.0
83a928fffffffff,9.0,9.0,0.0
83a929fffffffff,26.0,23.0,0.0
83a92afffffffff,8.0,8.0,0.0
83a92bfffffffff,6.0,6.0,0.0
83a92cfffffffff,550.0,518.0,0.0
83a92dfffffffff,48.0,24.0,0.0
83a92efffffffff,150.0,130.0,0.0
83a940fffffffff,11.0,11.0,0.0
83a941fffffffff,186.0,178.0,2.0
83a942fffffffff,9.0,9.0,0.0
83a943fffffffff,2.0,2.0,0.0
83a944fffffffff,228.0,190.0,0.0
83a945fffffffff,52.0,47.0,4.0
83a946fffffffff,136.0,89.0,0.0
83a948fffffffff,10.0,2.0,8.0
83a949fffffffff,3.0,1.0,2.0
83a94cfffffffff,32.0,30.0,0.0
83a94dfffffffff,2.0,0.0,2.0
