cell_id,Butorides virescens,Butorides virescens virescens/bahamensis,Butorides virescens anthonyi,Butorides virescens frazari
840745dffffffff,1.0,0.0,0.0,0.0
8412ccdffffffff,43.0,0.0,0.0,0.0
8412d17ffffffff,4.0,0.0,0.0,0.0
8412db3ffffffff,1.0,0.0,0.0,0.0
8412dc7ffffffff,2.0,0.0,0.0,0.0
8412dc9ffffffff,1.0,0.0,0.0,0.0
8418681ffffffff,3.0,0.0,0.0,0.0
8418747ffffffff,5.0,0.0,0.0,0.0
8419405ffffffff,1.0,0.0,0.0,0.0
841942bffffffff,1.0,0.0,0.0,0.0
8419485ffffffff,5.0,0.0,0.0,0.0
84195a5ffffffff,2.0,0.0,0.0,0.0
841a849ffffffff,1.0,0.0,0.0,0.0
841aa07ffffffff,4.0,0.0,0.0,0.0
841ab0bffffffff,1.0,0.0,0.0,0.0
84260a1ffffffff,8.0,0.0,0.0,0.0
84260a9ffffffff,2.0,0.0,0.0,0.0
84260b9ffffffff,1.0,0.0,0.0,0.0
842611dffffffff,1.0,0.0,0.0,0.0
842612bffffffff,4.0,0.0,0.0,0.0
84261a7ffffffff,3.0,0.0,0.0,0.0
842620dffffffff,2.0,0.0,0.0,0.0
8426249ffffffff,2.0,0.0,0.0,0.0
842625dffffffff,2.0,0.0,0.0,0.0
8426261ffffffff,3.0,0.0,0.0,0.0
8426263ffffffff,6.0,0.0,0.0,0.0
84262cdffffffff,5.0,0.0,0.0,0.0
842634bffffffff,3.0,0.0,0.0,0.0
8426405ffffffff,5.0,0.0,0.0,0.0
842640dffffffff,1.0,0.0,0.0,0.0
8426415ffffffff,1.0,0.0,0.0,0.0
8426433ffffffff,2.0,0.0,0.0,0.0
8426437ffffffff,3.0,0.0,0.0,0.0
8426439ffffffff,1.0,0.0,0.0,0.0
842643bffffffff,2.0,0.0,0.0,0.0
8426461ffffffff,5.0,0.0,0.0,0.0
8426463ffffffff,5.0,0.0,0.0,0.0
842646bffffffff,2.0,0.0,0.0,0.0
8426481ffffffff,1.0,0.0,0.0,0.0
8426489ffffffff,24.0,0.0,0.0,0.0
8426493ffffffff,8.0,0.0,0.0,0.0
842649dffffffff,2.0,0.0,0.0,0.0
84264c1ffffffff,3.0,0.0,0.0,0.0
84264c3ffffffff,6.0,1.0,0.0,0.0
84264c5ffffffff,4.0,0.0,0.0,0.0
84264c7ffffffff,8.0,0.0,0.0,0.0
84264d1ffffffff,14.0,0.0,0.0,0.0
84264d9ffffffff,4.0,0.0,0.0,0.0
84264dbffffffff,3.0,0.0,0.0,0.0
84264e1ffffffff,2.0,0.0,0.0,0.0
84264e5ffffffff,1.0,0.0,0.0,0.0
84264edffffffff,1.0,0.0,0.0,0.0
8426531ffffffff,2.0,0.0,0.0,0.0
8426533ffffffff,3.0,0.0,0.0,0.0
842653bffffffff,3.0,0.0,0.0,0.0
8426541ffffffff,1.0,0.0,0.0,0.0
8426551ffffffff,1.0,0.0,0.0,0.0
8426555ffffffff,16.0,0.0,0.0,0.0
8426557ffffffff,1.0,0.0,0.0,0.0
8426563ffffffff,1.0,0.0,0.0,0.0
8426567ffffffff,11.0,0.0,0.0,0.0
842656dffffffff,2.0,0.0,0.0,0.0
842659bffffffff,2.0,0.0,0.0,0.0
84265a9ffffffff,2.0,0.0,0.0,0.0
84265b1ffffffff,6.0,0.0,0.0,0.0
84265b9ffffffff,4.0,0.0,0.0,0.0
84265c9ffffffff,1.0,0.0,0.0,0.0
84265d9ffffffff,2.0,0.0,0.0,0.0
84265dbffffffff,2.0,0.0,0.0,0.0
842661bffffffff,1.0,0.0,0.0,0.0
8426621ffffffff,5.0,0.0,0.0,0.0
842663dffffffff,6.0,0.0,0.0,0.0
8426645ffffffff,2.0,0.0,0.0,0.0
842664dffffffff,47.0,0.0,0.0,0.0
8426651ffffffff,2.0,0.0,0.0,0.0
8426657ffffffff,2.0,0.0,0.0,0.0
8426669ffffffff,6.0,0.0,0.0,0.0
8426689ffffffff,6.0,0.0,0.0,0.0
842668bffffffff,3.0,0.0,0.0,0.0
842669bffffffff,6.0,4.0,0.0,0.0
84266b1ffffffff,1.0,0.0,0.0,0.0
84266bbffffffff,1.0,0.0,0.0,0.0
84266c1ffffffff,4.0,0.0,0.0,0.0
84266c5ffffffff,2.0,0.0,0.0,0.0
84266d5ffffffff,2.0,0.0,0.0,0.0
84266e1ffffffff,2.0,0.0,0.0,0.0
842670bffffffff,2.0,0.0,0.0,0.0
8426723ffffffff,2.0,0.0,0.0,0.0
8426819ffffffff,3.0,0.0,0.0,0.0
842681bffffffff,22.0,0.0,0.0,0.0
8426825ffffffff,1.0,0.0,0.0,0.0
8426859ffffffff,2.0,0.0,0.0,0.0
