cell_id,Pterodroma feae,Pterodroma feae feae,Pterodroma feae deserta
8418053ffffffff,13.0,0.0,0.0
8418057ffffffff,4.0,0.0,0.0
84180cdffffffff,1.0,0.0,0.0
8418239ffffffff,1.0,0.0,0.0
8418553ffffffff,2.0,0.0,0.0
84185bbffffffff,1.0,0.0,0.0
841870dffffffff,4.0,0.0,1.0
8418729ffffffff,3.0,0.0,0.0
8418763ffffffff,1.0,0.0,0.0
841946dffffffff,2.0,0.0,0.0
841973bffffffff,3.0,0.0,0.0
8419763ffffffff,1.0,0.0,0.0
841ab11ffffffff,1.0,0.0,0.0
841ab1dffffffff,1.0,0.0,0.0
842a1c1ffffffff,1.0,0.0,0.0
842a1cdffffffff,6.0,0.0,0.0
842a31dffffffff,3.0,0.0,0.0
842a89dffffffff,1.0,0.0,0.0
842ac61ffffffff,7.0,0.0,0.0
842ac69ffffffff,289.0,1.0,6.0
842ac6dffffffff,3.0,0.0,0.0
842af11ffffffff,8.0,0.0,0.0
842af15ffffffff,1.0,0.0,0.0
842af19ffffffff,7.0,0.0,0.0
842af1bffffffff,2.0,0.0,0.0
8434587ffffffff,1.0,0.0,0.0
843460dffffffff,1.0,0.0,1.0
84346b7ffffffff,1.0,0.0,0.0
84346dbffffffff,1.0,0.0,0.0
843925bffffffff,7.0,0.0,6.0
8444a1dffffffff,5.0,0.0,0.0
8444d61ffffffff,7.0,0.0,0.0
8455927ffffffff,1.0,0.0,0.0
8455935ffffffff,1.0,0.0,0.0
