cell_id,Ardea purpurea,Ardea purpurea bournei,Ardea purpurea [purpurea Group]
82075ffffffffff,1.0,0.0,0.0
820777fffffffff,2.0,0.0,0.0
820887fffffffff,2.0,0.0,0.0
82182ffffffffff,6.0,0.0,0.0
82184ffffffffff,39.0,0.0,0.0
82185ffffffffff,6.0,0.0,0.0
821877fffffffff,3.0,0.0,0.0
821947fffffffff,19.0,0.0,0.0
82194ffffffffff,38.0,0.0,0.0
821957fffffffff,4.0,0.0,0.0
82195ffffffffff,18.0,0.0,1.0
821977fffffffff,3.0,0.0,0.0
821e07fffffffff,129.0,0.0,0.0
821e0ffffffffff,189.0,0.0,1.0
821e17fffffffff,10.0,0.0,0.0
821e1ffffffffff,17.0,0.0,1.0
821e27fffffffff,2.0,0.0,0.0
821e2ffffffffff,16.0,0.0,0.0
821e37fffffffff,12.0,0.0,0.0
821e57fffffffff,2.0,0.0,0.0
821e5ffffffffff,3.0,0.0,0.0
821e67fffffffff,4.0,0.0,0.0
821e6ffffffffff,4.0,0.0,0.0
821ea7fffffffff,21.0,0.0,2.0
821eb7fffffffff,5.0,0.0,0.0
821ec7fffffffff,67.0,0.0,8.0
821ecffffffffff,16.0,0.0,0.0
821edffffffffff,29.0,0.0,1.0
821eeffffffffff,2.0,0.0,0.0
821ef7fffffffff,1.0,0.0,0.0
821f0ffffffffff,1.0,0.0,0.0
821f17fffffffff,4.0,0.0,0.0
821f37fffffffff,2.0,0.0,0.0
821f5ffffffffff,2.0,0.0,0.0
821f87fffffffff,5.0,0.0,0.0
821f8ffffffffff,8.0,0.0,0.0
821f97fffffffff,2.0,0.0,0.0
821f9ffffffffff,20.0,0.0,0.0
821faffffffffff,20.0,0.0,0.0
822017fffffffff,1.0,0.0,0.0
8220a7fffffffff,5.0,0.0,3.0
8220b7fffffffff,2.0,0.0,0.0
8220effffffffff,2.0,0.0,0.0
822c27fffffffff,6.0,0.0,4.0
822c4ffffffffff,1.0,0.0,0.0
822c57fffffffff,5.0,0.0,0.0
822c5ffffffffff,2.0,0.0,0.0
822c97fffffffff,4.0,0.0,0.0
822cc7fffffffff,2.0,0.0,0.0
822d07fffffffff,12.0,0.0,6.0
822d17fffffffff,11.0,0.0,0.0
822d37fffffffff,5.0,0.0,2.0
822d67fffffffff,6.0,0.0,0.0
822d97fffffffff,1.0,0.0,0.0
822da7fffffffff,9.0,0.0,2.0
822daffffffffff,3.0,0.0,0.0
822db7fffffffff,26.0,0.0,1.0
82301ffffffffff,1.0,0.0,0.0
82309ffffffffff,19.0,0.0,1.0
8230e7fffffffff,1.0,0.0,0.0
82312ffffffffff,1.0,0.0,0.0
823187fffffffff,22.0,0.0,0.0
82318ffffffffff,7.0,0.0,0.0
8231affffffffff,2.0,0.0,0.0
823427fffffffff,2.0,0.0,0.0
82344ffffffffff,9.0,0.0,0.0
823467fffffffff,4.0,0.0,0.0
82351ffffffffff,5.0,0.0,0.0
8235affffffffff,2.0,0.0,0.0
823867fffffffff,7.0,0.0,0.0
823877fffffffff,5.0,0.0,0.0
823907fffffffff,230.0,0.0,2.0
82390ffffffffff,24.0,0.0,0.0
823917fffffffff,48.0,0.0,2.0
82391ffffffffff,28.0,0.0,2.0
823927fffffffff,58.0,0.0,0.0
82392ffffffffff,67.0,0.0,0.0
823937fffffffff,45.0,0.0,1.0
823947fffffffff,18.0,0.0,6.0
823957fffffffff,17.0,0.0,0.0
82395ffffffffff,2.0,0.0,0.0
823977fffffffff,119.0,0.0,52.0
823c1ffffffffff,41.0,0.0,0.0
823c37fffffffff,11.0,0.0,0.0
823c5ffffffffff,6.0,0.0,3.0
823c87fffffffff,3.0,0.0,0.0
823c8ffffffffff,18.0,0.0,0.0
823c9ffffffffff,46.0,0.0,0.0
823ce7fffffffff,4.0,0.0,0.0
823cf7fffffffff,61.0,0.0,0.0
823d07fffffffff,2.0,0.0,0.0
823d17fffffffff,2.0,0.0,0.0
823d27fffffffff,2.0,0.0,0.0
823d37fffffffff,3.0,0.0,0.0
823d87fffffffff,10.0,0.0,8.0
823d8ffffffffff,11.0,0.0,0.0
823d97fffffffff,1.0,0.0,0.0
823da7fffffffff,5.0,0.0,5.0
823db7fffffffff,4.0,0.0,0.0
823e47fffffffff,3.0,0.0,0.0
823e5ffffffffff,12.0,0.0,5.0
823e6ffffffffff,5.0,0.0,0.0
823f2ffffffffff,8.0,0.0,0.0
823f37fffffffff,14.0,0.0,0.0
823f4ffffffffff,5.0,0.0,2.0
823f67fffffffff,3.0,0.0,0.0
823f6ffffffffff,18.0,0.0,0.0
823f77fffffffff,6.0,0.0,0.0
8240a7fffffffff,2.0,0.0,0.0
82411ffffffffff,4.0,0.0,1.0
824177fffffffff,4.0,0.0,0.0
82419ffffffffff,3.0,0.0,2.0
8241a7fffffffff,7.0,0.0,0.0
8242c7fffffffff,43.0,0.0,2.0
8242cffffffffff,12.0,0.0,1.0
8242dffffffffff,6.0,0.0,2.0
824367fffffffff,1.0,0.0,0.0
8243a7fffffffff,3.0,0.0,0.0
8243affffffffff,10.0,0.0,6.0
824b87fffffffff,5.0,0.0,0.0
824ba7fffffffff,238.0,0.0,1.0
824baffffffffff,2.0,0.0,0.0
824bb7fffffffff,23.0,0.0,0.0
825367fffffffff,2.0,0.0,0.0
8253a7fffffffff,6.0,0.0,6.0
8253b7fffffffff,8.0,0.0,8.0
8254c7fffffffff,9.0,0.0,0.0
8254effffffffff,2.0,0.0,0.0
826007fffffffff,84.0,0.0,0.0
826017fffffffff,17.0,0.0,0.0
826027fffffffff,144.0,0.0,0.0
826037fffffffff,113.0,0.0,2.0
82608ffffffffff,18.0,0.0,0.0
82609ffffffffff,5.0,0.0,0.0
8260affffffffff,121.0,0.0,0.0
8260b7fffffffff,8.0,0.0,0.0
82611ffffffffff,8.0,0.0,0.0
82618ffffffffff,51.0,0.0,0.0
82619ffffffffff,6.0,0.0,0.0
8261affffffffff,4.0,0.0,0.0
82640ffffffffff,6.0,0.0,0.0
82649ffffffffff,3.0,0.0,3.0
8264a7fffffffff,12.0,0.0,5.0
8264e7fffffffff,1.0,0.0,0.0
826507fffffffff,162.0,0.0,0.0
82650ffffffffff,1.0,0.0,0.0
82651ffffffffff,282.0,0.0,0.0
826527fffffffff,147.0,0.0,1.0
82659ffffffffff,2.0,0.0,0.0
826817fffffffff,3.0,0.0,1.0
82681ffffffffff,14.0,0.0,2.0
826867fffffffff,2.0,0.0,0.0
8268c7fffffffff,3.0,0.0,3.0
8268cffffffffff,10.0,0.0,9.0
826947fffffffff,10.0,0.0,0.0
827a47fffffffff,7.0,0.0,2.0
827a4ffffffffff,4.0,0.0,0.0
827a67fffffffff,6.0,0.0,0.0
827a6ffffffffff,10.0,0.0,3.0
827acffffffffff,4.0,0.0,0.0
827b4ffffffffff,19.0,0.0,0.0
827b5ffffffffff,2.0,0.0,0.0
82828ffffffffff,4.0,0.0,4.0
82845ffffffffff,1.0,0.0,0.0
828c6ffffffffff,5.0,0.0,0.0
829427fffffffff,4.0,0.0,0.0
829567fffffffff,3.0,0.0,0.0
8295a7fffffffff,1.0,0.0,0.0
82974ffffffffff,5.0,0.0,0.0
82a237fffffffff,2.0,0.0,2.0
82a31ffffffffff,5.0,0.0,2.0
82a637fffffffff,2.0,0.0,0.0
82ac17fffffffff,1.0,0.0,0.0
82aca7fffffffff,6.0,0.0,0.0
82bc8ffffffffff,5.0,0.0,0.0
82bcdffffffffff,4.0,0.0,3.0
82bcf7fffffffff,1.0,0.0,0.0
