cell_id,Coeligena torquata,Coeligena torquata [torquata Group],Coeligena torquata eisenmanni
836608fffffffff,60.0,0.0,0.0
83660afffffffff,3.0,0.0,0.0
83660bfffffffff,158.0,0.0,0.0
83660cfffffffff,68.0,6.0,0.0
83660dfffffffff,33.0,0.0,0.0
836618fffffffff,670.0,22.0,0.0
836619fffffffff,872.0,6.0,0.0
83661bfffffffff,3781.0,372.0,0.0
83661dfffffffff,65.0,0.0,0.0
8366c0fffffffff,164.0,0.0,0.0
8366c2fffffffff,407.0,7.0,0.0
8366c4fffffffff,113.0,0.0,0.0
8366c6fffffffff,390.0,4.0,0.0
8366d0fffffffff,80.0,6.0,0.0
8366d1fffffffff,59.0,14.0,0.0
8366d3fffffffff,3392.0,404.0,0.0
8366d5fffffffff,130.0,7.0,0.0
8366dafffffffff,2.0,0.0,0.0
8366defffffffff,4601.0,711.0,0.0
8366e0fffffffff,1634.0,77.0,0.0
8366e2fffffffff,39.0,0.0,0.0
8366e4fffffffff,220.0,2.0,0.0
8366e5fffffffff,181.0,6.0,0.0
8366e6fffffffff,6367.0,261.0,0.0
8366f0fffffffff,1.0,0.0,0.0
8366f1fffffffff,340.0,7.0,0.0
8366f3fffffffff,18.0,0.0,0.0
8366f5fffffffff,426.0,0.0,0.0
838b61fffffffff,16.0,0.0,0.0
838b6cfffffffff,15.0,0.0,9.0
838e60fffffffff,4.0,0.0,0.0
838e61fffffffff,5.0,0.0,0.0
838e64fffffffff,130.0,0.0,0.0
838e65fffffffff,98.0,0.0,0.0
838e6cfffffffff,9.0,0.0,0.0
838e6dfffffffff,1.0,0.0,0.0
838f29fffffffff,20.0,0.0,0.0
838f2bfffffffff,19.0,0.0,0.0
838f2dfffffffff,66.0,2.0,0.0
838f42fffffffff,13.0,0.0,0.0
838f46fffffffff,193.0,9.0,0.0
838f4afffffffff,26.0,0.0,0.0
838f54fffffffff,38.0,0.0,0.0
838f55fffffffff,176.0,14.0,0.0
838f59fffffffff,56.0,0.0,0.0
838f5cfffffffff,9.0,0.0,0.0
838f5dfffffffff,2.0,0.0,0.0
838f70fffffffff,4.0,0.0,0.0
838f72fffffffff,998.0,144.0,0.0
838f73fffffffff,657.0,81.0,0.0
838f74fffffffff,26.0,1.0,0.0
838f76fffffffff,53.0,5.0,0.0
