cell_id,Saucerottia beryllina,Saucerottia beryllina beryllina/viola,Saucerottia beryllina [devillei Group]
832744fffffffff,21.0,0.0,0.0
834520fffffffff,8.0,0.0,0.0
834522fffffffff,17.0,0.0,0.0
834524fffffffff,17.0,0.0,0.0
834525fffffffff,6.0,0.0,0.0
834526fffffffff,158.0,0.0,0.0
834534fffffffff,2.0,0.0,0.0
83481dfffffffff,2.0,0.0,0.0
834833fffffffff,5.0,0.0,0.0
834836fffffffff,2.0,0.0,0.0
8348c5fffffffff,594.0,2.0,0.0
8348e3fffffffff,2.0,0.0,0.0
8348e8fffffffff,890.0,20.0,0.0
8348eefffffffff,601.0,8.0,0.0
8348f2fffffffff,3.0,0.0,0.0
834982fffffffff,4.0,0.0,0.0
834983fffffffff,6.0,0.0,0.0
834994fffffffff,3.0,0.0,0.0
834995fffffffff,2.0,2.0,0.0
834996fffffffff,7.0,3.0,0.0
83499cfffffffff,7.0,0.0,0.0
8349abfffffffff,2.0,0.0,0.0
8349b3fffffffff,23.0,3.0,0.0
836d04fffffffff,15.0,0.0,0.0
836d05fffffffff,2.0,0.0,0.0
836d23fffffffff,19.0,0.0,0.0
836d29fffffffff,6.0,0.0,0.0
836d2bfffffffff,15.0,0.0,0.0
836d2dfffffffff,1.0,0.0,0.0
836d30fffffffff,3.0,1.0,0.0
836d31fffffffff,4.0,0.0,0.0
836d32fffffffff,16.0,2.0,0.0
836d33fffffffff,6.0,6.0,0.0
836d60fffffffff,2.0,0.0,0.0
836d64fffffffff,7.0,0.0,0.0
836d66fffffffff,12.0,0.0,0.0
