cell_id,Eupodotis senegalensis,Eupodotis senegalensis [senegalensis Group],Eupodotis senegalensis barrowii/mackenziei
84541a3ffffffff,4.0,0.0,0.0
84541adffffffff,10.0,0.0,0.0
8454a99ffffffff,4.0,0.0,0.0
8454e4bffffffff,2.0,0.0,0.0
8458517ffffffff,2.0,0.0,0.0
8458581ffffffff,2.0,0.0,0.0
8458585ffffffff,1.0,0.0,0.0
84599e5ffffffff,1.0,0.0,0.0
846a5a9ffffffff,14.0,0.0,0.0
846a5abffffffff,5.0,0.0,0.0
8475207ffffffff,3.0,0.0,0.0
847a401ffffffff,105.0,7.0,0.0
847a403ffffffff,15.0,0.0,0.0
847a405ffffffff,14.0,0.0,0.0
847a407ffffffff,53.0,0.0,0.0
847a40bffffffff,19.0,0.0,0.0
847a40dffffffff,9.0,0.0,0.0
847a411ffffffff,3.0,0.0,0.0
847a415ffffffff,4.0,0.0,0.0
847a419ffffffff,8.0,0.0,0.0
847a41dffffffff,142.0,0.0,0.0
847a439ffffffff,1.0,0.0,0.0
847a457ffffffff,48.0,0.0,0.0
847a483ffffffff,1.0,0.0,0.0
847a4b1ffffffff,4.0,0.0,0.0
847a4b7ffffffff,3.0,0.0,0.0
847a5adffffffff,1.0,0.0,0.0
847a5e3ffffffff,5.0,0.0,0.0
847a601ffffffff,2.0,0.0,0.0
847a609ffffffff,19.0,0.0,0.0
847a60bffffffff,9.0,0.0,0.0
847a611ffffffff,16.0,0.0,0.0
847a619ffffffff,3.0,0.0,0.0
847a61dffffffff,167.0,0.0,0.0
847a641ffffffff,32.0,0.0,0.0
847a643ffffffff,9.0,0.0,0.0
847a645ffffffff,3.0,0.0,0.0
847a647ffffffff,21.0,0.0,0.0
847a651ffffffff,4.0,0.0,0.0
847a655ffffffff,6.0,0.0,0.0
847a659ffffffff,8.0,2.0,0.0
847a65dffffffff,16.0,0.0,0.0
847a669ffffffff,3.0,0.0,0.0
847a66bffffffff,4.0,0.0,0.0
847a681ffffffff,223.0,0.0,0.0
847a683ffffffff,259.0,0.0,0.0
847a687ffffffff,17.0,0.0,0.0
847a689ffffffff,2.0,0.0,0.0
