cell_id,Thectocercus acuticaudatus,Thectocercus acuticaudatus [haemorrhous Group],Thectocercus acuticaudatus acuticaudatus/neumanni
842664dffffffff,2.0,0.0,0.0
842759bffffffff,2.0,0.0,0.0
8429a1dffffffff,31.0,0.0,0.0
8429a41ffffffff,5.0,0.0,0.0
8429a45ffffffff,1.0,0.0,0.0
8439049ffffffff,1.0,0.0,0.0
84391c7ffffffff,1.0,0.0,0.0
8439337ffffffff,19.0,0.0,0.0
8439447ffffffff,8.0,0.0,0.0
8439561ffffffff,2.0,2.0,0.0
84441a9ffffffff,18.0,0.0,0.0
84441e3ffffffff,12.0,4.0,0.0
84441e7ffffffff,11.0,0.0,0.0
8444a11ffffffff,73.0,2.0,0.0
8444a13ffffffff,10.0,1.0,0.0
8444a19ffffffff,6.0,0.0,0.0
8444a81ffffffff,2.0,0.0,0.0
8444a83ffffffff,21.0,0.0,0.0
8444ab9ffffffff,1.0,0.0,0.0
8444ad1ffffffff,3.0,0.0,0.0
8444ae9ffffffff,12.0,0.0,0.0
8446483ffffffff,20.0,0.0,0.0
844cc51ffffffff,2.0,0.0,0.0
844cee7ffffffff,2.0,0.0,0.0
846609bffffffff,2.0,0.0,0.0
8466203ffffffff,1.0,0.0,0.0
846620bffffffff,3.0,0.0,0.0
8466527ffffffff,2.0,0.0,0.0
846652dffffffff,2.0,0.0,0.0
846656dffffffff,2.0,0.0,0.0
8466623ffffffff,3.0,0.0,0.0
8466727ffffffff,2.0,0.0,0.0
8466ec1ffffffff,3.0,0.0,0.0
8466ecbffffffff,3.0,0.0,0.0
8467413ffffffff,3.0,0.0,0.0
8467461ffffffff,17.0,0.0,0.0
8467519ffffffff,2.0,0.0,0.0
8467523ffffffff,28.0,0.0,0.0
8467539ffffffff,5.0,0.0,0.0
8467553ffffffff,9.0,0.0,0.0
8481099ffffffff,2.0,0.0,0.0
84812d7ffffffff,4.0,0.0,0.0
848173dffffffff,5.0,0.0,0.0
848b201ffffffff,7.0,0.0,7.0
848b203ffffffff,17.0,3.0,14.0
848b205ffffffff,2.0,0.0,2.0
848b20bffffffff,12.0,0.0,12.0
848b21dffffffff,1.0,0.0,1.0
848b221ffffffff,2.0,0.0,2.0
848b22dffffffff,4.0,0.0,3.0
848b257ffffffff,1.0,0.0,1.0
84a9613ffffffff,41.0,0.0,0.0
84a9617ffffffff,3.0,0.0,0.0
84a96c1ffffffff,2.0,0.0,0.0
84a96c5ffffffff,2.0,0.0,0.0
84a96c7ffffffff,2.0,0.0,0.0
84a96cdffffffff,2.0,0.0,0.0
84b2499ffffffff,3.0,0.0,0.0
84b2525ffffffff,2.0,0.0,0.0
84b25c1ffffffff,2.0,0.0,0.0
84b25c7ffffffff,6.0,0.0,0.0
84b2683ffffffff,9.0,0.0,0.0
84b2687ffffffff,2.0,0.0,0.0
84b268bffffffff,8.0,0.0,0.0
84b2699ffffffff,2.0,0.0,0.0
84b269dffffffff,3.0,0.0,0.0
84b26b9ffffffff,5.0,0.0,0.0
84b26bdffffffff,14.0,0.0,0.0
84b26d1ffffffff,4.0,0.0,0.0
84b26d7ffffffff,44.0,0.0,0.0
84b26ddffffffff,6.0,0.0,0.0
84b32d9ffffffff,2.0,0.0,2.0
84b3355ffffffff,3.0,0.0,0.0
84b3435ffffffff,4.0,0.0,0.0
84b34b1ffffffff,1.0,0.0,1.0
84b35c5ffffffff,6.0,0.0,0.0
84b35cdffffffff,1.0,0.0,0.0
84b35e1ffffffff,4.0,0.0,0.0
84b35e3ffffffff,2.0,0.0,0.0
84b35e9ffffffff,4.0,0.0,0.0
84c2cb1ffffffff,35.0,0.0,0.0
84c2cb5ffffffff,3.0,0.0,0.0
84c2e31ffffffff,2.0,0.0,0.0
84c34cbffffffff,2.0,0.0,0.0
84c36c1ffffffff,2.0,0.0,0.0
84c3735ffffffff,2.0,0.0,0.0
