cell_id,Falco chicquera,Falco chicquera chicquera,Falco chicquera ruficollis/horsbrughi
823c07fffffffff,14.0,0.0,0.0
823c1ffffffffff,59.0,0.0,0.0
823c37fffffffff,4.0,0.0,0.0
823ca7fffffffff,1.0,0.0,0.0
823caffffffffff,5.0,0.0,0.0
823cb7fffffffff,31.0,0.0,0.0
823cc7fffffffff,1.0,0.0,0.0
823ce7fffffffff,10.0,0.0,0.0
823ceffffffffff,25.0,0.0,0.0
823cf7fffffffff,66.0,0.0,0.0
823d17fffffffff,22.0,0.0,0.0
823d87fffffffff,51.0,0.0,0.0
823d8ffffffffff,28.0,0.0,0.0
823d97fffffffff,16.0,0.0,0.0
823d9ffffffffff,19.0,0.0,0.0
823da7fffffffff,210.0,0.0,0.0
823daffffffffff,46.0,0.0,0.0
823db7fffffffff,61.0,0.0,0.0
82424ffffffffff,4.0,0.0,0.0
824257fffffffff,46.0,0.0,0.0
82425ffffffffff,28.0,0.0,0.0
8242c7fffffffff,129.0,0.0,0.0
8242cffffffffff,351.0,0.0,0.0
8242dffffffffff,70.0,0.0,0.0
8242effffffffff,11.0,0.0,0.0
82529ffffffffff,2.0,0.0,0.0
8252b7fffffffff,1.0,0.0,0.0
825407fffffffff,2.0,0.0,2.0
82540ffffffffff,3.0,0.0,0.0
825417fffffffff,23.0,0.0,7.0
82541ffffffffff,148.0,0.0,26.0
825447fffffffff,4.0,0.0,0.0
8254affffffffff,154.0,0.0,20.0
8254e7fffffffff,78.0,0.0,24.0
8254f7fffffffff,75.0,0.0,11.0
82580ffffffffff,4.0,0.0,0.0
82585ffffffffff,3.0,0.0,0.0
825897fffffffff,1.0,0.0,0.0
8258a7fffffffff,4.0,0.0,0.0
8258b7fffffffff,3.0,0.0,0.0
8258e7fffffffff,4.0,0.0,0.0
82598ffffffffff,2.0,0.0,0.0
825997fffffffff,2.0,0.0,0.0
82599ffffffffff,36.0,0.0,0.0
826017fffffffff,291.0,0.0,0.0
826027fffffffff,4.0,0.0,0.0
826037fffffffff,413.0,0.0,0.0
826087fffffffff,20.0,0.0,0.0
82608ffffffffff,156.0,0.0,0.0
826097fffffffff,36.0,0.0,0.0
82609ffffffffff,27.0,0.0,0.0
8260a7fffffffff,29.0,0.0,0.0
8260affffffffff,27.0,0.0,0.0
8260b7fffffffff,175.0,0.0,0.0
82611ffffffffff,27.0,0.0,0.0
82618ffffffffff,138.0,0.0,0.0
8261affffffffff,17.0,0.0,0.0
826a5ffffffffff,26.0,0.0,1.0
826ac7fffffffff,12.0,0.0,0.0
826acffffffffff,3.0,0.0,0.0
826adffffffffff,7.0,0.0,0.0
826aeffffffffff,255.0,0.0,8.0
827527fffffffff,35.0,0.0,1.0
827a47fffffffff,18.0,0.0,0.0
827a4ffffffffff,9.0,0.0,1.0
827a5ffffffffff,4.0,0.0,0.0
827a6ffffffffff,12.0,0.0,0.0
827a77fffffffff,1.0,0.0,0.0
827b4ffffffffff,6.0,0.0,0.0
827b5ffffffffff,3.0,0.0,0.0
827b6ffffffffff,4.0,0.0,0.0
829617fffffffff,1.0,0.0,0.0
829627fffffffff,10.0,0.0,3.0
82962ffffffffff,19.0,0.0,2.0
829637fffffffff,19.0,0.0,12.0
82968ffffffffff,5.0,0.0,0.0
829697fffffffff,16.0,0.0,0.0
82969ffffffffff,2.0,0.0,0.0
8296affffffffff,1.0,0.0,0.0
8296b7fffffffff,26.0,0.0,0.0
829707fffffffff,8.0,0.0,0.0
829717fffffffff,28.0,0.0,0.0
829747fffffffff,38.0,0.0,9.0
82974ffffffffff,11.0,0.0,0.0
829757fffffffff,14.0,0.0,4.0
82975ffffffffff,29.0,0.0,3.0
82976ffffffffff,2.0,0.0,0.0
829777fffffffff,5.0,0.0,0.0
82978ffffffffff,2.0,0.0,0.0
8297affffffffff,11.0,0.0,6.0
82ac17fffffffff,7.0,0.0,0.0
82ac87fffffffff,243.0,0.0,52.0
82ac97fffffffff,1.0,0.0,0.0
82aca7fffffffff,7.0,0.0,0.0
82acb7fffffffff,4.0,0.0,0.0
82ad87fffffffff,36.0,0.0,7.0
82ad8ffffffffff,19.0,0.0,0.0
82ad97fffffffff,14.0,0.0,0.0
82ada7fffffffff,2.0,0.0,0.0
82adb7fffffffff,2.0,0.0,0.0
