cell_id,Coracina personata,Coracina personata pollens,Coracina personata floris,Coracina personata sumbensis,Coracina personata personata,Coracina personata unimoda,Coracina personata alfrediana
8472901ffffffff,3.0,0.0,0.0,0.0,0.0,0.0,0.0
8472905ffffffff,8.0,0.0,0.0,0.0,0.0,0.0,0.0
849404dffffffff,13.0,0.0,0.0,0.0,0.0,0.0,0.0
8494213ffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
849421bffffffff,16.0,0.0,0.0,0.0,0.0,0.0,2.0
849421dffffffff,6.0,0.0,0.0,0.0,0.0,0.0,1.0
8494227ffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
8494231ffffffff,6.0,0.0,0.0,0.0,0.0,0.0,0.0
8494235ffffffff,14.0,0.0,0.0,0.0,0.0,0.0,0.0
8494237ffffffff,6.0,0.0,0.0,0.0,0.0,0.0,0.0
849423bffffffff,6.0,0.0,0.0,0.0,0.0,0.0,0.0
8494257ffffffff,3.0,0.0,0.0,0.0,0.0,0.0,0.0
849426dffffffff,3.0,0.0,0.0,0.0,0.0,0.0,0.0
8494289ffffffff,4.0,0.0,0.0,0.0,0.0,0.0,0.0
84942c1ffffffff,82.0,0.0,0.0,0.0,0.0,0.0,0.0
84942c3ffffffff,5.0,0.0,0.0,0.0,0.0,0.0,0.0
84942c5ffffffff,9.0,0.0,0.0,0.0,0.0,0.0,0.0
84942c7ffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0
84942c9ffffffff,7.0,0.0,0.0,0.0,0.0,0.0,0.0
84942cdffffffff,6.0,0.0,0.0,0.0,0.0,0.0,0.0
84942d1ffffffff,8.0,0.0,0.0,0.0,0.0,0.0,0.0
84942d3ffffffff,28.0,0.0,0.0,0.0,0.0,0.0,0.0
84942d5ffffffff,6.0,0.0,0.0,0.0,0.0,0.0,0.0
84942ddffffffff,3.0,0.0,0.0,0.0,0.0,0.0,0.0
8494313ffffffff,4.0,0.0,0.0,0.0,0.0,0.0,0.0
8494601ffffffff,42.0,0.0,0.0,0.0,0.0,0.0,0.0
849466dffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0
849512dffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
8495183ffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0
8495185ffffffff,12.0,0.0,0.0,0.0,0.0,0.0,0.0
84951a7ffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
84951a9ffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0
84951abffffffff,12.0,0.0,0.0,0.0,0.0,0.0,0.0
84951bdffffffff,3.0,0.0,0.0,0.0,0.0,0.0,0.0
84951e3ffffffff,24.0,0.0,0.0,0.0,0.0,0.0,0.0
84951e5ffffffff,17.0,0.0,0.0,0.0,0.0,0.0,0.0
84951e7ffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
8495525ffffffff,3.0,0.0,0.0,0.0,0.0,0.0,1.0
8495527ffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
8495531ffffffff,3.0,0.0,0.0,0.0,0.0,0.0,0.0
8495533ffffffff,21.0,0.0,0.0,0.0,0.0,0.0,0.0
8495537ffffffff,13.0,0.0,0.0,0.0,0.0,0.0,0.0
84955a1ffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0
84955a3ffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0
8495a53ffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
8495a99ffffffff,38.0,0.0,0.0,0.0,0.0,0.0,0.0
8495a9bffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
8495ad7ffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0
