cell_id,Phylloscopus trochiloides,Phylloscopus trochiloides viridanus,Phylloscopus trochiloides trochiloides/ludlowi,Phylloscopus trochiloides obscuratus
820887fffffffff,3.0,0.0,0.0,0.0
82089ffffffffff,21.0,2.0,0.0,0.0
8208d7fffffffff,6.0,0.0,0.0,0.0
8208dffffffffff,17.0,0.0,0.0,0.0
8208f7fffffffff,1.0,0.0,0.0,0.0
820a37fffffffff,7.0,0.0,0.0,0.0
820bb7fffffffff,1.0,0.0,0.0,0.0
821017fffffffff,2.0,0.0,0.0,0.0
821027fffffffff,3.0,0.0,0.0,0.0
8210c7fffffffff,169.0,0.0,0.0,0.0
8210d7fffffffff,7.0,0.0,0.0,0.0
8210dffffffffff,23.0,0.0,0.0,0.0
8210effffffffff,110.0,0.0,0.0,0.0
8210f7fffffffff,1.0,0.0,0.0,0.0
821107fffffffff,4.0,0.0,0.0,0.0
821117fffffffff,3.0,0.0,0.0,0.0
821127fffffffff,6.0,0.0,0.0,0.0
82112ffffffffff,13.0,0.0,0.0,0.0
821137fffffffff,8.0,0.0,0.0,0.0
821187fffffffff,15.0,0.0,0.0,0.0
82118ffffffffff,34.0,0.0,0.0,0.0
821197fffffffff,1.0,0.0,0.0,0.0
8211affffffffff,114.0,0.0,0.0,0.0
821717fffffffff,2.0,0.0,0.0,0.0
821e27fffffffff,2.0,0.0,0.0,0.0
821e67fffffffff,2.0,0.0,0.0,0.0
821f0ffffffffff,3.0,0.0,0.0,0.0
821f2ffffffffff,8.0,0.0,0.0,0.0
821f47fffffffff,3.0,0.0,0.0,0.0
821f4ffffffffff,6.0,0.0,0.0,0.0
821f57fffffffff,4.0,0.0,0.0,0.0
821f5ffffffffff,4.0,0.0,0.0,0.0
821f67fffffffff,19.0,0.0,0.0,0.0
821f6ffffffffff,2.0,0.0,0.0,0.0
821f77fffffffff,34.0,0.0,0.0,0.0
82200ffffffffff,17.0,0.0,0.0,0.0
822017fffffffff,26.0,0.0,0.0,0.0
82201ffffffffff,60.0,0.0,0.0,0.0
822037fffffffff,2.0,0.0,0.0,0.0
82204ffffffffff,60.0,0.0,0.0,0.0
82205ffffffffff,7.0,0.0,0.0,0.0
82206ffffffffff,11.0,0.0,0.0,0.0
822087fffffffff,7.0,0.0,0.0,0.0
82209ffffffffff,5.0,0.0,0.0,0.0
8220a7fffffffff,25.0,0.0,0.0,0.0
8220affffffffff,3.0,0.0,0.0,0.0
8220b7fffffffff,2.0,0.0,0.0,0.0
8220e7fffffffff,202.0,0.0,0.0,0.0
8220effffffffff,2.0,0.0,0.0,0.0
8220f7fffffffff,15.0,0.0,0.0,0.0
822127fffffffff,1.0,0.0,0.0,0.0
82212ffffffffff,2.0,0.0,0.0,0.0
822157fffffffff,11.0,0.0,0.0,0.0
822187fffffffff,7.0,0.0,0.0,0.0
82218ffffffffff,4.0,0.0,0.0,0.0
82219ffffffffff,14.0,0.0,0.0,0.0
822407fffffffff,9.0,0.0,0.0,0.0
82240ffffffffff,3.0,0.0,0.0,0.0
822427fffffffff,28.0,0.0,0.0,0.0
82242ffffffffff,2.0,0.0,0.0,0.0
822437fffffffff,1.0,0.0,0.0,0.0
82248ffffffffff,44.0,0.0,0.0,0.0
8224d7fffffffff,4.0,0.0,0.0,0.0
822517fffffffff,52.0,0.0,0.0,0.0
82251ffffffffff,1.0,0.0,0.0,0.0
82255ffffffffff,3.0,0.0,0.0,0.0
8225a7fffffffff,2.0,0.0,0.0,0.0
8225affffffffff,10.0,0.0,0.0,0.0
8225b7fffffffff,31.0,1.0,0.0,0.0
822c6ffffffffff,2.0,0.0,0.0,0.0
823197fffffffff,3.0,0.0,0.0,0.0
823c07fffffffff,267.0,12.0,1.0,0.0
823c0ffffffffff,194.0,0.0,0.0,0.0
823c17fffffffff,201.0,2.0,0.0,0.0
823c1ffffffffff,509.0,0.0,0.0,0.0
823c37fffffffff,234.0,0.0,0.0,0.0
823c47fffffffff,2.0,0.0,0.0,0.0
823c4ffffffffff,1.0,0.0,0.0,0.0
823c57fffffffff,209.0,0.0,0.0,0.0
823c5ffffffffff,173.0,0.0,0.0,0.0
823c6ffffffffff,112.0,0.0,0.0,0.0
823c87fffffffff,219.0,0.0,0.0,0.0
