cell_id,Oenanthe pleschanka,Oenanthe pleschanka (vittata form)
82075ffffffffff,1.0,0.0
8208b7fffffffff,2.0,0.0
82099ffffffffff,1.0,0.0
8209a7fffffffff,3.0,0.0
820c17fffffffff,12.0,0.0
82182ffffffffff,2.0,0.0
82184ffffffffff,2.0,0.0
821877fffffffff,1.0,0.0
821947fffffffff,11.0,0.0
82194ffffffffff,10.0,0.0
82196ffffffffff,9.0,0.0
821977fffffffff,9.0,0.0
821e07fffffffff,1.0,0.0
821e1ffffffffff,6.0,0.0
821ecffffffffff,3.0,0.0
821eeffffffffff,2.0,0.0
821f37fffffffff,6.0,0.0
821fa7fffffffff,1.0,0.0
82209ffffffffff,3.0,0.0
8220e7fffffffff,4.0,2.0
822407fffffffff,1.0,1.0
82240ffffffffff,3.0,0.0
8224d7fffffffff,2.0,0.0
82255ffffffffff,7.0,0.0
822c07fffffffff,5.0,0.0
822c4ffffffffff,2.0,0.0
822c57fffffffff,64.0,0.0
822c5ffffffffff,7.0,0.0
822c97fffffffff,38.0,0.0
822d07fffffffff,3.0,0.0
822d17fffffffff,1.0,0.0
822d67fffffffff,8.0,0.0
822da7fffffffff,17.0,0.0
822daffffffffff,1.0,0.0
822db7fffffffff,2.0,0.0
8230e7fffffffff,3.0,0.0
823187fffffffff,2.0,0.0
8231affffffffff,1.0,0.0
823c07fffffffff,10.0,0.0
823c5ffffffffff,2.0,0.0
823cb7fffffffff,3.0,0.0
823d07fffffffff,3.0,0.0
823d27fffffffff,2.0,0.0
823d37fffffffff,2.0,0.0
823daffffffffff,2.0,0.0
823e6ffffffffff,23.0,0.0
823f67fffffffff,1.0,0.0
823f6ffffffffff,19.0,0.0
823f77fffffffff,9.0,0.0
8241b7fffffffff,5.0,0.0
824257fffffffff,2.0,0.0
824317fffffffff,10.0,0.0
8243a7fffffffff,20.0,0.0
8243affffffffff,9.0,0.0
824ba7fffffffff,3.0,0.0
825347fffffffff,2.0,0.0
82534ffffffffff,18.0,0.0
825357fffffffff,1.0,0.0
825367fffffffff,20.0,0.0
82536ffffffffff,9.0,0.0
82601ffffffffff,24.0,0.0
82608ffffffffff,1.0,0.0
826337fffffffff,2.0,0.0
827a47fffffffff,1.0,0.0
827a4ffffffffff,2.0,0.0
827a6ffffffffff,1.0,0.0
827aeffffffffff,6.0,0.0
829757fffffffff,1.0,0.0
