cell_id,Caryothraustes poliogaster,Caryothraustes poliogaster poliogaster,Caryothraustes poliogaster scapularis
844505bffffffff,10.0,0.0,0.0
84450a1ffffffff,1.0,0.0,0.0
8445203ffffffff,32.0,0.0,0.0
844520bffffffff,43.0,0.0,0.0
8445211ffffffff,10.0,0.0,0.0
8445213ffffffff,14.0,0.0,0.0
8445215ffffffff,119.0,0.0,0.0
8445217ffffffff,71.0,0.0,0.0
844521dffffffff,69.0,0.0,0.0
8445221ffffffff,2.0,0.0,0.0
8445225ffffffff,227.0,0.0,0.0
844522dffffffff,9.0,0.0,0.0
8445233ffffffff,599.0,0.0,0.0
844523bffffffff,47.0,0.0,0.0
8445253ffffffff,1.0,0.0,0.0
8445257ffffffff,14.0,0.0,0.0
8445285ffffffff,19.0,0.0,0.0
8445287ffffffff,2.0,0.0,0.0
8445289ffffffff,204.0,0.0,0.0
844528dffffffff,69.0,0.0,0.0
84452a5ffffffff,2.0,0.0,0.0
84452a7ffffffff,3.0,0.0,0.0
84452a9ffffffff,155.0,0.0,0.0
84452abffffffff,14.0,0.0,0.0
84452adffffffff,152.0,0.0,0.0
84452bdffffffff,5.0,0.0,0.0
84452c1ffffffff,4.0,0.0,0.0
84452c3ffffffff,34.0,0.0,0.0
84452c5ffffffff,41.0,0.0,0.0
84452c7ffffffff,5.0,0.0,0.0
84452c9ffffffff,14.0,0.0,0.0
84452cbffffffff,7.0,0.0,0.0
84452d5ffffffff,9.0,0.0,0.0
84452d9ffffffff,96.0,0.0,0.0
84452dbffffffff,4.0,0.0,0.0
84452e1ffffffff,2074.0,0.0,0.0
84452e3ffffffff,223.0,0.0,0.0
84452e5ffffffff,806.0,0.0,0.0
84452e7ffffffff,55.0,0.0,0.0
84452e9ffffffff,132.0,0.0,0.0
84452ebffffffff,105.0,0.0,0.0
84452edffffffff,288.0,0.0,0.0
8445303ffffffff,2.0,0.0,0.0
8445305ffffffff,12.0,0.0,0.0
844530dffffffff,9.0,0.0,0.0
8445319ffffffff,9.0,0.0,0.0
844532bffffffff,71.0,0.0,0.0
8445345ffffffff,2.0,0.0,0.0
844534dffffffff,3.0,0.0,0.0
8445363ffffffff,40.0,0.0,0.0
8445365ffffffff,51.0,0.0,0.0
8445367ffffffff,11.0,0.0,0.0
844536bffffffff,4.0,0.0,0.0
8445649ffffffff,4.0,0.0,0.0
8466a01ffffffff,37.0,0.0,0.0
8466a05ffffffff,24.0,0.0,0.0
8466a0bffffffff,179.0,0.0,0.0
8466a57ffffffff,142.0,0.0,0.0
8466a65ffffffff,4.0,0.0,0.0
8466a67ffffffff,2.0,0.0,0.0
8466b49ffffffff,142.0,0.0,0.0
8466b4bffffffff,6.0,0.0,0.0
8466b4dffffffff,816.0,0.0,0.0
8466b59ffffffff,21.0,0.0,0.0
8466b5bffffffff,215.0,0.0,0.0
846790dffffffff,3.0,0.0,0.0
8467921ffffffff,4.0,0.0,0.0
8467923ffffffff,2.0,0.0,0.0
8467925ffffffff,2.0,0.0,0.0
846792dffffffff,28.0,0.0,0.0
8467931ffffffff,6.0,0.0,0.0
8467937ffffffff,1.0,0.0,0.0
846793bffffffff,1.0,0.0,0.0
8467941ffffffff,2.0,0.0,0.0
8467945ffffffff,9.0,0.0,0.0
8467961ffffffff,214.0,0.0,0.0
8467963ffffffff,8.0,0.0,0.0
8467965ffffffff,2.0,0.0,0.0
8467969ffffffff,3.0,0.0,0.0
846796bffffffff,2.0,0.0,0.0
84679a1ffffffff,14.0,0.0,0.0
84679a5ffffffff,2774.0,0.0,0.0
84679a7ffffffff,408.0,0.0,0.0
84679adffffffff,10.0,0.0,0.0
84679b5ffffffff,83.0,0.0,0.0
84679b7ffffffff,16.0,0.0,0.0
846d219ffffffff,3.0,0.0,0.0
846d21bffffffff,134.0,0.0,0.0
846d21dffffffff,14.0,0.0,0.0
846d221ffffffff,2.0,0.0,0.0
846d223ffffffff,32.0,0.0,0.0
846d225ffffffff,2.0,0.0,0.0
846d22bffffffff,1.0,0.0,0.0
846d23dffffffff,301.0,0.0,0.0
846d257ffffffff,3.0,0.0,0.0
846d2c1ffffffff,46.0,0.0,0.0
846d2c3ffffffff,25.0,0.0,0.0
846d2c5ffffffff,20.0,0.0,0.0
846d2c7ffffffff,5.0,0.0,0.0
846d2c9ffffffff,397.0,0.0,0.0
846d2cbffffffff,24.0,0.0,0.0
846d2cdffffffff,6.0,0.0,0.0
