cell_id,Butorides striata,Butorides striata striata,Butorides striata sundevalli,Butorides striata [atricapilla Group]
842db01ffffffff,29.0,0.0,0.0,10.0
842db03ffffffff,1.0,0.0,0.0,0.0
842db0bffffffff,18.0,0.0,0.0,0.0
842db0dffffffff,38.0,0.0,0.0,13.0
842db63ffffffff,1.0,0.0,0.0,0.0
842db67ffffffff,3.0,0.0,0.0,1.0
842e0c9ffffffff,1.0,0.0,0.0,0.0
842e605ffffffff,3.0,0.0,0.0,0.0
842e615ffffffff,2.0,0.0,0.0,0.0
842e617ffffffff,1.0,0.0,0.0,0.0
842e689ffffffff,32.0,0.0,0.0,0.0
842e69bffffffff,4.0,0.0,0.0,0.0
842e6c9ffffffff,2.0,0.0,0.0,0.0
842e74dffffffff,2.0,0.0,0.0,2.0
842ec03ffffffff,4.0,0.0,0.0,0.0
842ec8bffffffff,2.0,0.0,0.0,0.0
842ec93ffffffff,1.0,0.0,0.0,0.0
842eca7ffffffff,2.0,0.0,0.0,0.0
842ecb9ffffffff,2.0,0.0,0.0,0.0
842f5abffffffff,20.0,0.0,0.0,0.0
842f5b5ffffffff,2.0,0.0,0.0,0.0
842f5b9ffffffff,2.0,0.0,0.0,0.0
842f5bdffffffff,6.0,0.0,0.0,0.0
843000dffffffff,1.0,0.0,0.0,0.0
8430251ffffffff,2.0,0.0,0.0,0.0
843025dffffffff,3.0,0.0,0.0,0.0
84302b7ffffffff,40.0,0.0,0.0,0.0
8430305ffffffff,4.0,0.0,0.0,0.0
843030dffffffff,2.0,0.0,0.0,0.0
8430325ffffffff,4.0,0.0,0.0,0.0
8430329ffffffff,2.0,0.0,0.0,0.0
8430345ffffffff,2.0,0.0,0.0,0.0
8430833ffffffff,21.0,0.0,0.0,0.0
8430911ffffffff,4.0,0.0,0.0,0.0
843091dffffffff,2.0,0.0,0.0,0.0
8430929ffffffff,4.0,0.0,0.0,0.0
8430995ffffffff,4.0,0.0,0.0,0.0
8430997ffffffff,2.0,0.0,0.0,0.0
84309a5ffffffff,27.0,0.0,0.0,0.0
84309a7ffffffff,4.0,0.0,0.0,0.0
84309b3ffffffff,4.0,0.0,0.0,0.0
84309bbffffffff,2.0,0.0,0.0,0.0
84309d3ffffffff,6.0,0.0,0.0,0.0
84309d7ffffffff,1.0,0.0,0.0,0.0
84309d9ffffffff,14.0,0.0,0.0,0.0
8430ac5ffffffff,2.0,0.0,0.0,0.0
8430c01ffffffff,1.0,0.0,0.0,0.0
8430c05ffffffff,1.0,0.0,0.0,0.0
8430c0dffffffff,2.0,0.0,0.0,0.0
8430c15ffffffff,2.0,0.0,0.0,0.0
8430c1dffffffff,3.0,0.0,0.0,0.0
8430c29ffffffff,34.0,0.0,0.0,0.0
8430c41ffffffff,2.0,0.0,0.0,0.0
8430c45ffffffff,4.0,0.0,0.0,0.0
8430c49ffffffff,2.0,0.0,0.0,0.0
8430c4dffffffff,11.0,0.0,0.0,0.0
8430c61ffffffff,5.0,0.0,0.0,0.0
8430c63ffffffff,10.0,0.0,0.0,0.0
8430c67ffffffff,22.0,0.0,0.0,0.0
8430d03ffffffff,4.0,0.0,0.0,0.0
8430e01ffffffff,2.0,0.0,0.0,0.0
8430e03ffffffff,9.0,0.0,0.0,0.0
8430e07ffffffff,5.0,0.0,0.0,0.0
8430e09ffffffff,23.0,0.0,0.0,0.0
8430e0bffffffff,56.0,0.0,0.0,0.0
8430e15ffffffff,12.0,0.0,0.0,0.0
8430e17ffffffff,2.0,0.0,0.0,0.0
8430e1dffffffff,26.0,0.0,0.0,0.0
8430e25ffffffff,10.0,0.0,0.0,0.0
8430e29ffffffff,3.0,0.0,0.0,0.0
8430e2bffffffff,19.0,0.0,0.0,0.0
8430e31ffffffff,9.0,0.0,0.0,0.0
8430e37ffffffff,6.0,0.0,0.0,0.0
8430e3dffffffff,2.0,0.0,0.0,0.0
8430e53ffffffff,9.0,0.0,0.0,0.0
8430e55ffffffff,3.0,0.0,0.0,0.0
8430e57ffffffff,6.0,0.0,0.0,0.0
8430ecbffffffff,4.0,0.0,0.0,0.0
