cell_id,Ramphocelus flammigerus,Ramphocelus flammigerus flammigerus,Ramphocelus flammigerus icteronotus,Ramphocelus flammigerus flammigerus x icteronotus
846601bffffffff,1.0,0.0,0.0,0.0
8466027ffffffff,6.0,0.0,0.0,0.0
8466081ffffffff,2.0,0.0,0.0,0.0
8466085ffffffff,21.0,0.0,8.0,0.0
8466087ffffffff,8.0,0.0,0.0,0.0
8466089ffffffff,27.0,0.0,12.0,0.0
846608dffffffff,964.0,0.0,251.0,0.0
84660a3ffffffff,9.0,0.0,5.0,0.0
84660a7ffffffff,17.0,0.0,0.0,0.0
84660a9ffffffff,1.0,0.0,0.0,0.0
84660abffffffff,1.0,0.0,0.0,0.0
84660c1ffffffff,6.0,0.0,0.0,0.0
84660c5ffffffff,7.0,0.0,0.0,0.0
84660c7ffffffff,28.0,0.0,13.0,0.0
84660e5ffffffff,1.0,0.0,1.0,0.0
84660ebffffffff,4.0,0.0,2.0,0.0
8466101ffffffff,3.0,0.0,3.0,0.0
8466103ffffffff,1.0,0.0,0.0,0.0
8466107ffffffff,359.0,0.0,104.0,0.0
8466113ffffffff,69.0,2.0,58.0,0.0
8466117ffffffff,2.0,0.0,0.0,0.0
8466119ffffffff,14.0,0.0,7.0,0.0
846611dffffffff,1.0,0.0,0.0,0.0
8466129ffffffff,2.0,0.0,0.0,0.0
8466131ffffffff,141.0,0.0,62.0,0.0
8466135ffffffff,4.0,0.0,2.0,0.0
8466139ffffffff,189.0,0.0,67.0,0.0
846613bffffffff,2.0,0.0,2.0,0.0
846613dffffffff,3.0,0.0,0.0,0.0
8466161ffffffff,3.0,0.0,3.0,0.0
8466163ffffffff,112.0,0.0,29.0,0.0
8466165ffffffff,108.0,0.0,24.0,0.0
8466167ffffffff,3.0,0.0,0.0,0.0
8466181ffffffff,54.0,1.0,15.0,0.0
8466183ffffffff,436.0,63.0,7.0,0.0
8466185ffffffff,6.0,0.0,4.0,0.0
8466187ffffffff,31.0,8.0,9.0,0.0
8466189ffffffff,71.0,0.0,2.0,0.0
846618bffffffff,52.0,12.0,3.0,0.0
846618dffffffff,11.0,0.0,3.0,0.0
8466191ffffffff,535.0,12.0,232.0,0.0
8466193ffffffff,197.0,4.0,50.0,0.0
8466195ffffffff,216.0,24.0,0.0,0.0
8466197ffffffff,313.0,5.0,71.0,0.0
8466199ffffffff,230.0,2.0,73.0,0.0
846619bffffffff,86.0,1.0,40.0,0.0
846619dffffffff,603.0,90.0,88.0,0.0
84661a3ffffffff,2.0,0.0,2.0,0.0
84661a5ffffffff,274.0,3.0,155.0,0.0
84661a7ffffffff,36.0,0.0,0.0,0.0
84661adffffffff,175.0,0.0,118.0,0.0
84661b1ffffffff,2856.0,478.0,1354.0,0.0
84661b3ffffffff,434.0,40.0,43.0,0.0
84661b5ffffffff,5.0,0.0,3.0,0.0
84661b7ffffffff,91.0,2.0,53.0,0.0
84661b9ffffffff,2617.0,403.0,90.0,0.0
84661bbffffffff,2376.0,386.0,133.0,0.0
84661bdffffffff,109.0,6.0,31.0,0.0
84661c1ffffffff,7.0,0.0,0.0,0.0
84661c3ffffffff,22.0,0.0,15.0,0.0
84661c5ffffffff,1.0,0.0,0.0,0.0
84661c7ffffffff,2.0,0.0,2.0,0.0
84661c9ffffffff,15.0,0.0,0.0,0.0
84661cbffffffff,2.0,0.0,0.0,0.0
84661cdffffffff,46.0,0.0,13.0,0.0
