cell_id,Fulvetta vinipectus,Fulvetta vinipectus vinipectus/kangrae,Fulvetta vinipectus chumbiensis,Fulvetta vinipectus austeni,Fulvetta vinipectus ripponi,Fulvetta vinipectus bieti/perstriata,Fulvetta vinipectus valentinae
833c00fffffffff,30.0,0.0,0.0,0.0,0.0,0.0,0.0
833c02fffffffff,208.0,1.0,0.0,0.0,0.0,0.0,0.0
833c03fffffffff,25.0,0.0,0.0,0.0,0.0,0.0,0.0
833c06fffffffff,70.0,1.0,0.0,0.0,0.0,0.0,0.0
833c0afffffffff,975.0,0.0,0.0,0.0,0.0,0.0,0.0
833c0bfffffffff,412.0,0.0,0.0,0.0,0.0,0.0,0.0
833c0efffffffff,17.0,0.0,0.0,0.0,0.0,0.0,0.0
833c19fffffffff,13.0,0.0,0.0,0.0,0.0,0.0,0.0
833c1dfffffffff,856.0,0.0,0.0,0.0,0.0,0.0,0.0
833c31fffffffff,41.0,0.0,0.0,0.0,0.0,0.0,0.0
833c34fffffffff,3.0,0.0,0.0,0.0,0.0,0.0,0.0
833c56fffffffff,9.0,0.0,0.0,0.0,0.0,0.0,0.0
833c59fffffffff,34.0,0.0,0.0,0.0,0.0,0.0,0.0
833cd8fffffffff,122.0,0.0,0.0,0.0,0.0,0.0,0.0
833cd9fffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
833cddfffffffff,19.0,0.0,0.0,0.0,0.0,0.0,0.0
833ce4fffffffff,5.0,0.0,0.0,0.0,0.0,0.0,0.0
833ce5fffffffff,183.0,0.0,0.0,0.0,0.0,0.0,0.0
833ce9fffffffff,18.0,0.0,0.0,0.0,0.0,0.0,0.0
834040fffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
834043fffffffff,56.0,0.0,0.0,0.0,0.0,0.0,0.0
83404cfffffffff,11.0,0.0,0.0,0.0,0.0,0.0,0.0
83404efffffffff,15.0,0.0,0.0,0.0,0.0,0.0,0.0
834052fffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
834058fffffffff,16.0,0.0,0.0,0.0,0.0,0.0,0.0
834059fffffffff,13.0,0.0,0.0,0.0,0.0,0.0,0.0
83405bfffffffff,12.0,0.0,0.0,0.0,0.0,0.0,0.0
83405cfffffffff,14.0,0.0,0.0,0.0,0.0,0.0,0.0
83405dfffffffff,3.0,0.0,0.0,0.0,0.0,0.0,0.0
834073fffffffff,3.0,0.0,0.0,0.0,0.0,0.0,0.0
8340c1fffffffff,4.0,0.0,0.0,0.0,0.0,0.0,0.0
8340c5fffffffff,21.0,0.0,0.0,0.0,0.0,0.0,0.0
8340e1fffffffff,4.0,0.0,0.0,0.0,0.0,0.0,0.0
8340ecfffffffff,21.0,0.0,0.0,0.0,0.0,0.0,0.0
8340eefffffffff,4.0,0.0,0.0,0.0,0.0,0.0,0.0
834143fffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0
834159fffffffff,15.0,0.0,0.0,0.0,0.0,0.0,0.0
83649bfffffffff,4.0,0.0,0.0,0.0,0.0,0.0,0.0
