cell_id,Ramphastos ambiguus,Ramphastos ambiguus swainsonii,Ramphastos ambiguus ambiguus/abbreviatus
8445305ffffffff,42.0,0.0,0.0
8445321ffffffff,1.0,0.0,0.0
844532bffffffff,115.0,7.0,0.0
844532dffffffff,2.0,0.0,0.0
8445343ffffffff,5.0,0.0,0.0
8445345ffffffff,7.0,0.0,0.0
844534dffffffff,2.0,0.0,0.0
8445363ffffffff,44.0,33.0,0.0
8445365ffffffff,76.0,53.0,0.0
8445367ffffffff,14.0,2.0,0.0
8466027ffffffff,8.0,0.0,0.0
8466035ffffffff,4.0,0.0,0.0
8466037ffffffff,2.0,0.0,0.0
846603dffffffff,2.0,0.0,0.0
8466085ffffffff,8.0,0.0,0.0
846608dffffffff,707.0,7.0,6.0
8466091ffffffff,2.0,0.0,0.0
8466097ffffffff,1.0,0.0,0.0
8466099ffffffff,13.0,0.0,0.0
84660a1ffffffff,38.0,0.0,0.0
84660a3ffffffff,2.0,0.0,0.0
84660a5ffffffff,1.0,0.0,0.0
84660a7ffffffff,857.0,72.0,22.0
84660a9ffffffff,2.0,0.0,0.0
84660b3ffffffff,6.0,0.0,0.0
84660bbffffffff,9.0,0.0,0.0
84660cbffffffff,8.0,0.0,6.0
84660d1ffffffff,18.0,0.0,0.0
84660d3ffffffff,8.0,0.0,0.0
84660d9ffffffff,7.0,0.0,0.0
84660ddffffffff,26.0,0.0,0.0
84660e5ffffffff,27.0,0.0,0.0
84660e7ffffffff,33.0,0.0,6.0
8466103ffffffff,14.0,2.0,0.0
8466105ffffffff,7.0,4.0,0.0
8466107ffffffff,1097.0,255.0,0.0
846610bffffffff,9.0,6.0,0.0
846610dffffffff,4.0,4.0,0.0
8466113ffffffff,100.0,56.0,0.0
8466117ffffffff,21.0,11.0,0.0
8466119ffffffff,3.0,0.0,0.0
846611dffffffff,9.0,1.0,0.0
8466129ffffffff,1.0,0.0,0.0
8466131ffffffff,171.0,93.0,0.0
8466139ffffffff,649.0,157.0,0.0
846613bffffffff,22.0,22.0,0.0
846613dffffffff,37.0,7.0,0.0
8466163ffffffff,54.0,8.0,0.0
8466165ffffffff,424.0,154.0,0.0
8466167ffffffff,37.0,16.0,0.0
8466185ffffffff,2.0,0.0,0.0
8466187ffffffff,2.0,2.0,0.0
8466191ffffffff,3.0,2.0,0.0
8466193ffffffff,145.0,0.0,0.0
8466199ffffffff,18.0,0.0,0.0
846619bffffffff,677.0,137.0,41.0
84661a1ffffffff,2.0,0.0,0.0
84661a5ffffffff,263.0,57.0,12.0
84661a7ffffffff,71.0,14.0,0.0
84661adffffffff,159.0,34.0,0.0
84661b1ffffffff,61.0,24.0,0.0
84661b5ffffffff,3.0,0.0,0.0
84661b9ffffffff,6.0,0.0,0.0
84661bdffffffff,45.0,1.0,0.0
84661c1ffffffff,19.0,0.0,0.0
84661c5ffffffff,8.0,0.0,0.0
84661c7ffffffff,2.0,2.0,0.0
84661c9ffffffff,35.0,0.0,0.0
84661cbffffffff,5.0,0.0,0.0
84661cdffffffff,219.0,75.0,0.0
84661d1ffffffff,53.0,12.0,0.0
84661d3ffffffff,10.0,2.0,1.0
84661d9ffffffff,11.0,9.0,0.0
84661dbffffffff,12.0,0.0,0.0
84661ddffffffff,22.0,7.0,0.0
84661ebffffffff,613.0,47.0,0.0
8466211ffffffff,13.0,0.0,1.0
8466213ffffffff,23.0,0.0,0.0
8466217ffffffff,486.0,0.0,136.0
846621bffffffff,6.0,0.0,0.0
8466291ffffffff,10.0,0.0,0.0
8466293ffffffff,2.0,0.0,0.0
8466295ffffffff,2.0,0.0,0.0
8466299ffffffff,6.0,0.0,0.0
846629bffffffff,4.0,0.0,0.0
846629dffffffff,104.0,0.0,15.0
84662b1ffffffff,1.0,0.0,1.0
84662b5ffffffff,8.0,0.0,0.0
84662b7ffffffff,22.0,0.0,2.0
84662b9ffffffff,2.0,0.0,0.0
84662bbffffffff,1.0,0.0,0.0
84662d3ffffffff,57.0,0.0,2.0
84662d7ffffffff,2.0,0.0,0.0
84662e1ffffffff,22.0,0.0,0.0
84662e9ffffffff,40.0,0.0,0.0
846656dffffffff,7.0,0.0,0.0
8466749ffffffff,1.0,0.0,0.0
8466a01ffffffff,44.0,0.0,0.0
8466a05ffffffff,64.0,9.0,0.0
8466a09ffffffff,12.0,0.0,0.0
8466a0bffffffff,15.0,0.0,0.0
8466a0dffffffff,2.0,0.0,0.0
8466a2dffffffff,2.0,2.0,0.0
8466a51ffffffff,4943.0,1318.0,0.0
8466a55ffffffff,239.0,66.0,0.0
8466a59ffffffff,38.0,5.0,0.0
8466a5bffffffff,468.0,119.0,0.0
8466a5dffffffff,256.0,68.0,0.0
8466a65ffffffff,309.0,60.0,0.0
8466a67ffffffff,4.0,2.0,0.0
8466a9bffffffff,18.0,0.0,0.0
8466b01ffffffff,659.0,0.0,0.0
8466b09ffffffff,1735.0,0.0,0.0
8466b0bffffffff,2648.0,0.0,0.0
8466b1dffffffff,41.0,2.0,0.0
8466b41ffffffff,1096.0,0.0,0.0
8466b43ffffffff,160.0,0.0,0.0
8466b45ffffffff,983.0,0.0,0.0
8466b47ffffffff,1825.0,0.0,0.0
8466b49ffffffff,649.0,0.0,0.0
8466b4bffffffff,39.0,0.0,0.0
8466b4dffffffff,100.0,0.0,0.0
8466b51ffffffff,611.0,20.0,0.0
8466b53ffffffff,4.0,0.0,0.0
8466b55ffffffff,4085.0,0.0,0.0
8466b57ffffffff,201.0,12.0,0.0
8466b59ffffffff,142.0,38.0,0.0
8466b5bffffffff,293.0,65.0,0.0
8466b5dffffffff,258.0,0.0,0.0
8466b69ffffffff,219.0,0.0,0.0
8466c05ffffffff,4.0,0.0,0.0
8466c0dffffffff,334.0,0.0,0.0
8466c21ffffffff,100.0,0.0,4.0
8466c27ffffffff,1.0,0.0,1.0
8466c29ffffffff,235.0,0.0,2.0
8466c2bffffffff,2.0,0.0,0.0
8466c2dffffffff,101.0,0.0,5.0
8466c47ffffffff,2.0,0.0,0.0
8466c4bffffffff,20.0,0.0,0.0
8466c63ffffffff,17.0,0.0,0.0
8466c67ffffffff,14.0,0.0,0.0
8466d01ffffffff,43.0,12.0,0.0
8466d03ffffffff,33.0,8.0,0.0
8466d05ffffffff,18.0,5.0,0.0
8466d07ffffffff,232.0,90.0,0.0
8466d0bffffffff,338.0,21.0,0.0
8466d0dffffffff,49.0,4.0,0.0
8466d19ffffffff,2.0,0.0,2.0
8466d1bffffffff,77.0,0.0,10.0
8466d23ffffffff,250.0,118.0,0.0
8466d25ffffffff,8.0,0.0,0.0
8466d27ffffffff,132.0,41.0,0.0
8466d31ffffffff,2509.0,1040.0,0.0
8466d35ffffffff,2490.0,1041.0,0.0
8466d37ffffffff,218.0,58.0,0.0
8466d3dffffffff,102.0,28.0,0.0
8466d49ffffffff,1.0,0.0,0.0
8466d4bffffffff,8.0,0.0,0.0
8466d51ffffffff,15.0,0.0,0.0
8466d55ffffffff,64.0,54.0,0.0
8466da7ffffffff,2.0,0.0,0.0
8466dadffffffff,6.0,0.0,3.0
8466de1ffffffff,1626.0,0.0,653.0
8466de9ffffffff,1.0,0.0,1.0
8466debffffffff,14.0,0.0,3.0
8466dedffffffff,4.0,0.0,2.0
8466e03ffffffff,8.0,0.0,0.0
8466e27ffffffff,3.0,0.0,0.0
8466e39ffffffff,30.0,0.0,0.0
8466e3bffffffff,24.0,0.0,0.0
8466e3dffffffff,17.0,0.0,0.0
8466e41ffffffff,4.0,0.0,0.0
8466e49ffffffff,3.0,0.0,0.0
8466e4dffffffff,3.0,0.0,0.0
8466e59ffffffff,2.0,0.0,0.0
8466f01ffffffff,120.0,13.0,0.0
8466f03ffffffff,609.0,181.0,18.0
8466f0bffffffff,1172.0,320.0,5.0
8466f1dffffffff,34.0,5.0,0.0
8466f35ffffffff,94.0,0.0,0.0
8466f59ffffffff,4.0,0.0,0.0
8466f5dffffffff,4.0,0.0,0.0
84674c7ffffffff,15.0,0.0,0.0
84675a5ffffffff,53.0,0.0,3.0
84675adffffffff,1.0,0.0,0.0
84675ddffffffff,3.0,0.0,0.0
8467909ffffffff,8.0,0.0,0.0
846792dffffffff,3.0,0.0,0.0
846793bffffffff,12.0,12.0,0.0
8467945ffffffff,18.0,0.0,0.0
846794dffffffff,3.0,0.0,0.0
8467961ffffffff,112.0,12.0,0.0
8467963ffffffff,1.0,0.0,0.0
8467969ffffffff,13.0,0.0,0.0
84679a1ffffffff,806.0,0.0,0.0
84679a3ffffffff,50.0,0.0,0.0
84679a5ffffffff,6926.0,0.0,0.0
84679a7ffffffff,1138.0,0.0,0.0
84679adffffffff,47.0,0.0,0.0
84679b3ffffffff,9.0,3.0,0.0
84679b5ffffffff,144.0,0.0,0.0
84679b7ffffffff,1298.0,0.0,0.0
846d651ffffffff,2.0,0.0,0.0
846d65dffffffff,3.0,0.0,0.0
846d681ffffffff,260.0,0.0,0.0
846d683ffffffff,31.0,0.0,0.0
846d689ffffffff,93.0,0.0,0.0
846d68bffffffff,2315.0,0.0,0.0
846d68dffffffff,35.0,0.0,0.0
846d691ffffffff,533.0,0.0,0.0
846d693ffffffff,619.0,0.0,0.0
846d697ffffffff,4233.0,0.0,0.0
846d699ffffffff,1422.0,0.0,0.0
846d69bffffffff,2893.0,0.0,0.0
846d69dffffffff,7333.0,0.0,0.0
846d6d1ffffffff,102.0,39.0,0.0
846d6d3ffffffff,749.0,0.0,0.0
846d6d5ffffffff,10.0,0.0,0.0
846d6d7ffffffff,13.0,0.0,0.0
846d6dbffffffff,4.0,0.0,0.0
848e643ffffffff,8.0,0.0,4.0
848e649ffffffff,19.0,0.0,8.0
848f0d1ffffffff,18.0,6.0,0.0
848f0d9ffffffff,21.0,2.0,0.0
848f0dbffffffff,949.0,493.0,0.0
848f285ffffffff,2.0,2.0,0.0
848f291ffffffff,2.0,0.0,0.0
848f295ffffffff,19.0,5.0,0.0
848f2a1ffffffff,6.0,0.0,0.0
848f2a9ffffffff,217.0,53.0,0.0
848f2abffffffff,42.0,16.0,0.0
848f2b3ffffffff,7.0,5.0,0.0
848f2b9ffffffff,2.0,2.0,0.0
848f2bbffffffff,62.0,9.0,0.0
848f2c1ffffffff,3.0,0.0,0.0
848f2c3ffffffff,1.0,0.0,0.0
848f2cbffffffff,10.0,0.0,0.0
848f2cdffffffff,276.0,59.0,0.0
848f401ffffffff,2.0,0.0,0.0
848f403ffffffff,1.0,0.0,0.0
848f421ffffffff,39.0,0.0,13.0
848f465ffffffff,8.0,0.0,1.0
848f4a5ffffffff,4.0,0.0,0.0
848f4a7ffffffff,6.0,0.0,0.0
848f4adffffffff,12.0,0.0,0.0
848f5d3ffffffff,17.0,0.0,2.0
848f5ddffffffff,33.0,0.0,0.0
848f729ffffffff,1.0,0.0,0.0
848f72bffffffff,8.0,0.0,6.0
848f733ffffffff,57.0,0.0,25.0
848f765ffffffff,27.0,0.0,0.0
