cell_id,Aethopyga pulcherrima,Aethopyga pulcherrima jefferyi,Aethopyga pulcherrima decorosa,Aethopyga pulcherrima pulcherrima
826847fffffffff,123.0,0.0,99.0,20.0
82684ffffffffff,204.0,0.0,0.0,202.0
826857fffffffff,8.0,0.0,0.0,8.0
82685ffffffffff,93.0,0.0,0.0,92.0
826867fffffffff,1.0,0.0,0.0,0.0
82694ffffffffff,66.0,66.0,0.0,0.0
82696ffffffffff,194.0,188.0,0.0,0.0
