cell_id,Puffinus bailloni,Puffinus bailloni bailloni,Puffinus bailloni [dichrous Group]
8342d9fffffffff,1.0,0.0,0.0
836006fffffffff,3.0,0.0,0.0
83611afffffffff,1.0,0.0,1.0
83611cfffffffff,1.0,1.0,0.0
83731bfffffffff,2.0,0.0,0.0
837733fffffffff,1.0,0.0,1.0
83845afffffffff,9.0,0.0,0.0
83845efffffffff,1.0,0.0,0.0
8384a1fffffffff,1.0,0.0,1.0
8385a0fffffffff,1.0,0.0,1.0
8385a2fffffffff,1.0,0.0,1.0
8388cefffffffff,1.0,0.0,1.0
838922fffffffff,2.0,0.0,0.0
838935fffffffff,1.0,0.0,0.0
838c23fffffffff,1.0,0.0,0.0
839a14fffffffff,1.0,0.0,0.0
839a15fffffffff,1.0,0.0,0.0
839b0afffffffff,1.0,0.0,0.0
839e06fffffffff,1.0,0.0,0.0
839e15fffffffff,1.0,0.0,0.0
839e24fffffffff,8.0,0.0,0.0
839e8dfffffffff,1.0,0.0,1.0
839ea9fffffffff,1.0,0.0,1.0
839edbfffffffff,2.0,0.0,2.0
839ef3fffffffff,1.0,0.0,0.0
839facfffffffff,1.0,0.0,0.0
83a069fffffffff,1.0,0.0,0.0
83a0cbfffffffff,1.0,0.0,0.0
83a119fffffffff,1.0,0.0,0.0
83a250fffffffff,6.0,0.0,0.0
83a254fffffffff,2.0,2.0,0.0
83a255fffffffff,2.0,0.0,0.0
83a391fffffffff,2.0,0.0,0.0
83b4c5fffffffff,2.0,0.0,0.0
83bc02fffffffff,8.0,2.0,0.0
83bc1afffffffff,5.0,0.0,0.0
83bc1bfffffffff,1.0,0.0,0.0
83bc1cfffffffff,7.0,0.0,0.0
