cell_id,Laniarius poensis,Laniarius poensis camerunensis,Laniarius poensis poensis
8458d13ffffffff,4.0,3.0,0.0
8458d33ffffffff,64.0,61.0,0.0
8458d37ffffffff,18.0,16.0,0.0
84828e3ffffffff,1.0,0.0,0.0
8482d03ffffffff,12.0,0.0,9.0
8482d1dffffffff,37.0,0.0,28.0
8482d27ffffffff,11.0,0.0,0.0
8482d3dffffffff,49.0,36.0,0.0
