cell_id,Sula brewsteri,Sula brewsteri brewsteri,Sula brewsteri etesiaca
830c69fffffffff,2.0,0.0,0.0
83129bfffffffff,2.0,0.0,0.0
832800fffffffff,13.0,0.0,0.0
832802fffffffff,12.0,0.0,0.0
832803fffffffff,2.0,0.0,0.0
832804fffffffff,27.0,2.0,0.0
832819fffffffff,108.0,0.0,0.0
83281bfffffffff,6.0,0.0,0.0
83281cfffffffff,5.0,1.0,0.0
832830fffffffff,95.0,0.0,0.0
832831fffffffff,35.0,0.0,0.0
832834fffffffff,535.0,10.0,0.0
832835fffffffff,1097.0,127.0,0.0
8328c3fffffffff,2.0,0.0,0.0
8328c4fffffffff,4.0,0.0,0.0
8328c6fffffffff,43.0,12.0,0.0
8328d1fffffffff,29.0,0.0,0.0
8328d5fffffffff,17.0,0.0,0.0
8328dcfffffffff,4.0,0.0,0.0
8328defffffffff,6.0,0.0,0.0
8328f0fffffffff,17.0,0.0,0.0
8328f1fffffffff,1.0,0.0,0.0
8328f5fffffffff,81.0,3.0,0.0
832906fffffffff,1.0,0.0,0.0
832910fffffffff,39.0,0.0,0.0
832912fffffffff,512.0,2.0,0.0
832913fffffffff,39.0,0.0,0.0
832916fffffffff,60.0,0.0,0.0
83291afffffffff,6.0,0.0,0.0
8329a1fffffffff,1.0,0.0,0.0
8329a4fffffffff,507.0,26.0,0.0
8329a5fffffffff,767.0,14.0,0.0
8329a6fffffffff,22.0,0.0,0.0
8329adfffffffff,10.0,0.0,0.0
8329b0fffffffff,83.0,0.0,0.0
8329b5fffffffff,50.0,0.0,0.0
8329b6fffffffff,2.0,0.0,0.0
834608fffffffff,2.0,2.0,0.0
834633fffffffff,2.0,2.0,0.0
834642fffffffff,3.0,3.0,0.0
834649fffffffff,2.0,2.0,0.0
8347a3fffffffff,2.0,2.0,0.0
83482afffffffff,2.0,2.0,0.0
834836fffffffff,2.0,2.0,0.0
834848fffffffff,2.0,0.0,0.0
83484bfffffffff,18.0,0.0,0.0
834855fffffffff,1.0,0.0,0.0
834856fffffffff,1.0,1.0,0.0
83485bfffffffff,1.0,0.0,0.0
83485cfffffffff,21.0,0.0,0.0
83485efffffffff,2.0,2.0,0.0
83486afffffffff,8.0,2.0,0.0
834908fffffffff,2.0,0.0,0.0
83490bfffffffff,4.0,0.0,0.0
8349a2fffffffff,5.0,3.0,0.0
8349a8fffffffff,1.0,0.0,0.0
8349a9fffffffff,2.0,0.0,0.0
8349adfffffffff,3.0,3.0,0.0
834a4dfffffffff,1.0,1.0,0.0
834ee9fffffffff,1.0,1.0,0.0
834f49fffffffff,1.0,1.0,0.0
835d10fffffffff,19.0,19.0,0.0
836612fffffffff,4.0,0.0,4.0
83661afffffffff,12.0,0.0,0.0
836684fffffffff,5.0,0.0,2.0
8366a2fffffffff,2.0,0.0,0.0
8366a5fffffffff,1.0,0.0,1.0
8366aefffffffff,4.0,0.0,2.0
8366b1fffffffff,1.0,0.0,0.0
8366b6fffffffff,7.0,0.0,0.0
8366d4fffffffff,1.0,0.0,0.0
8366d6fffffffff,7.0,0.0,7.0
8366f2fffffffff,3.0,0.0,0.0
836c54fffffffff,2.0,0.0,0.0
836c5bfffffffff,9.0,1.0,6.0
836c5dfffffffff,7.0,0.0,7.0
836c5efffffffff,1.0,0.0,0.0
836c61fffffffff,20.0,11.0,0.0
836c65fffffffff,4.0,0.0,0.0
836d0cfffffffff,7.0,0.0,0.0
836d0dfffffffff,2.0,0.0,0.0
836d14fffffffff,9.0,9.0,0.0
836d15fffffffff,43.0,23.0,0.0
836d16fffffffff,7.0,7.0,0.0
836d2afffffffff,1.0,0.0,0.0
836d2bfffffffff,17.0,0.0,0.0
836d49fffffffff,1.0,1.0,0.0
836d54fffffffff,3.0,0.0,0.0
836d56fffffffff,1.0,0.0,0.0
836d62fffffffff,1.0,1.0,0.0
836d66fffffffff,8.0,0.0,0.0
836d6bfffffffff,77.0,2.0,0.0
836d76fffffffff,76.0,0.0,0.0
837065fffffffff,2.0,2.0,0.0
838e2cfffffffff,2.0,0.0,0.0
838e4efffffffff,4.0,0.0,0.0
838e75fffffffff,1.0,0.0,0.0
838f01fffffffff,4.0,0.0,0.0
838f08fffffffff,3.0,0.0,0.0
838f0bfffffffff,1.0,0.0,0.0
838f0cfffffffff,1.0,0.0,0.0
838f20fffffffff,2.0,0.0,0.0
838f21fffffffff,2.0,0.0,0.0
838f2afffffffff,19.0,0.0,0.0
838f2efffffffff,3.0,2.0,0.0
838f52fffffffff,5.0,3.0,0.0
83b0a2fffffffff,5.0,0.0,0.0
83b200fffffffff,2.0,0.0,0.0
83b219fffffffff,3.0,0.0,0.0
83b226fffffffff,1.0,0.0,0.0
83b2c4fffffffff,2.0,0.0,0.0
83b303fffffffff,1.0,0.0,0.0
83b319fffffffff,3.0,0.0,0.0
83b31dfffffffff,1.0,0.0,0.0
83b330fffffffff,3.0,0.0,0.0
83b333fffffffff,1.0,0.0,0.0
83b336fffffffff,2.0,0.0,0.0
