cell_id,Leiothlypis ruficapilla,Leiothlypis ruficapilla ruficapilla,Leiothlypis ruficapilla ridgwayi
820c47fffffffff,3.0,0.0,0.0
820c77fffffffff,2.0,0.0,0.0
820ca7fffffffff,3.0,0.0,0.0
820d07fffffffff,1.0,0.0,0.0
820d5ffffffffff,1.0,0.0,0.0
820e4ffffffffff,16.0,0.0,0.0
820e87fffffffff,3.0,0.0,0.0
820ec7fffffffff,1.0,1.0,0.0
820ecffffffffff,240.0,232.0,0.0
820eeffffffffff,5.0,2.0,0.0
82121ffffffffff,2.0,0.0,0.0
821257fffffffff,3.0,0.0,0.0
82125ffffffffff,10.0,0.0,0.0
82128ffffffffff,6.0,0.0,0.0
8212b7fffffffff,6.0,0.0,0.0
8212c7fffffffff,34.0,0.0,0.0
8212cffffffffff,107.0,0.0,0.0
8212d7fffffffff,45.0,0.0,0.0
8212dffffffffff,51.0,3.0,17.0
8212e7fffffffff,4.0,0.0,0.0
8212effffffffff,12.0,0.0,0.0
8212f7fffffffff,4.0,0.0,0.0
821387fffffffff,5.0,0.0,0.0
821aa7fffffffff,50.0,0.0,0.0
821b9ffffffffff,5.0,0.0,0.0
822607fffffffff,14.0,0.0,0.0
82260ffffffffff,59.0,1.0,0.0
822617fffffffff,13.0,0.0,0.0
822627fffffffff,14.0,0.0,0.0
82262ffffffffff,37.0,3.0,0.0
822637fffffffff,4.0,0.0,0.0
822647fffffffff,56.0,0.0,0.0
82264ffffffffff,63.0,3.0,0.0
822657fffffffff,82.0,0.0,0.0
82265ffffffffff,37.0,0.0,0.0
822667fffffffff,103.0,15.0,0.0
82266ffffffffff,52.0,0.0,0.0
822677fffffffff,9.0,0.0,0.0
822687fffffffff,148.0,0.0,2.0
82268ffffffffff,235.0,0.0,2.0
822697fffffffff,105.0,0.0,0.0
82269ffffffffff,69.0,0.0,0.0
8226affffffffff,81.0,0.0,1.0
8226b7fffffffff,19.0,0.0,0.0
8226c7fffffffff,16.0,0.0,0.0
8226cffffffffff,33.0,0.0,0.0
8226d7fffffffff,26.0,0.0,0.0
8226dffffffffff,42.0,0.0,0.0
8226e7fffffffff,17.0,0.0,0.0
8226effffffffff,12.0,0.0,0.0
8226f7fffffffff,40.0,3.0,0.0
822707fffffffff,5.0,0.0,0.0
82270ffffffffff,56.0,41.0,0.0
822717fffffffff,5.0,0.0,0.0
82271ffffffffff,3.0,0.0,0.0
822747fffffffff,51.0,0.0,0.0
82274ffffffffff,361.0,2.0,0.0
822757fffffffff,78.0,1.0,0.0
82275ffffffffff,76.0,1.0,0.0
822767fffffffff,70.0,42.0,0.0
82276ffffffffff,317.0,206.0,0.0
822777fffffffff,74.0,60.0,0.0
822787fffffffff,6.0,0.0,0.0
82278ffffffffff,5.0,0.0,0.0
822797fffffffff,6.0,2.0,0.0
8227a7fffffffff,3.0,0.0,0.0
8227affffffffff,25.0,0.0,0.0
8227b7fffffffff,4.0,0.0,0.0
822807fffffffff,120.0,2.0,31.0
822817fffffffff,125.0,0.0,78.0
82281ffffffffff,155.0,0.0,9.0
822827fffffffff,2.0,0.0,0.0
822837fffffffff,1577.0,1.0,697.0
822887fffffffff,291.0,0.0,0.0
82288ffffffffff,31.0,0.0,12.0
822897fffffffff,41.0,0.0,0.0
82289ffffffffff,13.0,0.0,7.0
8228a7fffffffff,5.0,0.0,1.0
8228affffffffff,20.0,0.0,2.0
8228b7fffffffff,31.0,0.0,0.0
8228c7fffffffff,40.0,0.0,2.0
8228d7fffffffff,317.0,4.0,61.0
8228dffffffffff,57.0,0.0,0.0
8228e7fffffffff,1.0,0.0,0.0
8228f7fffffffff,264.0,0.0,17.0
822917fffffffff,101.0,0.0,6.0
82291ffffffffff,94.0,0.0,39.0
822987fffffffff,20.0,0.0,0.0
82298ffffffffff,218.0,0.0,201.0
822997fffffffff,8.0,0.0,0.0
