cell_id,Forpus modestus,Forpus modestus modestus,Forpus modestus sclateri
845f03dffffffff,9.0,0.0,0.0
845f407ffffffff,1.0,0.0,0.0
845f42bffffffff,6.0,0.0,0.0
845f445ffffffff,1.0,0.0,0.0
845f461ffffffff,1.0,0.0,0.0
845f681ffffffff,2.0,0.0,0.0
845f689ffffffff,1.0,0.0,0.0
845f68bffffffff,5.0,0.0,0.0
845f711ffffffff,3.0,0.0,0.0
845f713ffffffff,6.0,1.0,0.0
8466411ffffffff,2.0,2.0,0.0
8466415ffffffff,8.0,3.0,0.0
8466417ffffffff,1.0,0.0,0.0
846641dffffffff,8.0,3.0,0.0
8466481ffffffff,1.0,0.0,0.0
8466485ffffffff,2.0,0.0,0.0
8466487ffffffff,6.0,0.0,0.0
84665a3ffffffff,4.0,0.0,0.0
84665abffffffff,52.0,0.0,2.0
84665bdffffffff,93.0,0.0,0.0
84665e9ffffffff,4.0,0.0,0.0
84666b3ffffffff,2.0,0.0,0.0
8466c03ffffffff,3.0,0.0,0.0
8466c09ffffffff,1.0,0.0,0.0
8466c23ffffffff,2.0,0.0,0.0
8466c35ffffffff,4.0,0.0,0.0
8466c37ffffffff,6.0,0.0,1.0
8466c53ffffffff,10.0,0.0,0.0
8466c5bffffffff,6.0,0.0,0.0
8466c87ffffffff,1.0,0.0,0.0
8466cc5ffffffff,3.0,0.0,0.0
8466ce1ffffffff,5.0,0.0,0.0
8466ce9ffffffff,11.0,0.0,0.0
8466cedffffffff,9.0,0.0,0.0
8466d81ffffffff,4.0,0.0,0.0
8466d8bffffffff,1.0,0.0,0.0
8466dadffffffff,8.0,0.0,0.0
8466db1ffffffff,2.0,0.0,0.0
8466db5ffffffff,2.0,0.0,0.0
8466dc1ffffffff,1.0,0.0,0.0
8466dc3ffffffff,47.0,0.0,8.0
8466dc5ffffffff,1.0,0.0,0.0
8466dc7ffffffff,16.0,0.0,0.0
8466dcbffffffff,15.0,0.0,0.0
8466dd5ffffffff,5.0,0.0,0.0
8466dddffffffff,2.0,0.0,1.0
8466de1ffffffff,13.0,0.0,0.0
8466de3ffffffff,10.0,0.0,0.0
8466de7ffffffff,2.0,0.0,0.0
8466debffffffff,5.0,0.0,0.0
8466e81ffffffff,2.0,0.0,0.0
8466e8dffffffff,6.0,0.0,0.0
8466e9dffffffff,3.0,0.0,0.0
8466eadffffffff,4.0,0.0,0.0
8466ec5ffffffff,1.0,0.0,0.0
8466ec7ffffffff,1.0,0.0,0.0
8466ee5ffffffff,27.0,0.0,0.0
8466ee7ffffffff,6.0,0.0,0.0
84814a9ffffffff,2.0,0.0,0.0
84814c7ffffffff,2.0,0.0,0.0
84814d1ffffffff,1.0,0.0,1.0
84814d5ffffffff,13.0,0.0,13.0
84814dbffffffff,2.0,0.0,1.0
84814e7ffffffff,8.0,0.0,5.0
848a003ffffffff,2.0,0.0,0.0
848a451ffffffff,4.0,0.0,0.0
848a457ffffffff,4.0,0.0,0.0
848a459ffffffff,22.0,0.0,0.0
848a45bffffffff,4.0,0.0,0.0
848a45dffffffff,16.0,0.0,0.0
848a4bbffffffff,2.0,0.0,0.0
848a699ffffffff,7.0,0.0,0.0
848a69dffffffff,2.0,0.0,0.0
848a6d1ffffffff,1.0,0.0,0.0
848a6d3ffffffff,15.0,0.0,0.0
848a6d7ffffffff,14.0,0.0,0.0
848a6d9ffffffff,16.0,0.0,0.0
848a6dbffffffff,24.0,0.0,0.0
848a809ffffffff,2.0,0.0,0.0
848a9c1ffffffff,7.0,0.0,0.0
848ab21ffffffff,2.0,0.0,0.0
848b22dffffffff,1.0,0.0,0.0
848b2a7ffffffff,1.0,0.0,0.0
848b401ffffffff,2.0,0.0,0.0
848b40bffffffff,3.0,0.0,0.0
848b40dffffffff,12.0,0.0,0.0
848b429ffffffff,4.0,0.0,0.0
848b445ffffffff,4.0,0.0,0.0
848b44bffffffff,48.0,0.0,0.0
848b44dffffffff,28.0,0.0,0.0
848b459ffffffff,5.0,0.0,0.0
848b469ffffffff,7.0,0.0,0.0
848b483ffffffff,4.0,0.0,0.0
848b4e5ffffffff,4.0,0.0,0.0
848b513ffffffff,5.0,0.0,3.0
848b51dffffffff,2.0,0.0,0.0
848b529ffffffff,2.0,0.0,0.0
848b53dffffffff,3.0,0.0,0.0
848b561ffffffff,2.0,0.0,0.0
848b5cdffffffff,14.0,0.0,10.0
848b617ffffffff,3.0,0.0,0.0
848b623ffffffff,4.0,0.0,0.0
848b627ffffffff,9.0,0.0,0.0
848b637ffffffff,61.0,0.0,0.0
848b639ffffffff,1.0,0.0,0.0
848b63bffffffff,17.0,0.0,0.0
848b699ffffffff,1.0,0.0,0.0
848b6e5ffffffff,4.0,0.0,0.0
848b6e7ffffffff,5.0,0.0,0.0
848b6edffffffff,3.0,0.0,0.0
848b709ffffffff,3.0,0.0,0.0
848b711ffffffff,1.0,0.0,0.0
848b713ffffffff,50.0,0.0,0.0
848b717ffffffff,6.0,0.0,0.0
848b71bffffffff,12.0,0.0,0.0
848b821ffffffff,4.0,0.0,0.0
848b829ffffffff,4.0,0.0,4.0
848b98bffffffff,13.0,0.0,0.0
848b999ffffffff,27.0,0.0,12.0
848b99dffffffff,36.0,0.0,16.0
848b9d1ffffffff,8.0,0.0,2.0
848b9d5ffffffff,351.0,0.0,14.0
848e649ffffffff,1.0,0.0,0.0
848e65dffffffff,2.0,0.0,0.0
848e6d9ffffffff,1.0,0.0,0.0
848f41bffffffff,1.0,0.0,0.0
848f44bffffffff,2.0,0.0,0.0
848f48dffffffff,1.0,0.0,0.0
848f613ffffffff,3.0,0.0,0.0
848f61bffffffff,6.0,0.0,0.0
848f657ffffffff,3.0,0.0,0.0
848f6c9ffffffff,6.0,0.0,0.0
848f6e1ffffffff,1.0,0.0,0.0
848f6e9ffffffff,2.0,0.0,0.0
848f705ffffffff,3.0,0.0,0.0
848f71bffffffff,3.0,0.0,0.0
848f72bffffffff,12.0,0.0,0.0
848f74bffffffff,1.0,0.0,0.0
848f76bffffffff,3.0,0.0,0.0
84a8c9bffffffff,5.0,0.0,5.0
