cell_id,Dendrocygna autumnalis,Dendrocygna autumnalis fulgens,Dendrocygna autumnalis autumnalis
8329b2fffffffff,2.0,0.0,0.0
8329b6fffffffff,6.0,0.0,0.0
832a10fffffffff,250.0,6.0,0.0
832a12fffffffff,11.0,0.0,0.0
832a13fffffffff,323.0,0.0,0.0
832a14fffffffff,50.0,2.0,0.0
832a15fffffffff,12.0,2.0,0.0
832a16fffffffff,2.0,0.0,0.0
832a30fffffffff,83.0,1.0,0.0
832a31fffffffff,21.0,0.0,0.0
832a32fffffffff,5.0,0.0,0.0
832a33fffffffff,9.0,0.0,0.0
832a34fffffffff,2.0,0.0,0.0
832a4cfffffffff,29.0,0.0,0.0
832a80fffffffff,14.0,0.0,0.0
832a82fffffffff,1.0,0.0,0.0
832a84fffffffff,9.0,0.0,0.0
832a86fffffffff,3.0,0.0,0.0
832a88fffffffff,1.0,0.0,0.0
832a8afffffffff,8.0,1.0,0.0
832a8bfffffffff,41.0,4.0,0.0
832a8dfffffffff,17.0,0.0,0.0
832a8efffffffff,10.0,0.0,0.0
832a90fffffffff,10.0,0.0,0.0
832a92fffffffff,2.0,0.0,0.0
832a93fffffffff,29.0,0.0,0.0
832a94fffffffff,38.0,0.0,0.0
832a95fffffffff,33.0,0.0,0.0
832a96fffffffff,14.0,0.0,0.0
832a99fffffffff,4.0,0.0,0.0
832a9afffffffff,5.0,0.0,0.0
832aa0fffffffff,18.0,3.0,0.0
832aa1fffffffff,14.0,0.0,0.0
832aa3fffffffff,6.0,0.0,0.0
832aa4fffffffff,114.0,45.0,0.0
832aa8fffffffff,143.0,2.0,0.0
832aa9fffffffff,6.0,0.0,0.0
832aaafffffffff,20.0,0.0,0.0
832aabfffffffff,5.0,0.0,0.0
832aacfffffffff,118.0,0.0,0.0
832aadfffffffff,554.0,11.0,0.0
832aaefffffffff,27.0,0.0,0.0
832ab0fffffffff,14.0,0.0,0.0
832ab1fffffffff,30.0,0.0,0.0
832ab2fffffffff,279.0,6.0,0.0
832ab3fffffffff,130.0,0.0,0.0
832ab4fffffffff,38.0,0.0,0.0
