cell_id,Todirostrum cinereum,Todirostrum cinereum [cinereum Group],Todirostrum cinereum sclateri
834424fffffffff,164.0,0.0,0.0
834501fffffffff,146.0,0.0,0.0
834505fffffffff,804.0,0.0,0.0
834509fffffffff,497.0,0.0,0.0
83450afffffffff,61.0,0.0,0.0
83450bfffffffff,297.0,0.0,0.0
83450cfffffffff,10.0,0.0,0.0
83450dfffffffff,51.0,0.0,0.0
83450efffffffff,95.0,0.0,0.0
834520fffffffff,362.0,0.0,0.0
834521fffffffff,3689.0,2.0,0.0
834522fffffffff,492.0,0.0,0.0
834523fffffffff,1302.0,0.0,0.0
834524fffffffff,72.0,0.0,0.0
834525fffffffff,143.0,0.0,0.0
834526fffffffff,1259.0,0.0,0.0
834528fffffffff,2.0,0.0,0.0
834529fffffffff,7.0,0.0,0.0
83452afffffffff,3285.0,0.0,0.0
83452bfffffffff,4.0,0.0,0.0
83452cfffffffff,908.0,58.0,0.0
83452dfffffffff,211.0,12.0,0.0
83452efffffffff,4721.0,2.0,0.0
834530fffffffff,29.0,0.0,0.0
834531fffffffff,140.0,0.0,0.0
834532fffffffff,72.0,0.0,0.0
834534fffffffff,131.0,0.0,0.0
834535fffffffff,77.0,0.0,0.0
834536fffffffff,92.0,0.0,0.0
834572fffffffff,652.0,0.0,0.0
834576fffffffff,6.0,0.0,0.0
835e64fffffffff,2.0,0.0,0.0
835f01fffffffff,1.0,0.0,0.0
835f02fffffffff,2.0,0.0,0.0
835f03fffffffff,8.0,0.0,0.0
835f08fffffffff,86.0,0.0,0.0
835f09fffffffff,327.0,0.0,0.0
835f0bfffffffff,36.0,0.0,0.0
835f0dfffffffff,11.0,0.0,0.0
835f0efffffffff,2.0,0.0,0.0
835f10fffffffff,9.0,0.0,0.0
835f11fffffffff,3.0,0.0,0.0
835f12fffffffff,13.0,0.0,0.0
835f13fffffffff,4.0,0.0,0.0
835f14fffffffff,31.0,0.0,0.0
835f16fffffffff,2.0,0.0,0.0
835f1cfffffffff,148.0,0.0,0.0
835f1dfffffffff,3.0,0.0,0.0
835f1efffffffff,7.0,0.0,0.0
835f22fffffffff,7.0,0.0,0.0
835f29fffffffff,204.0,0.0,0.0
835f2bfffffffff,74.0,0.0,0.0
835f2dfffffffff,60.0,0.0,0.0
835f40fffffffff,57.0,0.0,0.0
835f41fffffffff,50.0,0.0,0.0
835f42fffffffff,19.0,0.0,0.0
835f43fffffffff,4.0,0.0,0.0
835f46fffffffff,6.0,0.0,0.0
835f48fffffffff,28.0,0.0,0.0
835f49fffffffff,24.0,0.0,0.0
835f4afffffffff,47.0,0.0,0.0
