cell_id,Aegithalos iouschistos,Aegithalos iouschistos iouschistos,Aegithalos iouschistos sharpei,Aegithalos iouschistos bonvaloti/obscuratus
843c005ffffffff,1.0,0.0,0.0,0.0
843c00dffffffff,1.0,1.0,0.0,0.0
843c029ffffffff,9.0,2.0,0.0,0.0
843c031ffffffff,1.0,0.0,0.0,0.0
843c063ffffffff,30.0,4.0,0.0,0.0
843c06bffffffff,1.0,1.0,0.0,0.0
843c0a1ffffffff,29.0,27.0,0.0,0.0
843c0a3ffffffff,156.0,80.0,0.0,0.0
843c0a5ffffffff,5.0,1.0,0.0,0.0
843c0a7ffffffff,2.0,2.0,0.0,0.0
843c0a9ffffffff,131.0,61.0,0.0,0.0
843c0adffffffff,6.0,0.0,0.0,0.0
843c0b5ffffffff,61.0,36.0,0.0,0.0
843c0b7ffffffff,76.0,53.0,0.0,0.0
843c0bdffffffff,1.0,0.0,0.0,0.0
843c0e7ffffffff,47.0,20.0,0.0,0.0
843c199ffffffff,2.0,0.0,0.0,0.0
843c1d1ffffffff,70.0,29.0,0.0,0.0
843c1d3ffffffff,50.0,30.0,0.0,0.0
843c1dbffffffff,5.0,3.0,0.0,0.0
843c315ffffffff,1.0,0.0,0.0,0.0
843c341ffffffff,1.0,0.0,0.0,0.0
843c421ffffffff,24.0,10.0,0.0,4.0
843c427ffffffff,2.0,0.0,0.0,0.0
843c431ffffffff,16.0,5.0,0.0,11.0
843c433ffffffff,5.0,3.0,0.0,2.0
843c435ffffffff,4.0,2.0,0.0,2.0
843c437ffffffff,5.0,5.0,0.0,0.0
843c43dffffffff,2.0,0.0,0.0,0.0
843c51bffffffff,2.0,0.0,0.0,0.0
843c521ffffffff,162.0,110.0,0.0,0.0
843c527ffffffff,87.0,50.0,0.0,0.0
843c529ffffffff,2.0,2.0,0.0,0.0
843c52dffffffff,3.0,2.0,0.0,0.0
843c567ffffffff,5.0,4.0,0.0,0.0
843c591ffffffff,1.0,0.0,0.0,0.0
843c595ffffffff,123.0,0.0,0.0,60.0
843c5c9ffffffff,3.0,1.0,0.0,0.0
843c5cbffffffff,3.0,0.0,0.0,0.0
843c5d3ffffffff,1.0,0.0,0.0,0.0
843c5ddffffffff,1.0,1.0,0.0,0.0
843cd8bffffffff,77.0,0.0,64.0,0.0
843cd9dffffffff,2.0,0.0,2.0,0.0
843cdd5ffffffff,6.0,0.0,0.0,0.0
843ce4dffffffff,1.0,0.0,0.0,0.0
843ce59ffffffff,101.0,41.0,0.0,0.0
843ce5bffffffff,5.0,1.0,0.0,0.0
843ce5dffffffff,1.0,1.0,0.0,0.0
8440403ffffffff,3.0,0.0,0.0,3.0
8440405ffffffff,1.0,0.0,0.0,1.0
8440431ffffffff,2.0,0.0,0.0,0.0
8440439ffffffff,60.0,0.0,0.0,27.0
844043dffffffff,1.0,0.0,0.0,0.0
8440443ffffffff,2.0,0.0,0.0,2.0
8440447ffffffff,32.0,0.0,0.0,16.0
8440457ffffffff,3.0,0.0,0.0,2.0
84404c1ffffffff,4.0,0.0,0.0,4.0
84404c5ffffffff,4.0,0.0,0.0,4.0
84404ddffffffff,3.0,0.0,0.0,3.0
84404e1ffffffff,11.0,0.0,0.0,4.0
84404edffffffff,1.0,0.0,0.0,1.0
8440581ffffffff,1.0,0.0,0.0,1.0
8440587ffffffff,1.0,0.0,0.0,0.0
8440589ffffffff,7.0,0.0,0.0,5.0
844058dffffffff,12.0,0.0,0.0,6.0
8440591ffffffff,5.0,0.0,0.0,5.0
844059dffffffff,2.0,0.0,0.0,0.0
84405b9ffffffff,11.0,0.0,0.0,0.0
84405bdffffffff,1.0,0.0,0.0,1.0
84405c1ffffffff,13.0,0.0,0.0,3.0
84405c7ffffffff,1.0,0.0,0.0,0.0
84405c9ffffffff,11.0,0.0,0.0,7.0
84405cbffffffff,5.0,0.0,0.0,2.0
84405ddffffffff,9.0,0.0,0.0,8.0
84405e3ffffffff,1.0,0.0,0.0,1.0
84405e9ffffffff,1.0,0.0,0.0,0.0
8440711ffffffff,1.0,0.0,0.0,1.0
8440733ffffffff,2.0,0.0,0.0,2.0
8440c43ffffffff,1.0,0.0,0.0,0.0
8440c59ffffffff,46.0,0.0,0.0,22.0
8440c5dffffffff,3.0,0.0,0.0,3.0
8440c6dffffffff,2.0,0.0,0.0,2.0
8440e11ffffffff,1.0,0.0,0.0,0.0
8440e13ffffffff,30.0,0.0,0.0,19.0
8440e3dffffffff,4.0,0.0,0.0,4.0
8440e81ffffffff,1.0,0.0,0.0,0.0
8440ec1ffffffff,4.0,0.0,0.0,3.0
8440ec5ffffffff,27.0,0.0,0.0,17.0
8440ee1ffffffff,1.0,0.0,0.0,0.0
8440ee5ffffffff,21.0,0.0,0.0,10.0
8440eebffffffff,29.0,0.0,0.0,26.0
8440eedffffffff,2.0,0.0,0.0,2.0
