cell_id,Chaetura brachyura,Chaetura brachyura [brachyura Group],Chaetura brachyura ocypetes
838046fffffffff,117.0,1.0,0.0
83804dfffffffff,1.0,1.0,0.0
838054fffffffff,15.0,0.0,0.0
838061fffffffff,14.0,0.0,0.0
838062fffffffff,4.0,0.0,0.0
838063fffffffff,2.0,0.0,0.0
838064fffffffff,3.0,0.0,0.0
838065fffffffff,4.0,0.0,0.0
838066fffffffff,9.0,0.0,0.0
838068fffffffff,4.0,0.0,0.0
83806afffffffff,25.0,0.0,0.0
83806bfffffffff,26.0,0.0,0.0
83806efffffffff,2.0,0.0,0.0
838071fffffffff,9.0,0.0,0.0
838073fffffffff,20.0,0.0,0.0
838074fffffffff,10.0,0.0,0.0
838075fffffffff,2.0,0.0,0.0
838142fffffffff,4.0,0.0,0.0
838143fffffffff,4.0,0.0,0.0
838145fffffffff,2.0,0.0,0.0
83814afffffffff,57.0,1.0,0.0
83814dfffffffff,16.0,0.0,0.0
83814efffffffff,18.0,0.0,0.0
838159fffffffff,12.0,0.0,0.0
83815afffffffff,7.0,1.0,0.0
83815cfffffffff,12.0,0.0,0.0
83815dfffffffff,19.0,0.0,0.0
83815efffffffff,2.0,0.0,0.0
838162fffffffff,3.0,0.0,0.0
838a00fffffffff,24.0,2.0,0.0
838a01fffffffff,7.0,4.0,0.0
838a04fffffffff,2.0,0.0,0.0
838a05fffffffff,35.0,0.0,0.0
838a10fffffffff,11.0,0.0,0.0
838a12fffffffff,2.0,0.0,0.0
838a15fffffffff,13.0,1.0,0.0
838a18fffffffff,2.0,2.0,0.0
838a1afffffffff,14.0,1.0,0.0
838a21fffffffff,7.0,0.0,0.0
838a23fffffffff,6.0,1.0,0.0
838a24fffffffff,1.0,0.0,0.0
838a25fffffffff,2.0,0.0,0.0
838a2efffffffff,3.0,0.0,0.0
838a31fffffffff,53.0,9.0,0.0
838a33fffffffff,9.0,0.0,0.0
838a35fffffffff,1.0,0.0,0.0
838a41fffffffff,2.0,0.0,0.0
838a45fffffffff,374.0,5.0,0.0
838a5afffffffff,1.0,1.0,0.0
838a63fffffffff,67.0,4.0,0.0
838a68fffffffff,33.0,0.0,0.0
838a69fffffffff,335.0,0.0,0.0
838a6bfffffffff,3.0,0.0,0.0
838a6dfffffffff,926.0,0.0,0.0
838a6efffffffff,2.0,0.0,0.0
838a70fffffffff,7.0,0.0,0.0
838a73fffffffff,10.0,0.0,0.0
838a80fffffffff,7.0,0.0,0.0
838a81fffffffff,7.0,0.0,0.0
838a82fffffffff,9.0,0.0,0.0
838a85fffffffff,13.0,0.0,0.0
838a8cfffffffff,27.0,2.0,0.0
838a8dfffffffff,6.0,0.0,0.0
838a90fffffffff,4.0,0.0,0.0
838a92fffffffff,3.0,0.0,0.0
838a9cfffffffff,14.0,0.0,0.0
838a9dfffffffff,2.0,0.0,0.0
838aa5fffffffff,3.0,0.0,0.0
838aa8fffffffff,19.0,0.0,0.0
838aa9fffffffff,33.0,0.0,0.0
838aaafffffffff,62.0,0.0,0.0
838aabfffffffff,27.0,0.0,0.0
838aacfffffffff,2.0,0.0,0.0
838aadfffffffff,9.0,0.0,0.0
838ac4fffffffff,1.0,0.0,0.0
838ad1fffffffff,16.0,0.0,0.0
838ad8fffffffff,2.0,0.0,0.0
838adafffffffff,5.0,0.0,0.0
838adbfffffffff,8.0,0.0,0.0
838adcfffffffff,43.0,0.0,0.0
838adefffffffff,2.0,0.0,0.0
838ae1fffffffff,1.0,0.0,0.0
838ae5fffffffff,6.0,0.0,0.0
838af0fffffffff,91.0,15.0,0.0
838af1fffffffff,23.0,0.0,0.0
838af2fffffffff,65.0,0.0,0.0
838af4fffffffff,54.0,8.0,0.0
838af6fffffffff,184.0,30.0,0.0
838b04fffffffff,3.0,0.0,0.0
838b06fffffffff,3.0,0.0,0.0
838b0cfffffffff,2.0,0.0,0.0
838b0dfffffffff,1.0,0.0,0.0
838b10fffffffff,9.0,0.0,0.0
838b11fffffffff,2.0,0.0,0.0
838b12fffffffff,3.0,0.0,0.0
838b1efffffffff,9.0,0.0,0.0
838b21fffffffff,5.0,0.0,0.0
838b22fffffffff,110.0,0.0,0.0
838b23fffffffff,4.0,0.0,0.0
838b2cfffffffff,5.0,0.0,0.0
838b2efffffffff,1.0,0.0,0.0
838b31fffffffff,7.0,0.0,0.0
838b36fffffffff,2.0,0.0,0.0
838b40fffffffff,62.0,1.0,0.0
838b42fffffffff,9.0,0.0,0.0
838b44fffffffff,145.0,0.0,0.0
838b45fffffffff,5.0,0.0,0.0
838b46fffffffff,10.0,0.0,0.0
838b4efffffffff,8.0,0.0,0.0
838b51fffffffff,16.0,1.0,0.0
838b52fffffffff,3.0,0.0,0.0
838b53fffffffff,4.0,0.0,0.0
838b56fffffffff,25.0,0.0,0.0
838b5cfffffffff,34.0,0.0,0.0
838b5dfffffffff,2.0,0.0,0.0
838b61fffffffff,239.0,1.0,0.0
838b62fffffffff,14.0,4.0,0.0
838b63fffffffff,181.0,0.0,0.0
838b69fffffffff,18.0,0.0,0.0
838b6cfffffffff,8.0,0.0,0.0
838b6efffffffff,69.0,0.0,0.0
838b71fffffffff,241.0,2.0,0.0
838b74fffffffff,13.0,0.0,0.0
838b76fffffffff,5.0,0.0,0.0
838b82fffffffff,2.0,0.0,0.0
838b84fffffffff,52.0,0.0,0.0
838b88fffffffff,54.0,0.0,0.0
838b98fffffffff,2.0,0.0,0.0
838b99fffffffff,32.0,0.0,0.0
838b9dfffffffff,400.0,14.0,0.0
838ba0fffffffff,16.0,0.0,0.0
838ba2fffffffff,3.0,0.0,0.0
838ba6fffffffff,11.0,0.0,0.0
838bb5fffffffff,7.0,0.0,0.0
838e64fffffffff,2.0,0.0,0.0
838e6cfffffffff,2.0,0.0,0.0
838f08fffffffff,4.0,0.0,1.0
838f09fffffffff,22.0,0.0,2.0
838f0dfffffffff,310.0,0.0,193.0
838f28fffffffff,2.0,0.0,0.0
838f29fffffffff,14.0,0.0,6.0
838f2afffffffff,48.0,0.0,17.0
838f2bfffffffff,191.0,0.0,74.0
838f2dfffffffff,3.0,0.0,0.0
838f2efffffffff,65.0,0.0,35.0
838f40fffffffff,116.0,11.0,0.0
838f43fffffffff,14.0,2.0,0.0
