cell_id,Pachycephala griseonota,Pachycephala griseonota [griseonota Group],Pachycephala griseonota johni
8468d81ffffffff,2.0,0.0,0.0
8468d85ffffffff,7.0,0.0,0.0
8468d87ffffffff,1.0,0.0,0.0
8495613ffffffff,14.0,0.0,0.0
8495617ffffffff,5.0,0.0,0.0
