cell_id,Mitrephanes phaeocercus,Mitrephanes phaeocercus phaeocercus/tenuirostris,Mitrephanes phaeocercus aurantiiventris,Mitrephanes phaeocercus berlepschi
8445243ffffffff,6.0,0.0,0.0,0.0
84480adffffffff,10.0,0.0,0.0,0.0
8448337ffffffff,8.0,4.0,0.0,0.0
8448361ffffffff,74.0,1.0,0.0,0.0
844836dffffffff,1.0,0.0,0.0,0.0
8448955ffffffff,2.0,0.0,0.0,0.0
8448a21ffffffff,5.0,0.0,0.0,0.0
8448ab7ffffffff,14.0,0.0,0.0,0.0
8448c59ffffffff,166.0,32.0,0.0,0.0
8448e85ffffffff,26.0,9.0,0.0,0.0
8448e8dffffffff,5.0,0.0,0.0,0.0
8448ee9ffffffff,809.0,14.0,0.0,0.0
8448eebffffffff,1.0,1.0,0.0,0.0
8448f21ffffffff,7.0,0.0,0.0,0.0
8449801ffffffff,6.0,6.0,0.0,0.0
8449809ffffffff,4.0,4.0,0.0,0.0
8449861ffffffff,2.0,0.0,0.0,0.0
8449865ffffffff,8.0,6.0,0.0,0.0
8449959ffffffff,3.0,3.0,0.0,0.0
8449963ffffffff,19.0,1.0,0.0,0.0
8449969ffffffff,11.0,1.0,0.0,0.0
844996bffffffff,7.0,3.0,0.0,0.0
8449987ffffffff,2.0,2.0,0.0,0.0
84499c1ffffffff,2.0,0.0,0.0,0.0
8449a23ffffffff,1.0,0.0,0.0,0.0
8449a27ffffffff,2.0,2.0,0.0,0.0
8449a85ffffffff,1.0,1.0,0.0,0.0
8449b19ffffffff,2.0,2.0,0.0,0.0
8449b1dffffffff,5.0,5.0,0.0,0.0
8449b27ffffffff,1.0,0.0,0.0,0.0
8466131ffffffff,7.0,0.0,0.0,3.0
8466139ffffffff,9.0,0.0,0.0,7.0
84661ebffffffff,13.0,0.0,0.0,0.0
8466a57ffffffff,13.0,0.0,1.0,0.0
8466b41ffffffff,11.0,0.0,11.0,0.0
8466b45ffffffff,130.0,0.0,130.0,0.0
8466b4dffffffff,32.0,0.0,27.0,0.0
8466b51ffffffff,4.0,0.0,0.0,0.0
8466b53ffffffff,1.0,0.0,0.0,0.0
8466f03ffffffff,2.0,0.0,0.0,0.0
8466f1dffffffff,2.0,0.0,0.0,0.0
8466f5dffffffff,4.0,0.0,0.0,0.0
846d05bffffffff,3.0,3.0,0.0,0.0
846d23bffffffff,2.0,0.0,0.0,0.0
846d283ffffffff,1.0,0.0,0.0,0.0
846d2a9ffffffff,1.0,0.0,0.0,0.0
846d2d3ffffffff,1.0,0.0,0.0,0.0
846d305ffffffff,2.0,2.0,0.0,0.0
846d30dffffffff,3.0,0.0,0.0,0.0
846d32bffffffff,11.0,9.0,0.0,0.0
846d337ffffffff,1.0,1.0,0.0,0.0
846d34dffffffff,3.0,0.0,0.0,0.0
846d65dffffffff,4.0,1.0,0.0,0.0
846d681ffffffff,2.0,0.0,0.0,0.0
846d689ffffffff,1.0,0.0,0.0,0.0
846d68bffffffff,3.0,0.0,0.0,0.0
846d691ffffffff,3.0,0.0,0.0,0.0
846d699ffffffff,3.0,0.0,3.0,0.0
846d69bffffffff,6.0,0.0,6.0,0.0
846d69dffffffff,10.0,0.0,7.0,0.0
