cell_id,Progne tapera,Progne tapera tapera,Progne tapera fusca
822a17fffffffff,1.0,0.0,0.0
822a37fffffffff,5.0,0.0,3.0
822aaffffffffff,10.0,0.0,0.0
82450ffffffffff,2.0,0.0,0.0
82452ffffffffff,2.0,0.0,0.0
825f0ffffffffff,2.0,0.0,0.0
825f2ffffffffff,2.0,0.0,0.0
826607fffffffff,9.0,0.0,0.0
82660ffffffffff,12.0,0.0,0.0
826617fffffffff,80.0,0.0,3.0
82661ffffffffff,20.0,0.0,0.0
826627fffffffff,32.0,4.0,10.0
82662ffffffffff,1.0,1.0,0.0
826637fffffffff,1.0,0.0,0.0
826647fffffffff,3.0,3.0,0.0
826667fffffffff,2.0,0.0,0.0
8266a7fffffffff,7.0,0.0,0.0
8266b7fffffffff,3.0,0.0,0.0
8266d7fffffffff,26.0,2.0,7.0
8266dffffffffff,9.0,0.0,1.0
8266e7fffffffff,4.0,2.0,0.0
8266f7fffffffff,5.0,0.0,0.0
826747fffffffff,13.0,0.0,3.0
82674ffffffffff,6.0,0.0,0.0
826757fffffffff,2.0,0.0,0.0
82675ffffffffff,6.0,1.0,0.0
826777fffffffff,11.0,0.0,0.0
826787fffffffff,9.0,0.0,0.0
826d77fffffffff,2.0,0.0,0.0
828a07fffffffff,2.0,0.0,2.0
828a47fffffffff,3.0,0.0,0.0
828a8ffffffffff,6.0,0.0,0.0
828aaffffffffff,10.0,1.0,0.0
828adffffffffff,2.0,0.0,0.0
828af7fffffffff,7.0,2.0,5.0
828b0ffffffffff,2.0,0.0,0.0
828b2ffffffffff,1.0,0.0,0.0
828b47fffffffff,2.0,0.0,0.0
828b67fffffffff,8.0,2.0,0.0
828e47fffffffff,2.0,2.0,0.0
828e67fffffffff,4.0,0.0,0.0
828f0ffffffffff,2.0,0.0,0.0
828f2ffffffffff,11.0,0.0,0.0
828f57fffffffff,2.0,0.0,0.0
828f5ffffffffff,2.0,0.0,0.0
828f6ffffffffff,1.0,0.0,0.0
82a817fffffffff,3.0,0.0,1.0
82a81ffffffffff,6.0,0.0,0.0
82a827fffffffff,1.0,0.0,0.0
82a837fffffffff,2.0,0.0,0.0
82a8affffffffff,3.0,0.0,3.0
82a91ffffffffff,2.0,0.0,0.0
82a92ffffffffff,2.0,0.0,0.0
82a947fffffffff,59.0,0.0,2.0
82a94ffffffffff,4.0,0.0,0.0
82a957fffffffff,4.0,0.0,0.0
82a967fffffffff,100.0,0.0,0.0
82a96ffffffffff,66.0,0.0,0.0
82a977fffffffff,4.0,0.0,2.0
82b207fffffffff,4.0,0.0,0.0
82b227fffffffff,5.0,0.0,0.0
82b247fffffffff,5.0,0.0,1.0
82b24ffffffffff,485.0,0.0,0.0
82b25ffffffffff,5.0,0.0,1.0
82b26ffffffffff,224.0,0.0,0.0
82b2effffffffff,1.0,0.0,0.0
82b307fffffffff,1.0,0.0,0.0
82b30ffffffffff,3.0,0.0,0.0
82b347fffffffff,18.0,0.0,0.0
82b35ffffffffff,7.0,0.0,0.0
82c207fffffffff,4.0,0.0,4.0
82c21ffffffffff,12.0,0.0,12.0
82c227fffffffff,3.0,0.0,0.0
82c22ffffffffff,7.0,0.0,7.0
82c2c7fffffffff,17.0,0.0,8.0
82c2cffffffffff,390.0,0.0,0.0
82c2d7fffffffff,1.0,0.0,0.0
82c2e7fffffffff,56.0,0.0,16.0
82c2effffffffff,34.0,0.0,0.0
82c2f7fffffffff,4.0,0.0,0.0
82c327fffffffff,50.0,0.0,0.0
82c32ffffffffff,13.0,0.0,0.0
82c357fffffffff,3.0,0.0,0.0
82c377fffffffff,5.0,0.0,0.0
82ce97fffffffff,7.0,0.0,0.0
82cf97fffffffff,2.0,0.0,0.0
