cell_id,Geophaps smithii,Geophaps smithii blaauwi,Geophaps smithii smithii
839418fffffffff,8.0,0.0,0.0
83941afffffffff,1.0,0.0,0.0
83941bfffffffff,50.0,0.0,0.0
839442fffffffff,2.0,0.0,0.0
839450fffffffff,2.0,0.0,0.0
839451fffffffff,26.0,0.0,0.0
839453fffffffff,16.0,0.0,0.0
839455fffffffff,9.0,0.0,0.0
839458fffffffff,9.0,0.0,0.0
83945cfffffffff,256.0,0.0,0.0
83945efffffffff,33.0,0.0,0.0
839473fffffffff,3.0,0.0,0.0
8394a9fffffffff,8.0,0.0,0.0
8394edfffffffff,45.0,0.0,0.0
