cell_id,Corvus corone,Corvus corone corone,Corvus corone orientalis
830811fffffffff,2.0,0.0,0.0
830882fffffffff,1.0,0.0,0.0
830886fffffffff,2.0,0.0,0.0
830895fffffffff,1.0,0.0,0.0
830991fffffffff,2.0,0.0,0.0
831828fffffffff,8.0,0.0,0.0
83182cfffffffff,48.0,1.0,0.0
831849fffffffff,34.0,5.0,0.0
83184bfffffffff,37.0,2.0,0.0
831859fffffffff,11.0,0.0,0.0
83185bfffffffff,26.0,2.0,0.0
831862fffffffff,4.0,0.0,0.0
831870fffffffff,1.0,0.0,0.0
831909fffffffff,4.0,4.0,0.0
83190bfffffffff,2.0,0.0,0.0
831922fffffffff,1.0,1.0,0.0
831941fffffffff,9.0,9.0,0.0
831942fffffffff,3.0,1.0,0.0
831943fffffffff,3.0,2.0,0.0
83194afffffffff,2.0,2.0,0.0
83194dfffffffff,1.0,0.0,0.0
83194efffffffff,18.0,14.0,0.0
831950fffffffff,1.0,0.0,0.0
831952fffffffff,3.0,0.0,0.0
831954fffffffff,2.0,2.0,0.0
831956fffffffff,18.0,0.0,0.0
831958fffffffff,10.0,10.0,0.0
831959fffffffff,2.0,2.0,0.0
83195cfffffffff,1.0,1.0,0.0
83195dfffffffff,5.0,5.0,0.0
831969fffffffff,1.0,1.0,0.0
831972fffffffff,9.0,9.0,0.0
831973fffffffff,1.0,1.0,0.0
831e02fffffffff,28.0,0.0,0.0
831e06fffffffff,37.0,0.0,0.0
831e11fffffffff,2.0,0.0,0.0
831e16fffffffff,2.0,0.0,0.0
831e21fffffffff,3.0,0.0,0.0
831e24fffffffff,1.0,0.0,0.0
831e34fffffffff,3.0,0.0,0.0
831e36fffffffff,2.0,0.0,0.0
831ea1fffffffff,3.0,0.0,0.0
831f02fffffffff,2.0,0.0,0.0
831f03fffffffff,3.0,0.0,0.0
831f05fffffffff,23.0,0.0,0.0
831f0cfffffffff,2.0,0.0,0.0
831f0efffffffff,1.0,0.0,0.0
831f11fffffffff,2.0,2.0,0.0
831f15fffffffff,1.0,1.0,0.0
831f19fffffffff,3.0,0.0,0.0
831f1afffffffff,1.0,0.0,0.0
831f1dfffffffff,2.0,0.0,0.0
831f23fffffffff,2.0,0.0,0.0
831f28fffffffff,2.0,0.0,0.0
831f29fffffffff,1.0,0.0,0.0
831f31fffffffff,1.0,1.0,0.0
831f33fffffffff,4.0,4.0,0.0
831f71fffffffff,8.0,0.0,0.0
831f72fffffffff,47.0,0.0,0.0
831f80fffffffff,1.0,0.0,0.0
831f82fffffffff,5.0,1.0,0.0
831f83fffffffff,8.0,2.0,0.0
831f88fffffffff,2.0,0.0,0.0
831f89fffffffff,10.0,0.0,0.0
831f8afffffffff,20.0,0.0,0.0
831f8bfffffffff,2.0,0.0,0.0
831f8dfffffffff,2.0,2.0,0.0
831f91fffffffff,1.0,0.0,0.0
831f9dfffffffff,8.0,0.0,0.0
831f9efffffffff,2.0,2.0,0.0
831fa3fffffffff,2.0,0.0,0.0
831faafffffffff,1.0,1.0,0.0
831fb4fffffffff,2.0,0.0,0.0
83200afffffffff,3.0,0.0,3.0
832010fffffffff,4.0,0.0,4.0
832013fffffffff,3.0,0.0,2.0
832016fffffffff,4.0,0.0,4.0
832019fffffffff,3.0,0.0,3.0
83201bfffffffff,2.0,0.0,2.0
83201dfffffffff,3.0,0.0,3.0
8320e0fffffffff,2.0,0.0,2.0
8320e3fffffffff,3.0,0.0,3.0
8320e6fffffffff,3.0,0.0,3.0
8320f4fffffffff,1.0,0.0,0.0
83240afffffffff,1.0,0.0,0.0
832460fffffffff,6.0,0.0,0.0
832475fffffffff,3.0,0.0,0.0
832513fffffffff,2.0,0.0,2.0
832516fffffffff,4.0,0.0,0.0
832550fffffffff,1.0,0.0,0.0
83255afffffffff,17.0,0.0,5.0
83255bfffffffff,2.0,0.0,2.0
8325acfffffffff,2.0,0.0,2.0
8325aefffffffff,2.0,0.0,2.0
832e60fffffffff,5.0,0.0,0.0
832f5afffffffff,4.0,0.0,1.0
832f5bfffffffff,2.0,0.0,2.0
83309afffffffff,3.0,0.0,0.0
