cell_id,Psittacus erithacus,Psittacus erithacus erithacus,Psittacus erithacus princeps
8258d7fffffffff,19.0,4.0,0.0
8258dffffffffff,3.0,0.0,0.0
826a9ffffffffff,45.0,0.0,0.0
826ac7fffffffff,356.0,48.0,0.0
826acffffffffff,813.0,85.0,0.0
826ad7fffffffff,1.0,0.0,0.0
826adffffffffff,27.0,3.0,0.0
826aeffffffffff,138.0,14.0,0.0
82750ffffffffff,126.0,13.0,0.0
82751ffffffffff,1.0,0.0,0.0
82752ffffffffff,96.0,8.0,0.0
827577fffffffff,17.0,0.0,0.0
827a4ffffffffff,39.0,0.0,0.0
82821ffffffffff,25.0,0.0,0.0
828287fffffffff,20.0,2.0,0.0
82828ffffffffff,247.0,112.0,0.0
828297fffffffff,6.0,0.0,0.0
8282a7fffffffff,3.0,0.0,0.0
8282affffffffff,94.0,20.0,0.0
8282b7fffffffff,2.0,0.0,0.0
8282c7fffffffff,109.0,0.0,21.0
8282d7fffffffff,126.0,69.0,0.0
8282e7fffffffff,5.0,0.0,0.0
8282f7fffffffff,31.0,11.0,0.0
82831ffffffffff,1.0,0.0,0.0
82838ffffffffff,17.0,0.0,0.0
828397fffffffff,1.0,0.0,0.0
82839ffffffffff,31.0,0.0,0.0
8296d7fffffffff,1.0,0.0,0.0
8296dffffffffff,1.0,0.0,0.0
