cell_id,Xiphorhynchus guttatus,Xiphorhynchus guttatus [guttatus Group],Xiphorhynchus guttatus guttatoides/dorbignyanus,Xiphorhynchus guttatus [eytoni Group]
835f01fffffffff,14.0,0.0,0.0,0.0
835f02fffffffff,4.0,0.0,0.0,0.0
835f03fffffffff,233.0,3.0,0.0,0.0
835f09fffffffff,15.0,0.0,0.0,0.0
835f0dfffffffff,13.0,0.0,0.0,0.0
835f10fffffffff,3.0,0.0,0.0,0.0
835f11fffffffff,1.0,0.0,0.0,0.0
835f12fffffffff,4.0,0.0,0.0,0.0
835f13fffffffff,3.0,0.0,0.0,0.0
835f14fffffffff,11.0,0.0,0.0,0.0
835f15fffffffff,1.0,0.0,0.0,0.0
835f16fffffffff,22.0,2.0,0.0,0.0
835f1cfffffffff,30.0,0.0,0.0,0.0
835f1dfffffffff,2.0,0.0,0.0,0.0
835f1efffffffff,2.0,0.0,0.0,0.0
835f29fffffffff,93.0,0.0,0.0,0.0
835f2bfffffffff,697.0,0.0,0.0,0.0
835f2dfffffffff,50.0,0.0,0.0,0.0
835f40fffffffff,40.0,0.0,0.0,0.0
835f41fffffffff,7.0,0.0,0.0,0.0
835f42fffffffff,39.0,0.0,0.0,0.0
835f43fffffffff,2.0,0.0,0.0,0.0
835f46fffffffff,2.0,0.0,0.0,0.0
835f50fffffffff,20.0,0.0,0.0,0.0
835f54fffffffff,35.0,0.0,0.0,0.0
835f5dfffffffff,16.0,0.0,0.0,0.0
835f68fffffffff,82.0,0.0,0.0,0.0
835f71fffffffff,47.0,2.0,0.0,0.0
835f75fffffffff,1.0,0.0,0.0,0.0
836609fffffffff,5.0,0.0,0.0,0.0
83660bfffffffff,3.0,0.0,0.0,0.0
83660cfffffffff,2.0,0.0,0.0,0.0
83660dfffffffff,2.0,0.0,0.0,0.0
836641fffffffff,436.0,0.0,0.0,0.0
836643fffffffff,4.0,0.0,0.0,0.0
836644fffffffff,6.0,0.0,0.0,0.0
836645fffffffff,7.0,0.0,0.0,0.0
836648fffffffff,16.0,0.0,0.0,0.0
83664cfffffffff,1.0,0.0,0.0,0.0
83664efffffffff,4.0,0.0,0.0,0.0
836653fffffffff,2.0,0.0,0.0,0.0
836654fffffffff,4.0,0.0,0.0,0.0
836656fffffffff,13.0,0.0,0.0,0.0
83665afffffffff,273.0,0.0,0.0,0.0
83665bfffffffff,210.0,0.0,4.0,0.0
83665efffffffff,8.0,0.0,0.0,0.0
836661fffffffff,4.0,0.0,0.0,0.0
836663fffffffff,55.0,2.0,0.0,0.0
83666afffffffff,2.0,0.0,0.0,0.0
83666bfffffffff,3.0,0.0,0.0,0.0
83666cfffffffff,2.0,0.0,0.0,0.0
83666efffffffff,3.0,0.0,0.0,0.0
836672fffffffff,20.0,0.0,0.0,0.0
836676fffffffff,2.0,0.0,0.0,0.0
8366c0fffffffff,14.0,0.0,0.0,0.0
8366c2fffffffff,153.0,0.0,0.0,0.0
8366c3fffffffff,5.0,0.0,1.0,0.0
8366c5fffffffff,84.0,0.0,0.0,0.0
8366c6fffffffff,5.0,0.0,0.0,0.0
8366c9fffffffff,4.0,0.0,0.0,0.0
8366cefffffffff,91.0,0.0,0.0,0.0
8366d1fffffffff,82.0,0.0,0.0,0.0
8366d8fffffffff,76.0,0.0,15.0,0.0
8366dafffffffff,118.0,0.0,18.0,0.0
8366dbfffffffff,35.0,0.0,3.0,0.0
8366dcfffffffff,1226.0,0.0,153.0,0.0
8366ddfffffffff,141.0,0.0,11.0,0.0
8366defffffffff,332.0,0.0,42.0,0.0
8366e0fffffffff,93.0,0.0,0.0,0.0
8366e1fffffffff,11.0,0.0,0.0,0.0
8366e3fffffffff,65.0,0.0,0.0,0.0
8366e5fffffffff,447.0,0.0,0.0,0.0
8366e8fffffffff,7.0,0.0,0.0,0.0
8366e9fffffffff,2.0,0.0,0.0,0.0
8366eafffffffff,7.0,0.0,0.0,0.0
8366ecfffffffff,413.0,0.0,0.0,0.0
8366eefffffffff,128.0,0.0,0.0,0.0
838001fffffffff,1.0,0.0,0.0,0.0
838002fffffffff,4.0,0.0,0.0,0.0
838005fffffffff,19.0,0.0,9.0,7.0
83800cfffffffff,3.0,0.0,3.0,0.0
838010fffffffff,122.0,0.0,49.0,8.0
838011fffffffff,1.0,0.0,0.0,0.0
838016fffffffff,1.0,0.0,0.0,0.0
838029fffffffff,2.0,0.0,0.0,0.0
838044fffffffff,7.0,0.0,0.0,0.0
838046fffffffff,204.0,0.0,155.0,10.0
83804cfffffffff,2.0,0.0,0.0,0.0
83804dfffffffff,1.0,1.0,0.0,0.0
838054fffffffff,4.0,3.0,0.0,0.0
838061fffffffff,30.0,0.0,2.0,28.0
838062fffffffff,4.0,0.0,0.0,4.0
838063fffffffff,2.0,0.0,0.0,0.0
838065fffffffff,31.0,0.0,23.0,8.0
838066fffffffff,6.0,0.0,0.0,0.0
838068fffffffff,4.0,1.0,0.0,0.0
83806afffffffff,20.0,2.0,0.0,0.0
83806bfffffffff,22.0,7.0,0.0,0.0
838071fffffffff,29.0,0.0,4.0,4.0
838072fffffffff,2.0,0.0,0.0,0.0
838073fffffffff,1.0,0.0,1.0,0.0
838074fffffffff,5.0,0.0,4.0,0.0
838075fffffffff,21.0,0.0,2.0,6.0
838114fffffffff,10.0,2.0,0.0,0.0
83812dfffffffff,21.0,0.0,14.0,0.0
838132fffffffff,86.0,40.0,0.0,0.0
838133fffffffff,4.0,0.0,0.0,0.0
838136fffffffff,26.0,7.0,0.0,0.0
838140fffffffff,14.0,0.0,4.0,2.0
838142fffffffff,3.0,0.0,3.0,0.0
838143fffffffff,9.0,0.0,5.0,0.0
838144fffffffff,12.0,0.0,10.0,0.0
838145fffffffff,50.0,0.0,48.0,0.0
838146fffffffff,8.0,0.0,6.0,0.0
83814afffffffff,184.0,0.0,108.0,25.0
83814dfffffffff,50.0,0.0,45.0,0.0
83814efffffffff,113.0,0.0,73.0,2.0
838151fffffffff,3.0,0.0,2.0,0.0
838158fffffffff,3.0,0.0,0.0,0.0
838159fffffffff,13.0,0.0,0.0,4.0
83815afffffffff,10.0,0.0,5.0,3.0
83815cfffffffff,14.0,0.0,9.0,0.0
83815dfffffffff,48.0,0.0,26.0,0.0
83815efffffffff,5.0,0.0,0.0,2.0
838162fffffffff,24.0,0.0,5.0,0.0
