cell_id,Petrochelidon pyrrhonota,Petrochelidon pyrrhonota [pyrrhonota Group],Petrochelidon pyrrhonota melanogaster
840c021ffffffff,2.0,0.0,0.0
840c051ffffffff,8.0,0.0,0.0
840c063ffffffff,4.0,0.0,0.0
840c0b7ffffffff,2.0,0.0,0.0
840c141ffffffff,77.0,0.0,0.0
840c143ffffffff,104.0,0.0,0.0
840c145ffffffff,60.0,0.0,0.0
840c147ffffffff,725.0,0.0,0.0
840c149ffffffff,257.0,0.0,0.0
840c14bffffffff,220.0,0.0,0.0
840c14dffffffff,80.0,0.0,0.0
840c15dffffffff,33.0,0.0,0.0
840c185ffffffff,6.0,0.0,0.0
840c1b1ffffffff,36.0,0.0,0.0
840c1b5ffffffff,2.0,0.0,0.0
840c2d9ffffffff,2.0,0.0,0.0
840c309ffffffff,2.0,0.0,0.0
840c323ffffffff,2.0,0.0,0.0
840c335ffffffff,216.0,0.0,0.0
840c341ffffffff,2.0,0.0,0.0
840c349ffffffff,2.0,0.0,0.0
840c425ffffffff,1.0,0.0,0.0
840c42dffffffff,29.0,0.0,0.0
840c443ffffffff,2.0,0.0,0.0
840c44bffffffff,3.0,0.0,0.0
840c451ffffffff,1.0,0.0,0.0
840c455ffffffff,13.0,0.0,0.0
840c465ffffffff,26.0,0.0,0.0
840c467ffffffff,2.0,0.0,0.0
840c46dffffffff,15.0,0.0,0.0
840c503ffffffff,3.0,0.0,0.0
840c507ffffffff,3.0,0.0,0.0
840c50bffffffff,4.0,0.0,0.0
840c511ffffffff,8.0,0.0,0.0
840c51dffffffff,64.0,0.0,0.0
840c521ffffffff,2.0,0.0,0.0
840c54bffffffff,4.0,0.0,0.0
840c551ffffffff,2.0,0.0,0.0
840c555ffffffff,19.0,0.0,0.0
840c55bffffffff,11.0,0.0,0.0
840c567ffffffff,2.0,0.0,0.0
840c609ffffffff,2.0,2.0,0.0
840c60dffffffff,2.0,0.0,0.0
840c617ffffffff,2.0,0.0,0.0
840c621ffffffff,37.0,2.0,0.0
840c623ffffffff,2.0,0.0,0.0
840c625ffffffff,10.0,0.0,0.0
840c629ffffffff,2.0,0.0,0.0
840c62bffffffff,6.0,0.0,0.0
840c62dffffffff,2.0,0.0,0.0
840c63bffffffff,3.0,0.0,0.0
840c63dffffffff,7.0,0.0,0.0
840c641ffffffff,10.0,1.0,0.0
840c647ffffffff,8.0,0.0,0.0
840c64bffffffff,4.0,0.0,0.0
840c651ffffffff,17.0,1.0,0.0
840c659ffffffff,12.0,0.0,0.0
840c65bffffffff,6.0,0.0,0.0
840c65dffffffff,22.0,1.0,0.0
840c661ffffffff,2.0,0.0,0.0
840c665ffffffff,194.0,11.0,0.0
840c667ffffffff,8.0,0.0,0.0
840c705ffffffff,9.0,0.0,0.0
840c70dffffffff,7.0,0.0,0.0
840c71bffffffff,32.0,2.0,0.0
840c731ffffffff,8.0,0.0,0.0
840c733ffffffff,217.0,0.0,0.0
840c735ffffffff,8.0,0.0,0.0
840c73bffffffff,11.0,0.0,0.0
840c741ffffffff,248.0,16.0,0.0
840c745ffffffff,7.0,0.0,0.0
840c747ffffffff,3.0,0.0,0.0
840c74bffffffff,82.0,15.0,0.0
840c74dffffffff,61.0,0.0,0.0
840c753ffffffff,1.0,0.0,0.0
840c759ffffffff,260.0,20.0,0.0
840c75dffffffff,42.0,1.0,0.0
840c769ffffffff,52.0,0.0,0.0
840ce27ffffffff,2.0,0.0,0.0
840ce3dffffffff,2.0,0.0,0.0
840ceadffffffff,1.0,0.0,0.0
840cf4bffffffff,2.0,0.0,0.0
840d039ffffffff,45.0,0.0,0.0
840d093ffffffff,55.0,0.0,0.0
