cell_id,Botaurus minutus,Botaurus minutus minutus,Botaurus minutus payesii,Botaurus minutus podiceps
8411aa7ffffffff,1.0,1.0,0.0,0.0
8411ae3ffffffff,2.0,2.0,0.0,0.0
8418495ffffffff,16.0,0.0,0.0,0.0
84184b7ffffffff,9.0,0.0,0.0,0.0
84185bbffffffff,2.0,0.0,0.0,0.0
84186c5ffffffff,1.0,0.0,0.0,0.0
8419405ffffffff,2.0,0.0,0.0,0.0
8419415ffffffff,4.0,2.0,0.0,0.0
8419421ffffffff,1.0,1.0,0.0,0.0
8419425ffffffff,1.0,0.0,0.0,0.0
841942bffffffff,1.0,0.0,0.0,0.0
84194adffffffff,4.0,0.0,0.0,0.0
84194edffffffff,1.0,0.0,0.0,0.0
8419501ffffffff,2.0,0.0,0.0,0.0
84195b5ffffffff,1.0,0.0,1.0,0.0
84195b9ffffffff,5.0,0.0,0.0,0.0
8419691ffffffff,1.0,0.0,0.0,0.0
8419695ffffffff,5.0,0.0,0.0,0.0
841969dffffffff,1.0,0.0,0.0,0.0
84196bbffffffff,1.0,0.0,0.0,0.0
8419733ffffffff,2.0,0.0,0.0,0.0
841e043ffffffff,2.0,0.0,0.0,0.0
841e045ffffffff,19.0,0.0,0.0,0.0
841e047ffffffff,2.0,0.0,0.0,0.0
841e04dffffffff,8.0,0.0,0.0,0.0
841e05dffffffff,1.0,0.0,0.0,0.0
841e061ffffffff,5.0,0.0,0.0,0.0
841e069ffffffff,2.0,0.0,0.0,0.0
841e06bffffffff,17.0,0.0,0.0,0.0
841e06dffffffff,5.0,0.0,0.0,0.0
841e0e7ffffffff,4.0,3.0,0.0,0.0
841e125ffffffff,3.0,0.0,0.0,0.0
841e19dffffffff,2.0,0.0,0.0,0.0
841e225ffffffff,5.0,0.0,0.0,0.0
841e249ffffffff,1.0,0.0,0.0,0.0
841e24bffffffff,2.0,0.0,0.0,0.0
841e2e7ffffffff,1.0,0.0,0.0,0.0
841e319ffffffff,2.0,0.0,0.0,0.0
841e341ffffffff,3.0,0.0,0.0,0.0
841e355ffffffff,2.0,0.0,0.0,0.0
841e357ffffffff,2.0,0.0,0.0,0.0
841e517ffffffff,2.0,0.0,0.0,0.0
841e551ffffffff,2.0,0.0,0.0,0.0
841e5e1ffffffff,3.0,0.0,0.0,0.0
841ea53ffffffff,2.0,0.0,0.0,0.0
841eb0bffffffff,2.0,0.0,0.0,0.0
841ec1dffffffff,4.0,0.0,0.0,0.0
841ec21ffffffff,1.0,0.0,0.0,0.0
841ec23ffffffff,4.0,0.0,0.0,0.0
841ec47ffffffff,3.0,0.0,0.0,0.0
841ecbbffffffff,1.0,1.0,0.0,0.0
841eda3ffffffff,2.0,0.0,0.0,0.0
841eda7ffffffff,3.0,0.0,0.0,0.0
841f129ffffffff,1.0,0.0,0.0,0.0
841f14dffffffff,2.0,0.0,0.0,0.0
841f1a1ffffffff,8.0,0.0,0.0,0.0
841f513ffffffff,2.0,0.0,0.0,0.0
841f807ffffffff,2.0,0.0,0.0,0.0
841f823ffffffff,5.0,0.0,0.0,0.0
841f827ffffffff,1.0,0.0,0.0,0.0
841f831ffffffff,2.0,0.0,0.0,0.0
841f835ffffffff,2.0,0.0,0.0,0.0
841f83bffffffff,5.0,0.0,0.0,0.0
841f887ffffffff,8.0,0.0,0.0,0.0
