cell_id,Colinus virginianus,Colinus virginianus [virginianus Group],Colinus virginianus graysoni/nigripectus,Colinus virginianus [pectoralis Group],Colinus virginianus [coyoleos Group]
821e17fffffffff,2.0,0.0,0.0,0.0,0.0
821ea7fffffffff,13.0,0.0,0.0,0.0,0.0
821f9ffffffffff,4.0,0.0,0.0,0.0,0.0
822607fffffffff,118.0,10.0,0.0,0.0,0.0
82260ffffffffff,1262.0,2.0,0.0,0.0,0.0
822617fffffffff,55.0,0.0,0.0,0.0,0.0
82261ffffffffff,594.0,0.0,0.0,0.0,0.0
82262ffffffffff,3.0,0.0,0.0,0.0,0.0
822647fffffffff,2927.0,0.0,0.0,0.0,0.0
82264ffffffffff,1851.0,0.0,0.0,0.0,0.0
822657fffffffff,5260.0,0.0,0.0,0.0,0.0
82265ffffffffff,1176.0,0.0,0.0,0.0,0.0
822667fffffffff,962.0,8.0,0.0,0.0,0.0
82266ffffffffff,2853.0,0.0,0.0,0.0,0.0
822677fffffffff,1345.0,0.0,0.0,0.0,0.0
82268ffffffffff,11.0,0.0,0.0,0.0,0.0
8226affffffffff,925.0,0.0,0.0,0.0,0.0
8226c7fffffffff,1206.0,0.0,0.0,0.0,0.0
8226cffffffffff,213.0,0.0,0.0,0.0,0.0
8226d7fffffffff,767.0,0.0,0.0,0.0,0.0
8226dffffffffff,2320.0,0.0,0.0,0.0,0.0
8226e7fffffffff,5153.0,0.0,0.0,0.0,0.0
8226effffffffff,937.0,0.0,0.0,0.0,0.0
8226f7fffffffff,917.0,0.0,0.0,0.0,0.0
82274ffffffffff,27.0,1.0,0.0,0.0,0.0
82275ffffffffff,24.0,0.0,0.0,0.0,0.0
822887fffffffff,7.0,0.0,0.0,0.0,0.0
822a37fffffffff,611.0,0.0,0.0,0.0,0.0
822a87fffffffff,29.0,1.0,0.0,0.0,0.0
822a8ffffffffff,1642.0,0.0,0.0,0.0,0.0
822a97fffffffff,507.0,0.0,0.0,0.0,0.0
822a9ffffffffff,410.0,0.0,0.0,0.0,0.0
822aaffffffffff,4163.0,53.0,0.0,0.0,0.0
822ab7fffffffff,14.0,0.0,0.0,0.0,0.0
822ad7fffffffff,1405.0,0.0,0.0,0.0,0.0
822af7fffffffff,2383.0,0.0,0.0,0.0,0.0
824417fffffffff,1377.0,31.0,0.0,0.0,0.0
82441ffffffffff,2977.0,554.0,0.0,0.0,0.0
824437fffffffff,118.0,0.0,0.0,0.0,0.0
824447fffffffff,734.0,0.0,0.0,0.0,0.0
82444ffffffffff,199.0,0.0,0.0,0.0,0.0
824457fffffffff,1014.0,0.0,0.0,0.0,0.0
82445ffffffffff,222.0,0.0,0.0,0.0,0.0
82446ffffffffff,1836.0,0.0,0.0,0.0,0.0
824487fffffffff,65.0,0.0,0.0,0.0,0.0
8244a7fffffffff,392.0,0.0,0.0,0.0,0.0
8244affffffffff,5262.0,365.0,0.0,0.0,0.0
8244b7fffffffff,82.0,0.0,0.0,0.0,0.0
8244c7fffffffff,1344.0,0.0,0.0,0.0,0.0
8244cffffffffff,1400.0,0.0,0.0,0.0,0.0
8244d7fffffffff,1047.0,0.0,0.0,0.0,0.0
8244dffffffffff,824.0,0.0,0.0,0.0,0.0
8244e7fffffffff,1939.0,33.0,0.0,0.0,0.0
8244effffffffff,564.0,0.0,0.0,0.0,0.0
8244f7fffffffff,2282.0,38.0,0.0,0.0,0.0
82452ffffffffff,2.0,0.0,0.0,0.0,0.0
824587fffffffff,16.0,0.0,0.0,0.0,0.0
82458ffffffffff,157.0,0.0,0.0,0.0,0.0
824597fffffffff,13.0,0.0,0.0,0.0,0.0
82459ffffffffff,29.0,0.0,0.0,0.0,0.0
824887fffffffff,3241.0,90.0,0.0,0.0,0.0
82488ffffffffff,862.0,0.0,0.0,0.0,0.0
824897fffffffff,3671.0,37.0,0.0,0.0,0.0
82489ffffffffff,3688.0,0.0,0.0,0.0,0.0
8248a7fffffffff,180.0,0.0,0.0,0.0,0.0
8248b7fffffffff,6291.0,293.0,0.0,0.0,0.0
8248d7fffffffff,435.0,0.0,0.0,0.0,0.0
8248dffffffffff,6.0,0.0,0.0,0.0,0.0
8248effffffffff,68.0,0.0,0.0,0.0,0.0
824987fffffffff,91.0,0.0,0.0,0.0,0.0
82498ffffffffff,68.0,0.0,0.0,0.0,0.0
824997fffffffff,1108.0,0.0,0.0,0.0,0.0
82499ffffffffff,184.0,0.0,0.0,0.0,0.0
8249affffffffff,230.0,0.0,4.0,0.0,0.0
8249b7fffffffff,34.0,0.0,0.0,0.0,2.0
824c8ffffffffff,1.0,0.0,0.0,0.0,0.0
824cc7fffffffff,3.0,0.0,0.0,0.0,0.0
824cd7fffffffff,54.0,0.0,0.0,0.0,0.0
824cf7fffffffff,2.0,0.0,0.0,0.0,0.0
826727fffffffff,39.0,0.0,0.0,0.0,0.0
826d07fffffffff,89.0,0.0,0.0,0.0,0.0
826d17fffffffff,6.0,0.0,0.0,0.0,0.0
826d27fffffffff,161.0,0.0,0.0,0.0,0.0
826d2ffffffffff,106.0,0.0,0.0,0.0,0.0
826d37fffffffff,601.0,0.0,0.0,0.0,0.0
