cell_id,Botaurus minutus,Botaurus minutus minutus,Botaurus minutus payesii,Botaurus minutus podiceps
8210d7fffffffff,1.0,0.0,0.0,0.0
821107fffffffff,3.0,0.0,0.0,0.0
821187fffffffff,7.0,0.0,0.0,0.0
82118ffffffffff,22.0,0.0,0.0,0.0
82119ffffffffff,2.0,0.0,0.0,0.0
8211affffffffff,29.0,0.0,0.0,0.0
82184ffffffffff,63.0,0.0,0.0,0.0
82186ffffffffff,12.0,0.0,0.0,0.0
82194ffffffffff,2.0,0.0,0.0,0.0
821e07fffffffff,280.0,9.0,0.0,0.0
821e0ffffffffff,400.0,2.0,0.0,0.0
821e17fffffffff,85.0,0.0,0.0,0.0
821e1ffffffffff,162.0,2.0,0.0,0.0
821e27fffffffff,38.0,0.0,0.0,0.0
821e2ffffffffff,35.0,0.0,0.0,0.0
821e37fffffffff,66.0,0.0,0.0,0.0
821e47fffffffff,9.0,0.0,0.0,0.0
821e4ffffffffff,11.0,0.0,0.0,0.0
821e57fffffffff,34.0,0.0,0.0,0.0
821e5ffffffffff,118.0,0.0,0.0,0.0
821e67fffffffff,17.0,0.0,0.0,0.0
821e6ffffffffff,17.0,0.0,0.0,0.0
821e77fffffffff,8.0,0.0,0.0,0.0
821e87fffffffff,16.0,0.0,0.0,0.0
821e97fffffffff,2.0,0.0,0.0,0.0
821ea7fffffffff,65.0,0.0,0.0,0.0
821eaffffffffff,32.0,0.0,0.0,0.0
821eb7fffffffff,34.0,0.0,0.0,0.0
821ec7fffffffff,289.0,7.0,0.0,0.0
821ecffffffffff,189.0,1.0,0.0,0.0
821ed7fffffffff,65.0,0.0,0.0,0.0
821edffffffffff,231.0,2.0,0.0,0.0
821ee7fffffffff,17.0,0.0,0.0,0.0
821eeffffffffff,95.0,14.0,0.0,0.0
821ef7fffffffff,26.0,0.0,0.0,0.0
821f0ffffffffff,4.0,0.0,0.0,0.0
821f1ffffffffff,13.0,0.0,0.0,0.0
