cell_id,Piculus chrysochloros,Piculus chrysochloros xanthochlorus,Piculus chrysochloros capistratus,Piculus chrysochloros paraensis,Piculus chrysochloros laemostictus,Piculus chrysochloros chrysochloros,Piculus chrysochloros polyzonus
835f03fffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0
835f10fffffffff,4.0,0.0,0.0,0.0,0.0,0.0,0.0
835f14fffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
835f16fffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0
835f29fffffffff,7.0,0.0,0.0,0.0,0.0,0.0,0.0
835f2bfffffffff,32.0,0.0,0.0,0.0,0.0,0.0,0.0
836608fffffffff,29.0,0.0,0.0,0.0,0.0,0.0,0.0
83660afffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
83660dfffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
836610fffffffff,624.0,0.0,0.0,0.0,0.0,0.0,0.0
836613fffffffff,160.0,0.0,0.0,0.0,0.0,0.0,0.0
836616fffffffff,21.0,0.0,0.0,0.0,0.0,0.0,0.0
836620fffffffff,3.0,0.0,0.0,0.0,0.0,0.0,0.0
836621fffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0
836622fffffffff,300.0,0.0,0.0,0.0,0.0,0.0,0.0
83662cfffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
836631fffffffff,5.0,0.0,0.0,0.0,0.0,0.0,0.0
836641fffffffff,14.0,0.0,0.0,0.0,0.0,0.0,0.0
836643fffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0
836648fffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0
83665afffffffff,9.0,0.0,0.0,0.0,0.0,0.0,0.0
83665bfffffffff,18.0,0.0,0.0,0.0,0.0,0.0,0.0
83666efffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
8366c0fffffffff,3.0,0.0,0.0,0.0,0.0,0.0,0.0
8366c2fffffffff,33.0,0.0,0.0,0.0,0.0,0.0,0.0
8366c3fffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0
8366cefffffffff,3.0,0.0,0.0,0.0,0.0,0.0,0.0
8366d1fffffffff,19.0,0.0,0.0,0.0,0.0,0.0,0.0
8366d8fffffffff,12.0,0.0,0.0,0.0,0.0,0.0,0.0
8366dbfffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
8366dcfffffffff,50.0,0.0,0.0,0.0,0.0,0.0,0.0
8366ddfffffffff,6.0,0.0,0.0,0.0,0.0,0.0,0.0
8366defffffffff,10.0,0.0,0.0,0.0,0.0,0.0,0.0
8366e6fffffffff,6.0,0.0,0.0,0.0,0.0,0.0,0.0
8366eafffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
8366ecfffffffff,29.0,0.0,0.0,0.0,0.0,0.0,0.0
8366eefffffffff,5.0,0.0,0.0,0.0,0.0,0.0,0.0
836753fffffffff,20.0,0.0,0.0,0.0,0.0,0.0,0.0
836759fffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
838000fffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
838006fffffffff,6.0,0.0,0.0,0.0,0.0,6.0,0.0
838010fffffffff,13.0,0.0,0.0,0.0,0.0,1.0,0.0
838011fffffffff,7.0,0.0,0.0,0.0,0.0,1.0,0.0
838014fffffffff,56.0,0.0,0.0,0.0,0.0,4.0,0.0
838021fffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0
838030fffffffff,45.0,0.0,0.0,0.0,0.0,2.0,0.0
838035fffffffff,2.0,0.0,0.0,0.0,0.0,2.0,0.0
838036fffffffff,19.0,0.0,0.0,0.0,0.0,3.0,0.0
838066fffffffff,3.0,0.0,0.0,0.0,0.0,0.0,0.0
838071fffffffff,7.0,0.0,0.0,5.0,0.0,0.0,0.0
838072fffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
838075fffffffff,1.0,0.0,0.0,1.0,0.0,0.0,0.0
838100fffffffff,4.0,0.0,0.0,0.0,0.0,1.0,0.0
838101fffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
838102fffffffff,26.0,0.0,0.0,0.0,0.0,2.0,0.0
838104fffffffff,5.0,0.0,0.0,0.0,0.0,0.0,0.0
838106fffffffff,4.0,0.0,0.0,0.0,0.0,2.0,0.0
838109fffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0
838111fffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0
838118fffffffff,3.0,0.0,0.0,0.0,0.0,0.0,0.0
83811cfffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
83811efffffffff,6.0,0.0,0.0,0.0,0.0,0.0,0.0
838121fffffffff,47.0,0.0,0.0,0.0,0.0,28.0,0.0
838124fffffffff,96.0,0.0,0.0,0.0,0.0,42.0,0.0
838125fffffffff,3.0,0.0,0.0,0.0,0.0,3.0,0.0
83812bfffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
838130fffffffff,23.0,0.0,0.0,0.0,0.0,3.0,0.0
838132fffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
838133fffffffff,40.0,0.0,0.0,0.0,0.0,5.0,0.0
838136fffffffff,8.0,0.0,0.0,0.0,0.0,1.0,0.0
838140fffffffff,2.0,0.0,0.0,0.0,2.0,0.0,0.0
838144fffffffff,5.0,0.0,0.0,0.0,5.0,0.0,0.0
838145fffffffff,24.0,0.0,0.0,0.0,22.0,0.0,0.0
83814afffffffff,8.0,0.0,0.0,0.0,7.0,0.0,0.0
83814dfffffffff,2.0,0.0,0.0,0.0,2.0,0.0,0.0
83814efffffffff,10.0,0.0,0.0,0.0,10.0,0.0,0.0
838162fffffffff,12.0,0.0,0.0,0.0,12.0,0.0,0.0
838163fffffffff,62.0,0.0,0.0,0.0,61.0,0.0,0.0
83818cfffffffff,2.0,0.0,0.0,0.0,0.0,2.0,0.0
83818dfffffffff,7.0,0.0,0.0,0.0,0.0,0.0,0.0
8381acfffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0
8381adfffffffff,7.0,0.0,0.0,0.0,0.0,2.0,0.0
838a00fffffffff,1.0,0.0,0.0,0.0,1.0,0.0,0.0
838a05fffffffff,15.0,0.0,0.0,0.0,10.0,0.0,0.0
838a10fffffffff,12.0,0.0,0.0,0.0,0.0,0.0,0.0
838a15fffffffff,4.0,0.0,0.0,0.0,1.0,0.0,0.0
838a1afffffffff,8.0,0.0,0.0,0.0,1.0,0.0,0.0
838a21fffffffff,1.0,0.0,0.0,0.0,1.0,0.0,0.0
838a23fffffffff,2.0,0.0,0.0,0.0,2.0,0.0,0.0
838a33fffffffff,8.0,0.0,0.0,0.0,0.0,0.0,0.0
838a45fffffffff,9.0,0.0,0.0,0.0,0.0,0.0,0.0
838a56fffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
838a5afffffffff,1.0,0.0,1.0,0.0,0.0,0.0,0.0
838a63fffffffff,8.0,0.0,0.0,0.0,1.0,0.0,0.0
838a69fffffffff,27.0,0.0,0.0,0.0,0.0,0.0,0.0
838a6dfffffffff,26.0,0.0,0.0,0.0,0.0,0.0,0.0
838a80fffffffff,4.0,0.0,0.0,0.0,1.0,0.0,0.0
838a81fffffffff,4.0,0.0,0.0,0.0,0.0,0.0,0.0
838a9cfffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0
838aa8fffffffff,16.0,0.0,0.0,0.0,0.0,0.0,0.0
838aa9fffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
838aaafffffffff,12.0,0.0,0.0,0.0,0.0,0.0,0.0
838aabfffffffff,5.0,0.0,2.0,0.0,0.0,0.0,0.0
838ac6fffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
838adcfffffffff,4.0,0.0,2.0,0.0,0.0,0.0,0.0
838ae2fffffffff,1.0,0.0,1.0,0.0,0.0,0.0,0.0
838ae5fffffffff,4.0,0.0,0.0,0.0,0.0,0.0,0.0
838af0fffffffff,36.0,0.0,24.0,0.0,0.0,0.0,0.0
838af1fffffffff,20.0,0.0,5.0,0.0,0.0,0.0,0.0
838af2fffffffff,17.0,0.0,7.0,0.0,0.0,0.0,0.0
838af4fffffffff,27.0,0.0,13.0,0.0,3.0,0.0,0.0
838af6fffffffff,97.0,0.0,19.0,0.0,0.0,0.0,0.0
838b08fffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
838b0cfffffffff,10.0,0.0,0.0,0.0,0.0,0.0,0.0
838b1efffffffff,4.0,0.0,0.0,0.0,0.0,0.0,0.0
