cell_id,Thalassarche melanophris,Thalassarche melanophris melanophris,Thalassarche melanophris impavida
84099e9ffffffff,1.0,0.0,0.0
8409a55ffffffff,2.0,0.0,0.0
841870dffffffff,2.0,0.0,0.0
841940dffffffff,187.0,8.0,0.0
841f059ffffffff,2.0,0.0,0.0
841f207ffffffff,1.0,0.0,0.0
841f2edffffffff,2.0,0.0,0.0
841f33dffffffff,2.0,0.0,0.0
842af17ffffffff,2.0,0.0,0.0
8466a27ffffffff,2.0,0.0,2.0
848e62dffffffff,1.0,0.0,0.0
848e757ffffffff,2.0,0.0,0.0
84a8143ffffffff,14.0,0.0,0.0
84a8147ffffffff,7.0,0.0,0.0
84a8351ffffffff,2.0,0.0,0.0
84a8355ffffffff,8.0,0.0,0.0
84a835dffffffff,2.0,0.0,0.0
84a9181ffffffff,1.0,0.0,0.0
84a98b7ffffffff,26.0,0.0,0.0
84ad345ffffffff,2.0,0.0,0.0
84ad347ffffffff,11.0,9.0,0.0
84ad34dffffffff,10.0,2.0,0.0
84ad369ffffffff,6.0,1.0,0.0
84b2993ffffffff,2.0,0.0,0.0
84b2c0dffffffff,9.0,0.0,0.0
84b2c45ffffffff,32.0,0.0,0.0
84b2da7ffffffff,4.0,4.0,0.0
84b2dabffffffff,2.0,0.0,2.0
84b2de3ffffffff,11.0,4.0,0.0
84ba1a3ffffffff,9.0,0.0,9.0
84ba1cdffffffff,14.0,0.0,7.0
84ba245ffffffff,1.0,0.0,1.0
84ba25bffffffff,3.0,3.0,0.0
84bb0a5ffffffff,1.0,1.0,0.0
84bb283ffffffff,2.0,0.0,0.0
84bb291ffffffff,5.0,2.0,0.0
84bb295ffffffff,41.0,35.0,0.0
84bb2dbffffffff,22.0,12.0,1.0
84bb535ffffffff,7.0,3.0,4.0
84bb537ffffffff,28.0,8.0,16.0
84bb53dffffffff,4.0,4.0,0.0
84bb567ffffffff,4.0,4.0,0.0
84bc693ffffffff,5.0,3.0,0.0
84be08dffffffff,2.0,0.0,0.0
84be0c1ffffffff,3.0,0.0,3.0
84be0c7ffffffff,1.0,1.0,0.0
84be0ddffffffff,3.0,3.0,0.0
84be0e3ffffffff,19.0,5.0,3.0
84be0e5ffffffff,3.0,0.0,0.0
84be0e7ffffffff,1.0,1.0,0.0
84be1a9ffffffff,1.0,1.0,0.0
84be1d1ffffffff,1.0,0.0,1.0
84be1dbffffffff,2.0,2.0,0.0
84be29bffffffff,3.0,0.0,3.0
84be639ffffffff,2.0,0.0,0.0
84be68dffffffff,4.0,0.0,0.0
84beab1ffffffff,1.0,0.0,0.0
84beab5ffffffff,1.0,0.0,0.0
84beab7ffffffff,18.0,16.0,2.0
84beae3ffffffff,1.0,0.0,1.0
84bf4c9ffffffff,5.0,5.0,0.0
84bf5b1ffffffff,2.0,0.0,1.0
84bf6b7ffffffff,2.0,0.0,0.0
84bf8b9ffffffff,2.0,0.0,0.0
84c2035ffffffff,9.0,0.0,0.0
84c2037ffffffff,9.0,0.0,0.0
84c2039ffffffff,5.0,0.0,0.0
84c2111ffffffff,6.0,6.0,0.0
84c211dffffffff,8.0,8.0,0.0
84c214bffffffff,7.0,7.0,0.0
84c2157ffffffff,7.0,7.0,0.0
84c215dffffffff,8.0,8.0,0.0
84c21c9ffffffff,20.0,0.0,0.0
84c21cbffffffff,5.0,0.0,0.0
84c220dffffffff,5.0,0.0,0.0
84c2223ffffffff,3.0,0.0,0.0
84c2229ffffffff,2.0,0.0,0.0
84c2239ffffffff,3.0,0.0,0.0
84c223dffffffff,7.0,0.0,0.0
84c2241ffffffff,4.0,0.0,0.0
84c2247ffffffff,5.0,0.0,0.0
84c2333ffffffff,3.0,0.0,0.0
84c2f05ffffffff,6.0,0.0,0.0
84c2f07ffffffff,16.0,0.0,0.0
84c2f1dffffffff,18.0,0.0,0.0
84c2f23ffffffff,3.0,0.0,0.0
84c2f27ffffffff,8.0,5.0,0.0
84c2f2bffffffff,42.0,0.0,0.0
84c2f39ffffffff,2.0,0.0,0.0
84c2f3dffffffff,9.0,0.0,0.0
84c2f61ffffffff,1.0,0.0,0.0
84c2f67ffffffff,1.0,0.0,0.0
84c3053ffffffff,1.0,0.0,0.0
84c3057ffffffff,4.0,0.0,0.0
84c305bffffffff,6.0,0.0,0.0
84c3069ffffffff,3.0,0.0,0.0
84c30a5ffffffff,5.0,0.0,0.0
84c30a7ffffffff,2.0,0.0,0.0
84c30a9ffffffff,3.0,0.0,0.0
84c30e9ffffffff,2.0,0.0,0.0
84c3163ffffffff,3.0,0.0,0.0
84c3169ffffffff,3.0,0.0,0.0
84c31d9ffffffff,4.0,0.0,0.0
84c320dffffffff,17.0,0.0,0.0
