cell_id,Pionus menstruus,Pionus menstruus menstruus/rubrigularis,Pionus menstruus reichenowi
825f07fffffffff,196.0,5.0,0.0
825f0ffffffffff,28.0,0.0,0.0
825f17fffffffff,102.0,0.0,0.0
825f1ffffffffff,33.0,0.0,0.0
825f2ffffffffff,1295.0,0.0,0.0
825f47fffffffff,124.0,2.0,0.0
825f4ffffffffff,26.0,0.0,0.0
825f57fffffffff,8.0,0.0,0.0
825f5ffffffffff,499.0,0.0,0.0
825f67fffffffff,1.0,0.0,0.0
825f6ffffffffff,58.0,0.0,0.0
825f77fffffffff,196.0,2.0,0.0
826607fffffffff,412.0,0.0,0.0
82660ffffffffff,2924.0,19.0,0.0
826617fffffffff,4316.0,0.0,0.0
82661ffffffffff,8598.0,134.0,0.0
826627fffffffff,1960.0,141.0,0.0
82662ffffffffff,109.0,0.0,0.0
826637fffffffff,81.0,0.0,0.0
826647fffffffff,948.0,78.0,0.0
82664ffffffffff,12.0,0.0,0.0
826657fffffffff,17.0,1.0,0.0
82665ffffffffff,355.0,10.0,0.0
826667fffffffff,48.0,0.0,0.0
82666ffffffffff,48.0,0.0,0.0
826677fffffffff,14.0,0.0,0.0
826687fffffffff,9.0,0.0,0.0
8266a7fffffffff,9419.0,0.0,0.0
8266affffffffff,6.0,0.0,0.0
8266b7fffffffff,4670.0,0.0,0.0
8266c7fffffffff,2253.0,10.0,0.0
8266cffffffffff,174.0,3.0,0.0
8266d7fffffffff,2139.0,228.0,0.0
8266dffffffffff,3802.0,508.0,0.0
8266e7fffffffff,6924.0,125.0,0.0
8266effffffffff,777.0,13.0,0.0
8266f7fffffffff,9703.0,172.0,0.0
826747fffffffff,288.0,6.0,0.0
82674ffffffffff,417.0,0.0,0.0
826757fffffffff,53.0,0.0,0.0
82675ffffffffff,214.0,0.0,0.0
82678ffffffffff,2.0,0.0,0.0
82679ffffffffff,937.0,0.0,0.0
826d6ffffffffff,38.0,0.0,0.0
828047fffffffff,336.0,40.0,0.0
82804ffffffffff,36.0,11.0,0.0
828057fffffffff,8.0,0.0,0.0
828067fffffffff,123.0,4.0,0.0
82806ffffffffff,9.0,0.0,0.0
828077fffffffff,20.0,1.0,0.0
828117fffffffff,4.0,0.0,4.0
828137fffffffff,10.0,0.0,5.0
828147fffffffff,104.0,12.0,0.0
82814ffffffffff,448.0,59.0,0.0
82815ffffffffff,51.0,1.0,0.0
828167fffffffff,45.0,0.0,0.0
828177fffffffff,64.0,8.0,0.0
828187fffffffff,63.0,0.0,38.0
828a07fffffffff,187.0,52.0,0.0
828a17fffffffff,122.0,3.0,0.0
828a1ffffffffff,29.0,2.0,0.0
828a27fffffffff,73.0,15.0,0.0
828a2ffffffffff,1.0,0.0,0.0
828a37fffffffff,42.0,9.0,0.0
828a47fffffffff,485.0,18.0,0.0
828a4ffffffffff,8.0,0.0,0.0
828a57fffffffff,2.0,0.0,0.0
828a5ffffffffff,1.0,1.0,0.0
828a6ffffffffff,661.0,0.0,0.0
828a77fffffffff,31.0,0.0,0.0
828a87fffffffff,109.0,7.0,0.0
828a8ffffffffff,2.0,2.0,0.0
828a97fffffffff,14.0,0.0,0.0
828a9ffffffffff,45.0,0.0,0.0
828aaffffffffff,107.0,0.0,0.0
828ab7fffffffff,6.0,3.0,0.0
828ac7fffffffff,1.0,0.0,0.0
828adffffffffff,106.0,14.0,0.0
828ae7fffffffff,2.0,0.0,0.0
828af7fffffffff,1358.0,131.0,0.0
828b07fffffffff,20.0,0.0,0.0
828b0ffffffffff,45.0,0.0,0.0
828b17fffffffff,38.0,2.0,0.0
828b1ffffffffff,25.0,0.0,0.0
828b27fffffffff,299.0,0.0,0.0
828b2ffffffffff,162.0,0.0,0.0
828b37fffffffff,14.0,0.0,0.0
828b47fffffffff,2296.0,67.0,0.0
828b4ffffffffff,26.0,0.0,0.0
828b57fffffffff,146.0,2.0,0.0
828b5ffffffffff,91.0,8.0,0.0
828b67fffffffff,2594.0,140.0,0.0
828b6ffffffffff,289.0,0.0,0.0
828b77fffffffff,278.0,0.0,0.0
828b87fffffffff,176.0,17.0,0.0
828b8ffffffffff,75.0,1.0,0.0
828b9ffffffffff,1421.0,91.0,0.0
828ba7fffffffff,89.0,9.0,0.0
828baffffffffff,1.0,0.0,0.0
828bb7fffffffff,514.0,51.0,0.0
828e67fffffffff,293.0,0.0,0.0
828e6ffffffffff,6.0,0.0,0.0
828f27fffffffff,11.0,0.0,0.0
828f2ffffffffff,605.0,24.0,0.0
828f47fffffffff,1398.0,83.0,0.0
828f4ffffffffff,349.0,0.0,0.0
828f57fffffffff,3.0,0.0,0.0
828f5ffffffffff,165.0,0.0,0.0
828f67fffffffff,212.0,0.0,0.0
828f6ffffffffff,136.0,22.0,0.0
828f77fffffffff,1085.0,82.0,0.0
82a597fffffffff,301.0,0.0,258.0
82a85ffffffffff,37.0,5.0,0.0
82a897fffffffff,127.0,0.0,102.0
82a8c7fffffffff,104.0,45.0,0.0
82a8cffffffffff,43.0,23.0,0.0
82a8dffffffffff,4.0,0.0,0.0
82a8effffffffff,3.0,0.0,0.0
82b327fffffffff,62.0,0.0,0.0
