cell_id,Telophorus viridis,Telophorus viridis viridis,Telophorus viridis [quadricolor Group]
847a66dffffffff,4.0,0.0,0.0
847a75dffffffff,1.0,0.0,0.0
847b4cbffffffff,4.0,0.0,0.0
847b591ffffffff,2.0,0.0,2.0
847b597ffffffff,105.0,0.0,20.0
847b59bffffffff,2.0,0.0,0.0
8482a09ffffffff,4.0,0.0,0.0
8483113ffffffff,1.0,0.0,0.0
8483117ffffffff,1.0,1.0,0.0
8483125ffffffff,11.0,7.0,0.0
8483151ffffffff,9.0,0.0,0.0
84831e5ffffffff,4.0,0.0,0.0
8496707ffffffff,4.0,1.0,0.0
8496721ffffffff,2.0,0.0,0.0
8496727ffffffff,4.0,1.0,0.0
8497027ffffffff,1.0,0.0,0.0
849702bffffffff,8.0,0.0,0.0
8497035ffffffff,16.0,0.0,7.0
8497039ffffffff,2.0,0.0,0.0
849703dffffffff,5.0,0.0,0.0
8497051ffffffff,3.0,0.0,0.0
8497101ffffffff,2.0,0.0,0.0
8497113ffffffff,1.0,0.0,0.0
84971c1ffffffff,8.0,0.0,0.0
84971c3ffffffff,2.0,0.0,0.0
84971c7ffffffff,1.0,0.0,0.0
84971cbffffffff,8.0,0.0,4.0
8497249ffffffff,3.0,0.0,0.0
849725dffffffff,1.0,0.0,1.0
8497289ffffffff,1.0,0.0,0.0
849728dffffffff,3.0,0.0,3.0
84972d5ffffffff,5.0,0.0,3.0
84972d7ffffffff,1.0,0.0,0.0
84972d9ffffffff,7.0,0.0,2.0
84972e3ffffffff,48.0,0.0,9.0
8497313ffffffff,2.0,0.0,0.0
8497317ffffffff,4.0,0.0,0.0
8497357ffffffff,3.0,0.0,0.0
8497359ffffffff,10.0,0.0,0.0
8497937ffffffff,4.0,0.0,0.0
8497a8bffffffff,1.0,0.0,0.0
84bc1b3ffffffff,1.0,0.0,0.0
84bc1b7ffffffff,1.0,0.0,0.0
84bc1bbffffffff,1.0,0.0,0.0
84bc893ffffffff,17.0,0.0,3.0
84bc895ffffffff,1.0,0.0,1.0
84bc899ffffffff,4.0,0.0,0.0
84bc89bffffffff,28.0,0.0,4.0
84bc8b7ffffffff,1.0,0.0,0.0
84bc8d3ffffffff,5.0,0.0,4.0
84bc991ffffffff,19.0,0.0,2.0
84bc993ffffffff,1.0,0.0,0.0
84bcd01ffffffff,23.0,0.0,3.0
84bcd03ffffffff,1.0,0.0,0.0
84bcd05ffffffff,7.0,0.0,5.0
84bcd09ffffffff,4.0,0.0,0.0
84bcd0dffffffff,1.0,0.0,1.0
84bcd21ffffffff,1.0,0.0,0.0
84bcd23ffffffff,3.0,0.0,0.0
84bcd29ffffffff,47.0,0.0,6.0
84bcd2bffffffff,2.0,0.0,0.0
84bcd37ffffffff,1.0,0.0,0.0
84bcd3dffffffff,14.0,0.0,3.0
84bcd45ffffffff,18.0,0.0,1.0
84bcd61ffffffff,4.0,0.0,0.0
84bcd63ffffffff,14.0,0.0,2.0
84bcd67ffffffff,1.0,0.0,0.0
84bcd6bffffffff,2.0,0.0,0.0
84bcd6dffffffff,15.0,0.0,1.0
84bcf05ffffffff,11.0,0.0,2.0
84bcf09ffffffff,3.0,0.0,0.0
84bcf0dffffffff,15.0,0.0,4.0
84bcf19ffffffff,1.0,0.0,1.0
84bcf21ffffffff,28.0,0.0,9.0
84bcf23ffffffff,1.0,0.0,0.0
84bcf25ffffffff,94.0,0.0,53.0
84bcf27ffffffff,1.0,0.0,1.0
84bcf29ffffffff,589.0,0.0,202.0
84bcf2bffffffff,1.0,0.0,0.0
84bcf2dffffffff,22.0,0.0,3.0
84bcf3dffffffff,18.0,0.0,16.0
84bcf43ffffffff,10.0,0.0,2.0
84bcf47ffffffff,15.0,0.0,5.0
84bcf59ffffffff,3.0,0.0,0.0
84bcf5bffffffff,3.0,0.0,2.0
84bcf5dffffffff,2.0,0.0,0.0
84bcf61ffffffff,121.0,0.0,41.0
84bcf63ffffffff,160.0,0.0,34.0
84bcf67ffffffff,43.0,0.0,22.0
