cell_id,Nyctibius jamaicensis,Nyctibius jamaicensis [mexicanus Group],Nyctibius jamaicensis jamaicensis/abbotti
824507fffffffff,69.0,0.0,0.0
82450ffffffffff,299.0,8.0,0.0
824527fffffffff,367.0,0.0,0.0
82452ffffffffff,2275.0,91.0,0.0
824537fffffffff,127.0,0.0,0.0
824577fffffffff,5.0,0.0,0.0
8245b7fffffffff,358.0,0.0,3.0
824837fffffffff,786.0,26.0,0.0
824997fffffffff,467.0,204.0,0.0
82499ffffffffff,81.0,0.0,0.0
8249a7fffffffff,1.0,0.0,0.0
8249affffffffff,79.0,0.0,0.0
8249b7fffffffff,4.0,0.0,0.0
824cd7fffffffff,63.0,0.0,20.0
826727fffffffff,15.0,0.0,0.0
826737fffffffff,465.0,0.0,8.0
826d07fffffffff,131.0,18.0,0.0
826d17fffffffff,128.0,15.0,0.0
826d27fffffffff,146.0,4.0,0.0
826d2ffffffffff,441.0,18.0,0.0
826d37fffffffff,92.0,1.0,0.0
826d67fffffffff,125.0,0.0,0.0
826d6ffffffffff,448.0,2.0,0.0
826d77fffffffff,140.0,0.0,0.0
