cell_id,Pipreola riefferii,Pipreola riefferii [riefferii Group],Pipreola riefferii tallmanorum
836601fffffffff,1.0,0.0,0.0
836608fffffffff,199.0,1.0,0.0
836609fffffffff,3.0,0.0,0.0
83660afffffffff,4.0,0.0,0.0
83660bfffffffff,182.0,0.0,0.0
83660cfffffffff,57.0,2.0,0.0
83660dfffffffff,47.0,0.0,0.0
836618fffffffff,312.0,14.0,0.0
836619fffffffff,997.0,0.0,0.0
83661bfffffffff,3745.0,278.0,0.0
83661dfffffffff,20.0,0.0,0.0
836621fffffffff,35.0,0.0,0.0
836629fffffffff,88.0,2.0,0.0
83662bfffffffff,32.0,10.0,0.0
8366c0fffffffff,301.0,0.0,0.0
8366c2fffffffff,311.0,0.0,0.0
8366c4fffffffff,186.0,0.0,0.0
8366c6fffffffff,400.0,0.0,0.0
8366d0fffffffff,192.0,7.0,0.0
8366d1fffffffff,27.0,2.0,0.0
8366d3fffffffff,1409.0,206.0,0.0
8366d5fffffffff,13.0,0.0,0.0
8366dafffffffff,6.0,0.0,0.0
8366defffffffff,1066.0,152.0,0.0
8366e0fffffffff,869.0,21.0,0.0
8366e2fffffffff,11.0,0.0,0.0
8366e4fffffffff,179.0,3.0,0.0
8366e5fffffffff,331.0,2.0,0.0
8366e6fffffffff,2975.0,118.0,0.0
8366f0fffffffff,24.0,0.0,0.0
8366f1fffffffff,1513.0,37.0,0.0
8366f3fffffffff,23.0,0.0,0.0
8366f5fffffffff,548.0,6.0,0.0
836741fffffffff,10.0,0.0,0.0
83674efffffffff,77.0,3.0,0.0
83675afffffffff,94.0,1.0,0.0
838f29fffffffff,7.0,0.0,0.0
838f2bfffffffff,2.0,0.0,0.0
838f2dfffffffff,9.0,0.0,0.0
838f42fffffffff,32.0,0.0,0.0
838f46fffffffff,225.0,18.0,0.0
838f48fffffffff,2.0,0.0,0.0
838f4afffffffff,7.0,0.0,0.0
838f54fffffffff,54.0,0.0,0.0
838f55fffffffff,43.0,0.0,0.0
838f5cfffffffff,3.0,0.0,0.0
838f5dfffffffff,3.0,0.0,0.0
838f70fffffffff,28.0,0.0,0.0
838f72fffffffff,400.0,67.0,0.0
838f73fffffffff,503.0,39.0,0.0
838f74fffffffff,25.0,2.0,0.0
838f76fffffffff,43.0,3.0,0.0
