cell_id,Adelomyia melanogenys,Adelomyia melanogenys [melanogenys Group],Adelomyia melanogenys maculata,Adelomyia melanogenys inornata
826607fffffffff,4.0,0.0,0.0,0.0
82660ffffffffff,1093.0,5.0,0.0,0.0
82661ffffffffff,3612.0,42.0,0.0,0.0
826627fffffffff,155.0,0.0,0.0,0.0
82662ffffffffff,204.0,9.0,0.0,0.0
8266c7fffffffff,1905.0,0.0,0.0,0.0
8266d7fffffffff,5531.0,9.0,493.0,0.0
8266dffffffffff,5114.0,348.0,0.0,0.0
8266e7fffffffff,6110.0,94.0,0.0,0.0
8266f7fffffffff,3406.0,22.0,0.0,0.0
826747fffffffff,165.0,0.0,0.0,0.0
82674ffffffffff,585.0,21.0,0.0,0.0
826757fffffffff,49.0,0.0,0.0,0.0
82675ffffffffff,149.0,1.0,0.0,0.0
828b27fffffffff,78.0,0.0,0.0,0.0
828b2ffffffffff,78.0,0.0,0.0,0.0
828b67fffffffff,1026.0,54.0,0.0,0.0
828b6ffffffffff,556.0,6.0,0.0,0.0
828b77fffffffff,28.0,0.0,0.0,0.0
828e67fffffffff,330.0,0.0,0.0,0.0
828e6ffffffffff,14.0,0.0,0.0,0.0
828f0ffffffffff,348.0,0.0,37.0,0.0
828f2ffffffffff,193.0,0.0,0.0,0.0
828f47fffffffff,214.0,2.0,0.0,0.0
828f4ffffffffff,46.0,0.0,0.0,0.0
828f57fffffffff,497.0,2.0,0.0,0.0
828f5ffffffffff,61.0,0.0,0.0,0.0
828f77fffffffff,1645.0,26.0,10.0,0.0
82b327fffffffff,66.0,0.0,0.0,0.0
82b347fffffffff,271.0,0.0,0.0,0.0
82b357fffffffff,16.0,0.0,0.0,0.0
82b35ffffffffff,53.0,0.0,0.0,0.0
