cell_id,Myzomela boiei,Myzomela boiei boiei,Myzomela boiei annabellae,Myzomela boiei [undescribed form]
8494601ffffffff,95.0,0.0,0.0,0.0
8494605ffffffff,4.0,0.0,0.0,0.0
8494607ffffffff,2.0,0.0,0.0,0.0
8494661ffffffff,1.0,0.0,0.0,0.0
849466dffffffff,32.0,0.0,0.0,0.0
8495489ffffffff,14.0,0.0,0.0,0.0
84954c7ffffffff,1.0,0.0,0.0,0.0
