cell_id,Curruca mystacea,Curruca mystacea mystacea,Curruca mystacea rubescens/turcmenica
8220b7fffffffff,1.0,0.0,0.0
8220e7fffffffff,2.0,0.0,0.0
822187fffffffff,2.0,0.0,0.0
82219ffffffffff,15.0,0.0,0.0
8221a7fffffffff,2.0,0.0,0.0
822c07fffffffff,476.0,0.0,0.0
822c0ffffffffff,88.0,0.0,0.0
822c17fffffffff,50.0,0.0,0.0
822c1ffffffffff,29.0,0.0,0.0
822c27fffffffff,2.0,0.0,0.0
822c2ffffffffff,18.0,0.0,0.0
822c37fffffffff,19.0,0.0,0.0
822c67fffffffff,1.0,0.0,0.0
822c77fffffffff,6.0,0.0,0.0
822c87fffffffff,7.0,0.0,0.0
822c97fffffffff,279.0,0.0,0.0
822ca7fffffffff,2.0,0.0,0.0
822caffffffffff,18.0,0.0,0.0
822cc7fffffffff,44.0,0.0,0.0
822ccffffffffff,5.0,0.0,0.0
822cd7fffffffff,81.0,0.0,0.0
822cdffffffffff,11.0,0.0,0.0
822ce7fffffffff,46.0,0.0,0.0
822cf7fffffffff,74.0,0.0,0.0
822d5ffffffffff,2.0,0.0,0.0
822d87fffffffff,3.0,0.0,0.0
822d97fffffffff,1.0,0.0,0.0
822da7fffffffff,2.0,0.0,0.0
822daffffffffff,244.0,0.0,0.0
824237fffffffff,7.0,0.0,0.0
824317fffffffff,18.0,0.0,0.0
82431ffffffffff,31.0,0.0,0.0
824327fffffffff,5.0,0.0,0.0
824337fffffffff,2.0,0.0,0.0
824367fffffffff,78.0,0.0,0.0
824387fffffffff,10.0,0.0,0.0
82438ffffffffff,46.0,0.0,0.0
824397fffffffff,24.0,0.0,0.0
82439ffffffffff,18.0,0.0,0.0
8243a7fffffffff,292.0,0.0,0.0
8243affffffffff,414.0,0.0,0.0
8243b7fffffffff,2.0,0.0,0.0
82521ffffffffff,9.0,0.0,0.0
82522ffffffffff,2.0,0.0,0.0
825237fffffffff,5.0,0.0,0.0
82524ffffffffff,7.0,0.0,0.0
82526ffffffffff,20.0,0.0,0.0
8252d7fffffffff,11.0,0.0,0.0
825317fffffffff,3.0,0.0,0.0
82531ffffffffff,2.0,0.0,0.0
825337fffffffff,1.0,0.0,0.0
825347fffffffff,2.0,0.0,0.0
82534ffffffffff,58.0,0.0,0.0
825357fffffffff,3.0,0.0,0.0
825367fffffffff,52.0,0.0,0.0
82536ffffffffff,53.0,0.0,0.0
825377fffffffff,2.0,0.0,0.0
8253affffffffff,3.0,0.0,0.0
826337fffffffff,26.0,0.0,0.0
827acffffffffff,4.0,0.0,0.0
827adffffffffff,1.0,0.0,0.0
827aeffffffffff,1.0,0.0,0.0
