cell_id,Loriotus cristatus,Loriotus cristatus [cristatus Group],Loriotus cristatus nattereri
835f03fffffffff,69.0,0.0,0.0
835f08fffffffff,3.0,0.0,0.0
835f09fffffffff,6.0,0.0,0.0
835f0dfffffffff,9.0,0.0,0.0
835f10fffffffff,1.0,0.0,0.0
835f11fffffffff,1.0,0.0,0.0
835f12fffffffff,2.0,0.0,0.0
835f14fffffffff,2.0,0.0,0.0
835f16fffffffff,4.0,0.0,0.0
835f1cfffffffff,1.0,0.0,0.0
835f2bfffffffff,212.0,0.0,0.0
835f36fffffffff,1.0,0.0,0.0
835f40fffffffff,5.0,0.0,0.0
835f42fffffffff,12.0,0.0,0.0
835f54fffffffff,10.0,0.0,0.0
835f68fffffffff,16.0,0.0,0.0
835f71fffffffff,7.0,0.0,0.0
835f75fffffffff,20.0,2.0,0.0
835f76fffffffff,1.0,0.0,0.0
836641fffffffff,152.0,0.0,0.0
836648fffffffff,1.0,0.0,0.0
83665afffffffff,157.0,0.0,0.0
83665bfffffffff,89.0,0.0,0.0
83665efffffffff,2.0,0.0,0.0
836661fffffffff,1.0,0.0,0.0
836663fffffffff,7.0,0.0,0.0
83666bfffffffff,2.0,0.0,0.0
83666cfffffffff,6.0,0.0,0.0
83666efffffffff,6.0,0.0,0.0
8366c0fffffffff,5.0,0.0,0.0
8366c1fffffffff,3.0,0.0,0.0
8366c2fffffffff,136.0,0.0,0.0
8366c3fffffffff,4.0,0.0,0.0
8366c9fffffffff,3.0,0.0,0.0
8366cdfffffffff,2.0,0.0,0.0
8366cefffffffff,24.0,0.0,0.0
8366d1fffffffff,332.0,0.0,0.0
8366d8fffffffff,17.0,0.0,0.0
8366dafffffffff,11.0,0.0,0.0
8366dbfffffffff,1.0,0.0,0.0
8366dcfffffffff,312.0,15.0,0.0
8366ddfffffffff,57.0,11.0,0.0
8366defffffffff,169.0,9.0,0.0
8366e1fffffffff,11.0,0.0,0.0
8366e5fffffffff,51.0,0.0,0.0
8366e8fffffffff,9.0,0.0,0.0
8366e9fffffffff,1.0,0.0,0.0
8366eafffffffff,12.0,0.0,0.0
8366ecfffffffff,31.0,0.0,0.0
8366eefffffffff,90.0,0.0,0.0
838044fffffffff,8.0,0.0,0.0
838046fffffffff,22.0,1.0,0.0
83804cfffffffff,2.0,0.0,0.0
838061fffffffff,14.0,0.0,0.0
838062fffffffff,2.0,0.0,0.0
838063fffffffff,2.0,0.0,0.0
838065fffffffff,6.0,4.0,0.0
838066fffffffff,1.0,0.0,0.0
83806afffffffff,5.0,0.0,0.0
83806bfffffffff,11.0,0.0,0.0
838071fffffffff,6.0,0.0,0.0
838072fffffffff,2.0,0.0,0.0
838074fffffffff,3.0,0.0,0.0
838075fffffffff,9.0,0.0,0.0
838114fffffffff,3.0,0.0,0.0
838116fffffffff,58.0,11.0,0.0
838130fffffffff,7.0,1.0,0.0
838132fffffffff,79.0,21.0,0.0
838133fffffffff,100.0,12.0,0.0
838134fffffffff,5.0,0.0,0.0
838136fffffffff,80.0,0.0,0.0
838142fffffffff,3.0,0.0,0.0
838143fffffffff,9.0,3.0,0.0
838144fffffffff,7.0,4.0,0.0
838145fffffffff,27.0,3.0,0.0
83814afffffffff,60.0,0.0,0.0
83814dfffffffff,31.0,8.0,0.0
83814efffffffff,40.0,0.0,0.0
838159fffffffff,8.0,0.0,0.0
83815afffffffff,2.0,0.0,0.0
83815cfffffffff,7.0,7.0,0.0
83815dfffffffff,7.0,0.0,0.0
83815efffffffff,3.0,3.0,0.0
838163fffffffff,45.0,5.0,0.0
838171fffffffff,67.0,11.0,0.0
838180fffffffff,23.0,4.0,0.0
838181fffffffff,119.0,10.0,0.0
838183fffffffff,32.0,4.0,0.0
838185fffffffff,110.0,46.0,0.0
83819dfffffffff,13.0,0.0,0.0
8381a1fffffffff,1.0,0.0,0.0
838a00fffffffff,3.0,0.0,0.0
838a01fffffffff,5.0,0.0,0.0
838a04fffffffff,2.0,2.0,0.0
838a05fffffffff,47.0,19.0,0.0
838a10fffffffff,31.0,0.0,0.0
838a15fffffffff,9.0,1.0,0.0
838a1afffffffff,6.0,0.0,0.0
838a21fffffffff,3.0,0.0,0.0
838a23fffffffff,8.0,4.0,0.0
838a24fffffffff,10.0,8.0,0.0
838a31fffffffff,33.0,8.0,0.0
838a33fffffffff,14.0,0.0,0.0
838a45fffffffff,34.0,0.0,0.0
838a4bfffffffff,7.0,0.0,0.0
838a56fffffffff,4.0,0.0,0.0
838a5afffffffff,1.0,1.0,0.0
838a63fffffffff,4.0,1.0,0.0
838a69fffffffff,56.0,0.0,0.0
838a6dfffffffff,31.0,0.0,0.0
838a80fffffffff,16.0,2.0,0.0
838a81fffffffff,15.0,0.0,0.0
838a82fffffffff,10.0,0.0,0.0
838a8cfffffffff,1.0,0.0,0.0
838a8dfffffffff,2.0,0.0,0.0
838a90fffffffff,1.0,0.0,0.0
838a91fffffffff,2.0,0.0,0.0
838a92fffffffff,10.0,0.0,0.0
838a9cfffffffff,25.0,0.0,0.0
838a9dfffffffff,2.0,0.0,0.0
838aa8fffffffff,11.0,0.0,0.0
838aa9fffffffff,3.0,0.0,0.0
838aaafffffffff,24.0,0.0,0.0
838aabfffffffff,3.0,0.0,0.0
838aacfffffffff,4.0,0.0,0.0
838aadfffffffff,1.0,0.0,0.0
838ab2fffffffff,1.0,1.0,0.0
838ad8fffffffff,2.0,0.0,0.0
838adcfffffffff,9.0,2.0,0.0
838adefffffffff,2.0,0.0,0.0
838af0fffffffff,32.0,0.0,0.0
838af2fffffffff,110.0,10.0,0.0
838af4fffffffff,20.0,5.0,0.0
838af6fffffffff,415.0,39.0,0.0
838b0afffffffff,2.0,0.0,0.0
838b0bfffffffff,3.0,0.0,0.0
838b10fffffffff,2.0,0.0,0.0
838b11fffffffff,12.0,0.0,0.0
838b1cfffffffff,2.0,0.0,0.0
838b1dfffffffff,3.0,0.0,0.0
838b28fffffffff,1.0,0.0,0.0
838b40fffffffff,14.0,1.0,0.0
838b42fffffffff,4.0,0.0,0.0
838b44fffffffff,64.0,0.0,0.0
838b46fffffffff,7.0,0.0,0.0
838b51fffffffff,1.0,0.0,0.0
838b52fffffffff,1.0,0.0,0.0
838b56fffffffff,5.0,0.0,0.0
838b5cfffffffff,13.0,1.0,0.0
838b61fffffffff,2.0,0.0,0.0
