cell_id,Epinecrophylla ornata,Epinecrophylla ornata [ornata Group],Epinecrophylla ornata hoffmannsi
8266c7fffffffff,31.0,0.0,0.0
8266cffffffffff,5.0,0.0,0.0
8266d7fffffffff,2.0,0.0,0.0
8266dffffffffff,355.0,17.0,0.0
8266effffffffff,90.0,0.0,0.0
828067fffffffff,55.0,0.0,0.0
828147fffffffff,3.0,0.0,0.0
82814ffffffffff,255.0,0.0,0.0
82815ffffffffff,46.0,0.0,0.0
828a17fffffffff,24.0,0.0,0.0
828a37fffffffff,1.0,0.0,0.0
828a47fffffffff,2.0,0.0,0.0
828a6ffffffffff,4.0,0.0,0.0
828a77fffffffff,2.0,0.0,0.0
828a87fffffffff,20.0,0.0,0.0
828a97fffffffff,13.0,0.0,0.0
828a9ffffffffff,3.0,0.0,0.0
828aaffffffffff,1.0,0.0,0.0
828ab7fffffffff,1.0,0.0,0.0
828b47fffffffff,179.0,10.0,0.0
828b4ffffffffff,15.0,0.0,0.0
828b57fffffffff,5.0,0.0,0.0
828b5ffffffffff,41.0,0.0,0.0
828b67fffffffff,420.0,21.0,0.0
828b6ffffffffff,8.0,0.0,0.0
828b77fffffffff,10.0,0.0,0.0
828b9ffffffffff,54.0,0.0,0.0
828f47fffffffff,52.0,4.0,0.0
828f4ffffffffff,1.0,0.0,0.0
828f5ffffffffff,3.0,0.0,0.0
828f67fffffffff,10.0,0.0,0.0
828f6ffffffffff,2.0,0.0,0.0
828f77fffffffff,45.0,0.0,0.0
